BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome
PRJEB38173,SAMEA6815677,Amphilophus_chancho,missing,Apo_cl3_d_ben_01234,CL Apoyo,2007,GCA_013435755.1
PRJEB38173,SAMEA6815678,Amphilophus_chancho,missing,Apo_cl3_d_ben_03977,CL Apoyo,2003,GCA_013435755.1
PRJEB38173,SAMEA6815680,Amphilophus_chancho,missing,Apo_cl3_d_ben_05664,CL Apoyo,2005,GCA_013435755.1
PRJEB38173,SAMEA6815683,Amphilophus_chancho,missing,Apo_cl3_d_ben_05667,CL Apoyo,2005,GCA_013435755.1
PRJEB38173,SAMEA6815687,Amphilophus_chancho,missing,Apo_cl3_d_ben_13713,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815688,Amphilophus_chancho,missing,Apo_cl3_d_ben_18011,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815689,Amphilophus_chancho,missing,Apo_cl3_d_ben_18034,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815690,Amphilophus_chancho,missing,Apo_cl3_d_ben_18397,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815691,Amphilophus_chancho,missing,Apo_cl3_d_ben_18399,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815692,Amphilophus_chancho,missing,Apo_cl3_d_ben_18400,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815693,Amphilophus_chancho,missing,Apo_cl3_d_ben_18401,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815694,Amphilophus_chancho,missing,Apo_cl3_d_ben_18412,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815697,Amphilophus_chancho,missing,Apo_cl3_d_ben_19363,CL Apoyo,2015,GCA_013435755.1
PRJEB38173,SAMEA6815698,Amphilophus_chancho,missing,Apo_cl3_d_ben_19364,CL Apoyo,2015,GCA_013435755.1
PRJEB38173,SAMEA6815679,Amphilophus_chancho,missing,Apo_cl3_d_ben_05663,CL Apoyo,2005,GCA_013435755.1
PRJEB38173,SAMEA6815681,Amphilophus_chancho,missing,Apo_cl3_d_ben_05665,CL Apoyo,2005,GCA_013435755.1
