sample,breed,BioProject,BioSample,Organism,sex
10,Mallard,PRJNA450892,SAMN08952547,Anas_platyrhynchos,female
102,Mallard,PRJNA450892,SAMN08952580,Anas_platyrhynchos,female
16,Mallard,PRJNA450892,SAMN08952548,Anas_platyrhynchos,female
17,Mallard,PRJNA450892,SAMN08952549,Anas_platyrhynchos,female
18,Mallard,PRJNA450892,SAMN08952550,Anas_platyrhynchos,female
21,Mallard,PRJNA450892,SAMN08952551,Anas_platyrhynchos,female
25,Mallard,PRJNA450892,SAMN08952552,Anas_platyrhynchos,female
26,Mallard,PRJNA450892,SAMN08952553,Anas_platyrhynchos,female
28,Mallard,PRJNA450892,SAMN08952554,Anas_platyrhynchos,female
29,Mallard,PRJNA450892,SAMN08952555,Anas_platyrhynchos,female
32,Mallard,PRJNA450892,SAMN08952556,Anas_platyrhynchos,female
33,Mallard,PRJNA450892,SAMN08952557,Anas_platyrhynchos,female
34,Mallard,PRJNA450892,SAMN08952558,Anas_platyrhynchos,female
45,Mallard,PRJNA450892,SAMN08952559,Anas_platyrhynchos,female
46,Mallard,PRJNA450892,SAMN08952560,Anas_platyrhynchos,female
49,Mallard,PRJNA450892,SAMN08952561,Anas_platyrhynchos,female
51,Mallard,PRJNA450892,SAMN08952562,Anas_platyrhynchos,female
52,Mallard,PRJNA450892,SAMN08952563,Anas_platyrhynchos,female
53,Mallard,PRJNA450892,SAMN08952564,Anas_platyrhynchos,female
58,Mallard,PRJNA450892,SAMN08952565,Anas_platyrhynchos,female
59,Mallard,PRJNA450892,SAMN08952566,Anas_platyrhynchos,female
6,Mallard,PRJNA450892,SAMN08952544,Anas_platyrhynchos,female
64,Mallard,PRJNA450892,SAMN08952567,Anas_platyrhynchos,female
65,Mallard,PRJNA450892,SAMN08952568,Anas_platyrhynchos,female
7,Mallard,PRJNA450892,SAMN08952545,Anas_platyrhynchos,female
70,Mallard,PRJNA450892,SAMN08952569,Anas_platyrhynchos,female
71,Mallard,PRJNA450892,SAMN08952570,Anas_platyrhynchos,female
76,Mallard,PRJNA450892,SAMN08952571,Anas_platyrhynchos,female
78,Mallard,PRJNA450892,SAMN08952572,Anas_platyrhynchos,female
80,Mallard,PRJNA450892,SAMN08952573,Anas_platyrhynchos,female
82,Mallard,PRJNA450892,SAMN08952574,Anas_platyrhynchos,female
83,Mallard,PRJNA450892,SAMN08952575,Anas_platyrhynchos,female
84,Mallard,PRJNA450892,SAMN08952576,Anas_platyrhynchos,female
9,Mallard,PRJNA450892,SAMN08952546,Anas_platyrhynchos,female
90,Mallard,PRJNA450892,SAMN08952577,Anas_platyrhynchos,female
95,Mallard,PRJNA450892,SAMN08952578,Anas_platyrhynchos,female
96,Mallard,PRJNA450892,SAMN08952579,Anas_platyrhynchos,female
