BioProject,BioSample,Organism,sex,Submitter_Id,Population,lat_lon,Collection_date,Phenotype,refGenome,refSpecies
PRJNA323589,SAMN05930393,Fundulus_heteroclitus,male,BI-50,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930394,Fundulus_heteroclitus,female,BI-52,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930395,Fundulus_heteroclitus,female,BI-53,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930396,Fundulus_heteroclitus,female,BI-54,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930397,Fundulus_heteroclitus,female,BI-55,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930398,Fundulus_heteroclitus,female,BI-56,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930399,Fundulus_heteroclitus,male,BI-5,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930400,Fundulus_heteroclitus,male,BI-6,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930391,Fundulus_heteroclitus,female,BI-48,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930392,Fundulus_heteroclitus,male,BI-49,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930643,Fundulus_heteroclitus,female,NBH-6,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930428,Fundulus_heteroclitus,male,BP-32,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930427,Fundulus_heteroclitus,female,BP-31,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930430,Fundulus_heteroclitus,female,BP-34,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930429,Fundulus_heteroclitus,female,BP-33,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930424,Fundulus_heteroclitus,female,BP-29,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930423,Fundulus_heteroclitus,male,BP-28,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930425,Fundulus_heteroclitus,female,BP-2,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930422,Fundulus_heteroclitus,male,BP-27,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930421,Fundulus_heteroclitus,male,BP-26,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930528,Fundulus_heteroclitus,male,F-33,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930526,Fundulus_heteroclitus,female,F-31,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930527,Fundulus_heteroclitus,female,F-32,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930524,Fundulus_heteroclitus,female,F-2,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930525,Fundulus_heteroclitus,male,F-30,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930522,Fundulus_heteroclitus,female,F-28,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
