BioProject	Run	Assay Type	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	tissue_type	geographic_location_(region_and_locality)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	use_species
PRJEB22939	ERR2185478	WGS	SAMEA104363372	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241597	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363372	ERP104668	male	ERS1988350	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988350	ItalianIslandSparrow	1	bam-file with whole genome resequencing data	ERC000011	1
PRJEB22939	ERR2185479	WGS	SAMEA104363373	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241598	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363373	ERP104668	male	ERS1988351	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988351	ItalianIslandSparrow	2	NA	ERC000011	1
PRJEB22939	ERR2185480	WGS	SAMEA104363374	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241599	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363374	ERP104668	male	ERS1988352	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988352	ItalianIslandSparrow	3	NA	ERC000011	1
PRJEB22939	ERR2185481	WGS	SAMEA104363375	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241600	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363375	ERP104668	male	ERS1988353	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988353	ItalianIslandSparrow	4	NA	ERC000011	1
PRJEB22939	ERR2185482	WGS	SAMEA104363376	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241601	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363376	ERP104668	male	ERS1988354	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988354	ItalianIslandSparrow	5	NA	ERC000011	1
PRJEB22939	ERR2185483	WGS	SAMEA104363377	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241602	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363377	ERP104668	male	ERS1988355	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988355	ItalianIslandSparrow	6	NA	ERC000011	1
PRJEB22939	ERR2185484	WGS	SAMEA104363378	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241603	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363378	ERP104668	male	ERS1988356	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988356	ItalianIslandSparrow	7	NA	ERC000011	1
PRJEB22939	ERR2185485	WGS	SAMEA104363379	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241604	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363379	ERP104668	male	ERS1988357	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988357	ItalianIslandSparrow	8	NA	ERC000011	1
PRJEB22939	ERR2185486	WGS	SAMEA104363380	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241605	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363380	ERP104668	male	ERS1988358	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988358	ItalianIslandSparrow	9	NA	ERC000011	1
PRJEB22939	ERR2185487	WGS	SAMEA104363381	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241606	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363381	ERP104668	male	ERS1988359	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988359	ItalianIslandSparrow	10	NA	ERC000011	1
