BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	common_name	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	External_Id	Submitter_Id	use_species
PRJEB39998	ERR4557348	WGS	302	4819539782	SAMEA7230561	1997902790	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4493262	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2020-10-09T00:00:00Z	SAMEA7230561	ERP123587	male	YaL-M25	2020-10-08	2020-09-02	2020-10-08	2020-08-24	guppy	UNIVERSITY COLLEGE LONDON	UNIVERSITY COLLEGE LONDON	2020-10-08T17:06:27Z	2020-08-24T18:19:12Z	public	ERS4990539	YaL-M25	SAMEA7230561	YaL-M25	1
PRJEB39998	ERR4567250	WGS	302	6265987808	SAMEA7230498	2669114171	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4503056	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2020-10-09T00:00:00Z	SAMEA7230498	ERP123587	male	QuH-M17	2020-10-08	2020-09-04	2020-10-08	2020-08-24	guppy	UNIVERSITY COLLEGE LONDON	UNIVERSITY COLLEGE LONDON	2020-10-08T17:06:27Z	2020-08-24T18:19:09Z	public	ERS4990476	QuH-M17	SAMEA7230498	QuH-M17	1
PRJEB39998	ERR4567288	WGS	302	6161719288	SAMEA7230534	2576038323	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4503061	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2020-10-09T00:00:00Z	SAMEA7230534	ERP123587	male	YaH-M10	2020-10-08	2020-09-04	2020-10-08	2020-08-24	guppy	UNIVERSITY COLLEGE LONDON	UNIVERSITY COLLEGE LONDON	2020-10-08T17:06:27Z	2020-08-24T18:19:10Z	public	ERS4990512	YaH-M10	SAMEA7230534	YaH-M10	1
PRJEB39998	ERR4554273	WGS	302	7102132490	SAMEA7230449	3146327392	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4490642	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2020-10-09T00:00:00Z	SAMEA7230449	ERP123587	female	ARH-F2	2020-10-08	2020-08-29	2020-10-08	2020-08-24	guppy	UNIVERSITY COLLEGE LONDON	UNIVERSITY COLLEGE LONDON	2020-10-08T17:06:27Z	2020-08-24T18:19:07Z	public	ERS4990427	ARH-F2	SAMEA7230449	ARH-F2	1
PRJEB39998	ERR4554274	WGS	302	8712805700	SAMEA7230449	3910129108	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4490642	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2020-10-09T00:00:00Z	SAMEA7230449	ERP123587	female	ARH-F2	2020-10-08	2020-08-29	2020-10-08	2020-08-24	guppy	UNIVERSITY COLLEGE LONDON	UNIVERSITY COLLEGE LONDON	2020-10-08T17:06:27Z	2020-08-24T18:19:07Z	public	ERS4990427	ARH-F2	SAMEA7230449	ARH-F2	1
PRJEB39998	ERR4554275	WGS	302	8711068294	SAMEA7230449	3866024290	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4490642	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2020-10-09T00:00:00Z	SAMEA7230449	ERP123587	female	ARH-F2	2020-10-08	2020-08-29	2020-10-08	2020-08-24	guppy	UNIVERSITY COLLEGE LONDON	UNIVERSITY COLLEGE LONDON	2020-10-08T17:06:27Z	2020-08-24T18:19:07Z	public	ERS4990427	ARH-F2	SAMEA7230449	ARH-F2	1
PRJEB39998	ERR4554276	WGS	302	9774224866	SAMEA7230449	4368059340	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4490642	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2020-10-09T00:00:00Z	SAMEA7230449	ERP123587	female	ARH-F2	2020-10-08	2020-08-29	2020-10-08	2020-08-24	guppy	UNIVERSITY COLLEGE LONDON	UNIVERSITY COLLEGE LONDON	2020-10-08T17:06:27Z	2020-08-24T18:19:07Z	public	ERS4990427	ARH-F2	SAMEA7230449	ARH-F2	1
PRJEB39998	ERR4554277	WGS	302	9758218564	SAMEA7230449	4409437509	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4490642	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2020-10-09T00:00:00Z	SAMEA7230449	ERP123587	female	ARH-F2	2020-10-08	2020-08-29	2020-10-08	2020-08-24	guppy	UNIVERSITY COLLEGE LONDON	UNIVERSITY COLLEGE LONDON	2020-10-08T17:06:27Z	2020-08-24T18:19:07Z	public	ERS4990427	ARH-F2	SAMEA7230449	ARH-F2	1
PRJEB39998	ERR4554278	WGS	302	5291361630	SAMEA7230449	2348037891	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4490642	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2020-10-09T00:00:00Z	SAMEA7230449	ERP123587	female	ARH-F2	2020-10-08	2020-08-29	2020-10-08	2020-08-24	guppy	UNIVERSITY COLLEGE LONDON	UNIVERSITY COLLEGE LONDON	2020-10-08T17:06:27Z	2020-08-24T18:19:07Z	public	ERS4990427	ARH-F2	SAMEA7230449	ARH-F2	1
PRJEB39998	ERR4554279	WGS	302	5294671550	SAMEA7230449	2375065537	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4490642	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2020-10-09T00:00:00Z	SAMEA7230449	ERP123587	female	ARH-F2	2020-10-08	2020-08-29	2020-10-08	2020-08-24	guppy	UNIVERSITY COLLEGE LONDON	UNIVERSITY COLLEGE LONDON	2020-10-08T17:06:27Z	2020-08-24T18:19:07Z	public	ERS4990427	ARH-F2	SAMEA7230449	ARH-F2	1
