BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Ecotype	Biomaterial_provider	Collection_date	Replicate	use_species
PRJNA485198	SRR7662365	WGS	301	21894180092	SAMN09786226	9116802190	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523142	Illumina HiSeq 3000	MIA8	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MIA8	SRP156808	Model organism or animal	female	fin	adult	missing	Ndole Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Ndole_Lake_9	0
PRJNA485198	SRR7662366	WGS	301	19499622861	SAMN09786225	8124925151	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523141	Illumina HiSeq 3000	MIA7	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MIA7	SRP156808	Model organism or animal	male	fin	adult	missing	Ndole Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Ndole_Lake_8	0
PRJNA485198	SRR7662367	WGS	301	19028519941	SAMN09786224	7889426387	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523140	Illumina HiSeq 3000	MIA5	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MIA5	SRP156808	Model organism or animal	male	fin	adult	missing	Ndole Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Ndole_Lake_7	0
PRJNA485198	SRR7662370	WGS	301	22194730192	SAMN09786229	9216773234	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523137	Illumina HiSeq 3000	MIB2	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MIB2	SRP156808	Model organism or animal	female	fin	adult	missing	Ndole Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Ndole_Lake_12	0
PRJNA485198	SRR7662371	WGS	301	18782104208	SAMN09786228	7750540256	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523136	Illumina HiSeq 3000	MIB1	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MIB1	SRP156808	Model organism or animal	female	fin	adult	missing	Ndole Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Ndole_Lake_11	0
PRJNA485198	SRR7662501	WGS	300	19177851925	SAMN09786213	7909819780	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523006	Illumina HiSeq 3000	MFG8	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MFG8	SRP156808	Model organism or animal	female	fin	adult	missing	Lufubu River	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Lufubu_River_8	0
PRJNA485198	SRR7662502	WGS	301	20865275006	SAMN09786212	8658625481	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523005	Illumina HiSeq 3000	MFG7	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MFG7	SRP156808	Model organism or animal	male	fin	adult	missing	Lufubu River	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Lufubu_River_7	0
PRJNA485198	SRR7662505	WGS	300	19443284571	SAMN09786207	8003275216	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523002	Illumina HiSeq 3000	MFG2	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MFG2	SRP156808	Model organism or animal	male	fin	adult	missing	Lufubu River	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Lufubu_River_2	0
PRJNA485198	SRR7662506	WGS	302	20328086288	SAMN09786206	8250790073	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523001	Illumina HiSeq 3000	MFG1	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MFG1	SRP156808	Model organism or animal	male	fin	adult	missing	Lufubu River	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Lufubu_River_1	0
PRJNA485198	SRR7662507	WGS	301	17931548168	SAMN09786209	7509551720	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523000	Illumina HiSeq 3000	MFG4	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MFG4	SRP156808	Model organism or animal	female	fin	adult	missing	Lufubu River	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Lufubu_River_4	0
