BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	use_species
PRJEB10680	ERR1001649	WGS	202	10750879552	SAMEA3522226	7503566336	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1080673	Illumina HiSeq 2000	C1_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3522226	ERP011965	male	ERS829375	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-04T14:45:29Z	public	ERS829375	C1	C1	Intro Caigual	ERC000011	1
PRJEB10680	ERR1001650	WGS	202	6723653830	SAMEA3522227	4626043680	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1080674	Illumina HiSeq 2000	C12_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3522227	ERP011965	male	ERS829376	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-04T14:45:29Z	public	ERS829376	C12	C12	Intro Caigual	ERC000011	1
PRJEB10680	ERR1001651	WGS	202	5947704766	SAMEA3522228	4026666099	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1080675	Illumina HiSeq 2000	C13_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3522228	ERP011965	male	ERS829377	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-04T14:45:29Z	public	ERS829377	C13	C13	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016705	WGS	199	2439631406	SAMEA3539925	1778679643	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095772	Illumina HiSeq 2000	C1_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539925	ERP011965	male	ERS847074	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847074	C1_2	C1_2	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016706	WGS	199	3942420796	SAMEA3539926	2889362537	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095773	Illumina HiSeq 2000	C12_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539926	ERP011965	male	ERS847075	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847075	C12_2	C12_2	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016707	WGS	202	4822676472	SAMEA3539927	3257486308	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095774	Illumina HiSeq 2000	C14_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539927	ERP011965	male	ERS847076	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847076	C14	C14	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016708	WGS	202	6666203616	SAMEA3539928	4581576902	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095775	Illumina HiSeq 2000	C15_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539928	ERP011965	male	ERS847077	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847077	C15	C15	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016709	WGS	202	4784037710	SAMEA3539929	3251525836	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095776	Illumina HiSeq 2000	C16_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539929	ERP011965	male	ERS847078	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847078	C16	C16	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016710	WGS	202	3785146498	SAMEA3539930	2618444566	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095777	Illumina HiSeq 2000	C17_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539930	ERP011965	male	ERS847079	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847079	C17	C17	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016711	WGS	199	5926883860	SAMEA3539931	4350311900	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095778	Illumina HiSeq 2000	C4_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539931	ERP011965	male	ERS847080	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847080	C4	C4	Intro Caigual	ERC000011	1
