BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Ecotype	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Strain	Cultivar	env_broad_scale	env_local_scale	env_medium	isol_growth_condt	estimated_size	num_replicons	ploidy	propagation	use_species
PRJNA515277	SRR8444783	WGS	302	6038030960	SAMN10751928	2505101718	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251939	NextSeq 500	221	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_221	SRP179626	MIGS.eu	missing	red	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	221	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444784	WGS	302	5957620742	SAMN10751929	2488257066	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251938	NextSeq 500	222	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_222	SRP179626	MIGS.eu	missing	yellow	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	222	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444785	WGS	302	6578314094	SAMN10751926	2733590649	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251937	NextSeq 500	215	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_215	SRP179626	MIGS.eu	missing	red	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	215	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444786	WGS	302	3467243578	SAMN10751927	1445406980	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251936	NextSeq 500	216	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_216	SRP179626	MIGS.eu	missing	red	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	216	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444787	WGS	302	6316804744	SAMN10751907	2665156747	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251935	NextSeq 500	29	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_29	SRP179626	MIGS.eu	missing	black	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	29	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444788	WGS	302	5803215692	SAMN10751906	2406898641	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251934	NextSeq 500	23	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_23	SRP179626	MIGS.eu	missing	black	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	23	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444789	WGS	302	4464385970	SAMN10751909	1872423907	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251933	NextSeq 500	91	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_91	SRP179626	MIGS.eu	missing	yellow	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	91	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444790	WGS	302	6431947680	SAMN10751908	2763057858	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251932	NextSeq 500	61	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_61	SRP179626	MIGS.eu	missing	red	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	61	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444791	WGS	302	8120256936	SAMN10751911	3410218226	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251931	NextSeq 500	131	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_131	SRP179626	MIGS.eu	missing	red	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	131	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444792	WGS	302	5379435400	SAMN10751910	2258738724	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251930	NextSeq 500	114	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_114	SRP179626	MIGS.eu	missing	red	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	114	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
