Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioSampleModel,sex,Tissue,Isolate,dev_stage,AGE,Ecotype,Biomaterial_provider,Cell_type,Collection_date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,collected_by,lat_lon,death_date,Isolation_source,Sample_Type,additional_info,Host,sample_comment,Sample_Name,Strain
DRR014108,WGS,299,73184,PRJDB1831,SAMD00002687,89345,NCCHD,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",DRX012646,Illumina MiSeq,Lethenteron_japonicum1500,PAIRED,RANDOM,GENOMIC,Lethenteron camtschaticum,ILLUMINA,2014-04-02T00:00:00Z,SAMD00002687,DRP001217,,,,,,,,,,,,,,,,,,,,,Short reads used to determine the complete seqence of Lethenteron japonicum mitochondrial genome,DRS012393,
DRR014109,WGS,202,130914988,PRJDB1831,SAMD00002687,82773155,NCCHD,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",DRX012645,Illumina HiSeq 1000,Lethenteron_japonicum0300,PAIRED,RANDOM,GENOMIC,Lethenteron camtschaticum,ILLUMINA,2014-04-02T00:00:00Z,SAMD00002687,DRP001217,,,,,,,,,,,,,,,,,,,,,Short reads used to determine the complete seqence of Lethenteron japonicum mitochondrial genome,DRS012393,
SRR5503832,WGS,160,48117485280,PRJNA357048,SAMN06131802,21839666487,UNIVERSITY OF KENTUCKY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2781363,Illumina HiSeq 2000,Fos2,PAIRED,RANDOM,GENOMIC,Petromyzon marinus,ILLUMINA,2017-12-05T00:00:00Z,Sea Lamprey Sperm,SRP106344,Model organism or animal,male,Sperm,W1,Spawning,Adult,Ocean Run,Hugo Parker,Sperm,,,,,,,,,,,,,,
SRR5503834,WGS,200,33850146000,PRJNA357048,SAMN06131802,22069766106,UNIVERSITY OF KENTUCKY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2781365,Illumina HiSeq 2000,PE4k,PAIRED,RANDOM,GENOMIC,Petromyzon marinus,ILLUMINA,2017-12-05T00:00:00Z,Sea Lamprey Sperm,SRP106344,Model organism or animal,male,Sperm,W1,Spawning,Adult,Ocean Run,Hugo Parker,Sperm,,,,,,,,,,,,,,
SRR5503835,WGS,150,4026212100,PRJNA357048,SAMN06131802,2247750172,UNIVERSITY OF KENTUCKY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2781366,Illumina HiSeq 2000,GE4k,PAIRED,RANDOM,GENOMIC,Petromyzon marinus,ILLUMINA,2017-12-05T00:00:00Z,Sea Lamprey Sperm,SRP106344,Model organism or animal,male,Sperm,W1,Spawning,Adult,Ocean Run,Hugo Parker,Sperm,,,,,,,,,,,,,,
SRR5503836,WGS,200,34358465200,PRJNA357048,SAMN06131802,23341350143,UNIVERSITY OF KENTUCKY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2781367,Illumina HiSeq 2000,elg300D,PAIRED,RANDOM,GENOMIC,Petromyzon marinus,ILLUMINA,2017-12-05T00:00:00Z,Sea Lamprey Sperm,SRP106344,Model organism or animal,male,Sperm,W1,Spawning,Adult,Ocean Run,Hugo Parker,Sperm,,,,,,,,,,,,,,
SRR5503837,WGS,200,34427273200,PRJNA357048,SAMN06131802,23259614102,UNIVERSITY OF KENTUCKY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2781368,Illumina HiSeq 2000,elg300C,PAIRED,RANDOM,GENOMIC,Petromyzon marinus,ILLUMINA,2017-12-05T00:00:00Z,Sea Lamprey Sperm,SRP106344,Model organism or animal,male,Sperm,W1,Spawning,Adult,Ocean Run,Hugo Parker,Sperm,,,,,,,,,,,,,,
SRR5503838,WGS,200,34480080000,PRJNA357048,SAMN06131802,23282922229,UNIVERSITY OF KENTUCKY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2781369,Illumina HiSeq 2000,elg300B,PAIRED,RANDOM,GENOMIC,Petromyzon marinus,ILLUMINA,2017-12-05T00:00:00Z,Sea Lamprey Sperm,SRP106344,Model organism or animal,male,Sperm,W1,Spawning,Adult,Ocean Run,Hugo Parker,Sperm,,,,,,,,,,,,,,
SRR5503839,WGS,200,34383829200,PRJNA357048,SAMN06131802,23144561708,UNIVERSITY OF KENTUCKY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2781370,Illumina HiSeq 2000,elg300A,PAIRED,RANDOM,GENOMIC,Petromyzon marinus,ILLUMINA,2017-12-05T00:00:00Z,Sea Lamprey Sperm,SRP106344,Model organism or animal,male,Sperm,W1,Spawning,Adult,Ocean Run,Hugo Parker,Sperm,,,,,,,,,,,,,,
SRR5503840,WGS,200,38225427600,PRJNA357048,SAMN06131802,25146995812,UNIVERSITY OF KENTUCKY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2781371,Illumina HiSeq 2000,elg200D,PAIRED,RANDOM,GENOMIC,Petromyzon marinus,ILLUMINA,2017-12-05T00:00:00Z,Sea Lamprey Sperm,SRP106344,Model organism or animal,male,Sperm,W1,Spawning,Adult,Ocean Run,Hugo Parker,Sperm,,,,,,,,,,,,,,
