BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Isolate	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	tissue_type	Label	sub_species	body_site	pathovar	use_species
PRJNA192205	SRR867110	WGS	100	4460153700	SAMN02143031	3165790777	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	S_Up_H32	2010	Sweden	Europe	Sweden: Uppsala	blood	NA	cornix	NA	NA	1
PRJNA192205	SRR867112	WGS	98	7513065434	SAMN02143031	5255692563	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	S_Up_H32	2010	Sweden	Europe	Sweden: Uppsala	blood	NA	cornix	NA	NA	1
PRJNA192205	SRR867113	WGS	98	7735500640	SAMN02143031	5419093184	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	S_Up_H32	2010	Sweden	Europe	Sweden: Uppsala	blood	NA	cornix	NA	NA	1
PRJNA192205	SRR867114	WGS	98	3587447094	SAMN02143031	2364390302	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	S_Up_H32	2010	Sweden	Europe	Sweden: Uppsala	blood	NA	cornix	NA	NA	1
PRJNA192205	SRR867115	WGS	98	3595488288	SAMN02143031	2374946429	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	S_Up_H32	2010	Sweden	Europe	Sweden: Uppsala	blood	NA	cornix	NA	NA	1
PRJNA192205	SRR867116	WGS	98	4862850160	SAMN02143031	3235813601	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	S_Up_H32	2010	Sweden	Europe	Sweden: Uppsala	blood	NA	cornix	NA	NA	1
PRJNA192205	SRR867117	WGS	98	4869349422	SAMN02143031	3239555685	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	S_Up_H32	2010	Sweden	Europe	Sweden: Uppsala	blood	NA	cornix	NA	NA	1
PRJNA192205	SRR867118	WGS	98	3270192282	SAMN02143031	2328134850	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286216	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_20kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	S_Up_H32	2010	Sweden	Europe	Sweden: Uppsala	blood	NA	cornix	NA	NA	1
PRJNA192205	SRR867119	WGS	98	16135956564	SAMN02143031	10679444970	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286216	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_20kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	S_Up_H32	2010	Sweden	Europe	Sweden: Uppsala	blood	NA	cornix	NA	NA	1
PRJNA192205	SRR1265090	WGS	200	1909663600	SAMN02439805	1384087958	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX528796	Illumina HiSeq 2000	PL_Wa_H02	PAIRED	RANDOM	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	PL_Wa_H02	SRP022901	male	NA	2010	Poland	Europe	Poland: Warsaw	NA	PL_Wa_H02	cornix	blood	blood	1
