BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	AGE	Breed	Specimen_voucher	PHENOTYPE	use_species
PRJNA515813	SRR8468507	WGS	302	123889550298	SAMN10786402	46809047619	CIBIO-INBIO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5274952	Illumina HiSeq 1500	Pmuralis_TordeQuerol_Females_WGpoolseq	PAIRED	RANDOM	GENOMIC	Podarcis_muralis	ILLUMINA	2019-03-03T00:00:00Z	Podarcis_muralis_TordeQuerol_Females_WGpoolseq_	SRP181081	Model organism or animal	female	Muscle	Adult	Wild-caught	24 individual samples in pool	All colour morphs	1
PRJNA515813	SRR8468509	WGS	302	31598754978	SAMN10786404	15013707064	CIBIO-INBIO	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5274950	Illumina HiSeq 2500	Pmuralis_HiC_lib1	PAIRED	RANDOM	GENOMIC	Podarcis_muralis	ILLUMINA	2019-03-03T00:00:00Z	Podarcis_muralis_HiC_lib1_	SRP181081	Model organism or animal	male	various	Adult	Wild-caught	HiC lib1	Orange-white	1
PRJNA515813	SRR8468530	WGS	300	65391969600	SAMN10786390	26552838554	CIBIO-INBIO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5274929	Illumina HiSeq 2500	Pmuralis_HiSeq	PAIRED	RANDOM	GENOMIC	Podarcis_muralis	ILLUMINA	2019-03-03T00:00:00Z	Podarcis_muralis_HiSeq_	SRP181081	Model organism or animal	male	Muscle	Adult	Wild-caught	Reference individual HiSeq reads	Yellow	1
PRJNA515813	SRR8468531	WGS	252	31042426212	SAMN10786391	14077409550	CIBIO-INBIO	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5274928	Illumina HiSeq 1500	Pmuralis_Angostrina_Orange_WGpoolseq	PAIRED	RANDOM	GENOMIC	Podarcis_muralis	ILLUMINA	2019-03-03T00:00:00Z	Podarcis_muralis_Angostrina_Orange_WGpoolseq_	SRP181081	Model organism or animal	male	Muscle	Adult	Wild-caught	14 individual samples in pool	Orange	1
PRJNA515813	SRR8468549	WGS	252	28751388372	SAMN10786392	13154930429	CIBIO-INBIO	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5274910	Illumina HiSeq 1500	Pmuralis_Angostrina_OrangeWhite_WGpoolseq	PAIRED	RANDOM	GENOMIC	Podarcis_muralis	ILLUMINA	2019-03-03T00:00:00Z	Podarcis_muralis_Angostrina_OrangeWhite_WGpoolseq_	SRP181081	Model organism or animal	male	Muscle	Adult	Wild-caught	14 individual samples in pool	Orange-white	1
PRJNA515813	SRR8468550	WGS	252	27830527200	SAMN10786393	12768187183	CIBIO-INBIO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5274909	Illumina HiSeq 1500	Pmuralis_Angostrina_OrangeYellow_WGpoolseq	PAIRED	RANDOM	GENOMIC	Podarcis_muralis	ILLUMINA	2019-03-03T00:00:00Z	Podarcis_muralis_Angostrina_OrangeYellow_WGpoolseq_	SRP181081	Model organism or animal	male	Muscle	Adult	Wild-caught	15 individual samples in pool	Orange-yellow	1
PRJNA515813	SRR8468551	WGS	252	29473853472	SAMN10786394	13418539800	CIBIO-INBIO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5274908	Illumina HiSeq 1500	Pmuralis_Angostrina_White_WGpoolseq	PAIRED	RANDOM	GENOMIC	Podarcis_muralis	ILLUMINA	2019-03-03T00:00:00Z	Podarcis_muralis_Angostrina_White_WGpoolseq_	SRP181081	Model organism or animal	male	Muscle	Adult	Wild-caught	15 individual samples in pool	White	1
PRJNA515813	SRR8468552	WGS	252	27267957612	SAMN10786395	12461325105	CIBIO-INBIO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5274907	Illumina HiSeq 1500	Pmuralis_Angostrina_Yellow_WGpoolseq	PAIRED	RANDOM	GENOMIC	Podarcis_muralis	ILLUMINA	2019-03-03T00:00:00Z	Podarcis_muralis_Angostrina_Yellow_WGpoolseq_	SRP181081	Model organism or animal	male	Muscle	Adult	Wild-caught	15 individual samples in pool	Yellow	1
PRJNA515813	SRR8468553	WGS	251	28535953558	SAMN10786396	10612564980	CIBIO-INBIO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5274906	Illumina HiSeq 1500	Pmuralis_TordeQuerol_Orange_WGpoolseq	PAIRED	RANDOM	GENOMIC	Podarcis_muralis	ILLUMINA	2019-03-03T00:00:00Z	Podarcis_muralis_TordeQuerol_Orange_WGpoolseq_	SRP181081	Model organism or animal	male	Muscle	Adult	Wild-caught	20 individual samples in pool	Orange	1
PRJNA515813	SRR8468554	WGS	251	26652849401	SAMN10786397	9905878442	CIBIO-INBIO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5274905	Illumina HiSeq 1500	Pmuralis_TordeQuerol_OrangeWhite_WGpoolseq	PAIRED	RANDOM	GENOMIC	Podarcis_muralis	ILLUMINA	2019-03-03T00:00:00Z	Podarcis_muralis_TordeQuerol_OrangeWhite_WGpoolseq_	SRP181081	Model organism or animal	male	Muscle	Adult	Wild-caught	11 individual samples in pool	Orange-white	1
