BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Label	body_site	pathovar	use_species
PRJNA192205	SRR1289962	WGS	200	2562921200	SAMN02743852	1919983118	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542247	Illumina HiSeq 2000	USA_NY_B04	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B04	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New York	USA_NY_B04	blood	blood	1
PRJNA192205	SRR1289965	WGS	200	2580879000	SAMN02743852	1920402940	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542247	Illumina HiSeq 2000	USA_NY_B04	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B04	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New York	USA_NY_B04	blood	blood	1
PRJNA192205	SRR1289975	WGS	200	2676268600	SAMN02743852	1961361968	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542247	Illumina HiSeq 2000	USA_NY_B04	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B04	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New York	USA_NY_B04	blood	blood	1
PRJNA192205	SRR1284298	WGS	200	2598374400	SAMN02743852	1928090959	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535391	Illumina HiSeq 2000	USA_NY_B04	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B04	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New York	USA_NY_B04	blood	blood	1
PRJNA192205	SRR1286110	WGS	200	2556300600	SAMN02743848	1559707502	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542252	Illumina HiSeq 2000	USA_CA_B01	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_CA_B01	SRP022901	Model organism or animal	male	2010	USA	North America	USA: California	USA_CA_B01	blood	blood	1
PRJNA192205	SRR1286111	WGS	200	2746025400	SAMN02743848	1937042334	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542252	Illumina HiSeq 2000	USA_CA_B01	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_CA_B01	SRP022901	Model organism or animal	male	2010	USA	North America	USA: California	USA_CA_B01	blood	blood	1
PRJNA192205	SRR1286112	WGS	200	2723937600	SAMN02743848	1924518967	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542252	Illumina HiSeq 2000	USA_CA_B01	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_CA_B01	SRP022901	Model organism or animal	male	2010	USA	North America	USA: California	USA_CA_B01	blood	blood	1
PRJNA192205	SRR1286113	WGS	200	2861580600	SAMN02743848	1977287751	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542252	Illumina HiSeq 2000	USA_CA_B01	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_CA_B01	SRP022901	Model organism or animal	male	2010	USA	North America	USA: California	USA_CA_B01	blood	blood	1
PRJNA192205	SRR1286115	WGS	200	12812830800	SAMN02743848	8084188783	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542252	Illumina HiSeq 2000	USA_CA_B01	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_CA_B01	SRP022901	Model organism or animal	male	2010	USA	North America	USA: California	USA_CA_B01	blood	blood	1
PRJNA192205	SRR1286117	WGS	200	1583353400	SAMN02743850	1166730808	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542255	Illumina HiSeq 2000	USA_CA_B03	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_CA_B03	SRP022901	Model organism or animal	male	2010	USA	North America	USA: California	USA_CA_B03	tissue	tissue	1
PRJNA192205	SRR1286118	WGS	200	4690879000	SAMN02743850	3474470770	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542255	Illumina HiSeq 2000	USA_CA_B03	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_CA_B03	SRP022901	Model organism or animal	male	2010	USA	North America	USA: California	USA_CA_B03	tissue	tissue	1
