BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	use_species
PRJEB22221	ERR2098927	WGS	298	61446544193	SAMEA104219291	30517009878	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156239	HiSeq X Ten	L_XH1	PAIRED	RANDOM	GENOMIC	Xiphophorus_hellerii	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219291	ERP024567	missing	ERS1878309	2018-01-18	2020-06-24	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878309	XH1_M	XH1	male	ERC000011	0
PRJEB22221	ERR2098929	WGS	298	65639144611	SAMEA104219293	30180362834	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156241	HiSeq X Ten	L_XH3	PAIRED	RANDOM	GENOMIC	Xiphophorus_hellerii	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219293	ERP024567	missing	ERS1878311	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878311	XH3_F	XH3	female	ERC000011	0
PRJEB22221	ERR2098930	WGS	298	63829652611	SAMEA104219294	29470452221	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156242	HiSeq X Ten	L_XH4	PAIRED	RANDOM	GENOMIC	Xiphophorus_hellerii	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219294	ERP024567	missing	ERS1878312	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878312	XH4_F	XH4	female	ERC000011	0
PRJEB22221	ERR2098931	WGS	298	64907871572	SAMEA104219295	31673321768	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156243	HiSeq X Ten	L_XM1A	PAIRED	RANDOM	GENOMIC	Xiphophorus_maculatus	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219295	ERP024567	missing	ERS1878313	2018-01-18	2020-06-24	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878313	XM1A_M	XM1A	male	ERC000011	0
PRJEB22221	ERR2098932	WGS	298	60537666157	SAMEA104219296	28784008234	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156244	HiSeq X Ten	L_XM2A	PAIRED	RANDOM	GENOMIC	Xiphophorus_maculatus	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219296	ERP024567	missing	ERS1878314	2018-01-18	2020-06-22	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878314	XM2A-M	XM2A	male	ERC000011	0
PRJEB22221	ERR2098933	WGS	298	62325615479	SAMEA104219297	30417274197	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156245	HiSeq X Ten	L_XM3A	PAIRED	RANDOM	GENOMIC	Xiphophorus_maculatus	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219297	ERP024567	missing	ERS1878315	2018-01-18	2020-06-24	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878315	XM3A_F	XM3A	female	ERC000011	0
PRJEB22221	ERR2098934	WGS	298	57402342965	SAMEA104219298	27573090435	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156246	HiSeq X Ten	L_XM4A	PAIRED	RANDOM	GENOMIC	Xiphophorus_maculatus	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219298	ERP024567	missing	ERS1878316	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878316	XM4A_F	XM4A	female	ERC000011	0
PRJEB22221	ERR2098928	WGS	298	69353040410	SAMEA104219292	33780199294	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156240	HiSeq X Ten	L_XH2	PAIRED	RANDOM	GENOMIC	Xiphophorus_hellerii	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219292	ERP024567	missing	ERS1878310	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878310	XH2_M	XH2	male	ERC000011	0
PRJEB22221	ERR2098911	WGS	298	59970110763	SAMEA104219275	29990108704	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156223	HiSeq X Ten	L_PR1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219275	ERP024567	missing	ERS1878293	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:48Z	public	ERS1878293	PR1_AM	PR1	Aripo male	ERC000011	1
PRJEB22221	ERR2098912	WGS	298	54883810329	SAMEA104219276	27156193084	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156224	HiSeq X Ten	L_PR2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219276	ERP024567	missing	ERS1878294	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:48Z	public	ERS1878294	PR2_AM	PR2	Aripo male	ERC000011	1
PRJEB22221	ERR2098913	WGS	298	49257442753	SAMEA104219277	24375926214	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156225	HiSeq X Ten	L_PR3	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219277	ERP024567	missing	ERS1878295	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:48Z	public	ERS1878295	PR3_AM	PR3	Aripo male	ERC000011	1
PRJEB22221	ERR2098914	WGS	298	65683094151	SAMEA104219278	30373674136	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156226	HiSeq X Ten	L_PR4	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219278	ERP024567	missing	ERS1878296	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:48Z	public	ERS1878296	PR4_AM	PR4	Aripo male	ERC000011	1
PRJEB22221	ERR2098915	WGS	298	63015468510	SAMEA104219279	29207397350	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156227	HiSeq X Ten	L_PR5	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219279	ERP024567	missing	ERS1878297	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:48Z	public	ERS1878297	PR5_AM	PR5	Aripo male	ERC000011	1
PRJEB22221	ERR2098916	WGS	298	57952551666	SAMEA104219280	28304888444	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156228	HiSeq X Ten	L_PR6	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219280	ERP024567	missing	ERS1878298	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:48Z	public	ERS1878298	PR6_AM	PR6	Aripo male	ERC000011	1
PRJEB22221	ERR2098917	WGS	298	61471634080	SAMEA104219281	29913663317	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156229	HiSeq X Ten	L_PR7	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219281	ERP024567	missing	ERS1878299	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:48Z	public	ERS1878299	PR7_AM	PR7	Aripo male	ERC000011	1
PRJEB22221	ERR2098918	WGS	298	59216867663	SAMEA104219282	29640423481	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156230	HiSeq X Ten	L_PR8	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219282	ERP024567	missing	ERS1878300	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:48Z	public	ERS1878300	PR8_AM	PR8	Aripo male	ERC000011	1
PRJEB22221	ERR2098919	WGS	298	60604547063	SAMEA104219283	30094495208	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156231	HiSeq X Ten	L_PR9	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219283	ERP024567	missing	ERS1878301	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:48Z	public	ERS1878301	PR9_AM	PR9	Aripo male	ERC000011	1
PRJEB22221	ERR2098920	WGS	298	45998179249	SAMEA104219284	22887090941	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156232	HiSeq X Ten	L_PR10	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219284	ERP024567	missing	ERS1878302	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:48Z	public	ERS1878302	PR10_AM	PR10	Aripo male	ERC000011	1
