BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	use_species
PRJEB27649	ERR2697442	WGS	298	33671077912	SAMEA4785058	13062758061	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711835	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785058	ERP109758	NA	missing	NA	NA	NA	ERS2604996	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2604996	CSP03_161116	CSP03_161116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Tenerife	ERC000011	1
PRJEB27649	ERR2697443	WGS	298	36902854384	SAMEA4785059	13995095847	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711836	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785059	ERP109758	NA	missing	NA	NA	NA	ERS2604997	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2604997	CSP17_151116	CSP17_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, J\, Tenerife	ERC000011	1
PRJEB27649	ERR2697444	WGS	NA	NA	SAMEA4785060	NA	UNIVERSITY OF OSLO	public	NA	NA	NA	ERX2711837	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785060	ERP109758	NA	missing	NA	NA	NA	ERS2604998	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2604998	CSP18_151116	CSP18_151116	NA	Spanish sparrow\, M\, Tenerife	ERC000011	1
PRJEB27649	ERR2697446	WGS	NA	NA	SAMEA4785062	NA	UNIVERSITY OF OSLO	public	NA	NA	NA	ERX2711839	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785062	ERP109758	NA	missing	NA	NA	NA	ERS2605000	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605000	CSP31_151116	CSP31_151116	NA	Spanish sparrow\, F\, Tenerife	ERC000011	1
PRJEB27649	ERR2697447	WGS	298	28969557041	SAMEA4785063	11642028143	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711840	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785063	ERP109758	NA	missing	NA	NA	NA	ERS2605001	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605001	CSP36_151116	CSP36_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Tenerife	ERC000011	1
PRJEB27649	ERR2697448	WGS	297	38724780418	SAMEA4785064	14656150725	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711841	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785064	ERP109758	NA	missing	NA	NA	NA	ERS2605002	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605002	CSP4_161116	CSP4_161116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Tenerife	ERC000011	1
PRJEB27649	ERR2697449	WGS	298	36016653568	SAMEA4785065	13789955829	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711842	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785065	ERP109758	NA	missing	NA	NA	NA	ERS2605003	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605003	CSP6_151116	CSP6_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Tenerife	ERC000011	1
PRJEB27649	ERR2697450	WGS	297	39725062313	SAMEA4785066	16096214300	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711843	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785066	ERP109758	NA	missing	NA	NA	NA	ERS2605004	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605004	CSP7_151116	CSP7_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Tenerife	ERC000011	1
PRJEB27649	ERR2697451	WGS	298	40323621357	SAMEA4785067	15477340024	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711844	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785067	ERP109758	NA	missing	NA	NA	NA	ERS2605005	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605005	CSP9_151116	CSP9_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Tenerife	ERC000011	1
PRJEB27649	ERR2697452	WGS	298	36491847525	SAMEA4785068	14514296003	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711845	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785068	ERP109758	NA	missing	NA	NA	NA	ERS2605006	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605006	CSV01	CSV01	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Cape_Verde	ERC000011	1
