BioProject	Run	Assay Type	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	ENA_CHECKLIST	use_species
PRJEB10586	ERR1013156	WGS	SAMEA3532852	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092180	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532852	ERP011851	missing	ERS840001	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:24Z	2015-09-10T15:12:52Z	public	ERS840001	zebra finch (domesticated)	MP1	Taeniopygia_guttata_plus_random.3.2.4	ERC000011	1
PRJEB10586	ERR1013157	WGS	SAMEA3532853	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092181	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532853	ERP011851	missing	ERS840002	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:24Z	2015-09-10T15:12:37Z	public	ERS840002	zebra finch (domesticated)	MP2	taeGut1	ERC000011	1
PRJEB10586	ERR1013158	WGS	SAMEA3532854	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092182	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532854	ERP011851	missing	ERS840003	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:12:37Z	public	ERS840003	zebra finch (domesticated)	MP3	taeGut1	ERC000011	1
PRJEB10586	ERR1013159	WGS	SAMEA3532855	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092183	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532855	ERP011851	missing	ERS840004	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:12:37Z	public	ERS840004	zebra finch (domesticated)	MP4	taeGut1	ERC000011	1
PRJEB10586	ERR1013160	WGS	SAMEA3532856	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092184	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532856	ERP011851	missing	ERS840005	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:12:37Z	public	ERS840005	zebra finch (domesticated)	MP5	taeGut1	ERC000011	1
PRJEB10586	ERR1013161	WGS	SAMEA3532857	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092185	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532857	ERP011851	missing	ERS840006	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:11:21Z	public	ERS840006	zebra finch (wild)	26462	taeGut1	ERC000011	1
PRJEB10586	ERR1013162	WGS	SAMEA3532858	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092186	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532858	ERP011851	missing	ERS840007	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:11:21Z	public	ERS840007	zebra finch (wild)	28339	taeGut1	ERC000011	1
PRJEB10586	ERR1013163	WGS	SAMEA3532859	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092187	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532859	ERP011851	missing	ERS840008	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:11:22Z	public	ERS840008	zebra finch (wild)	28353	taeGut1	ERC000011	1
PRJEB10586	ERR1013164	WGS	SAMEA3532860	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092188	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532860	ERP011851	missing	ERS840009	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:26Z	2015-09-10T15:11:22Z	public	ERS840009	zebra finch (wild)	26721	taeGut1	ERC000011	1
PRJEB10586	ERR1013165	WGS	SAMEA3532861	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092189	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532861	ERP011851	missing	ERS840010	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:11:22Z	public	ERS840010	zebra finch (wild)	28456	taeGut1	ERC000011	1
PRJEB10586	ERR1013166	WGS	SAMEA3532862	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092190	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532862	ERP011851	missing	ERS840011	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:26Z	2015-09-10T15:11:22Z	public	ERS840011	zebra finch (wild)	28402	taeGut1	ERC000011	1
