BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Strain	store_cond	birth_location	birth_date	use_species
PRJNA255814	SRR5407744	WGS	200	16647794000	SAMN02929199	11049380374	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700193	Illumina HiSeq 2000	HI.1031.001.Index_16.Sparrow_8887266_2	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	Ca. July 19th 2002	1
PRJNA255814	SRR5407747	WGS	200	19191744800	SAMN02929199	12867776534	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700196	Illumina HiSeq 2000	HI.1031.001.Index_18.Sparrow_8887266_3	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	Ca. July 19th 2002	1
PRJNA255814	SRR5407748	WGS	202	30428395038	SAMN02929199	23645404158	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700197	Illumina HiSeq 2000	Satre-SparrowgDNA-8887266_NoIndex_L002	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	Ca. July 19th 2002	1
PRJNA255814	SRR5407749	WGS	202	30330513312	SAMN02929199	23596633403	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700198	Illumina HiSeq 2000	Satre-SparrowgDNA-8887266_NoIndex_L001	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	Ca. July 19th 2002	1
PRJNA255814	SRR5407745	WGS	202	24812787968	SAMN02929199	14703517571	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700194	Illumina HiSeq 2000	Satre-sparrowMP-8887266-Spurv_TGACCA_L006	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	Ca. July 19th 2002	1
PRJNA255814	SRR5407746	WGS	200	37481005600	SAMN02929199	25262870506	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700195	Illumina HiSeq 2000	HI.1031.002.Index_18.Sparrow_8887266_3	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	Ca. July 19th 2002	1
PRJNA255814	SRR5369936	WGS	200	14663338600	SAMN06619722	10590886931	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665263	Illumina HiSeq 2000	HI.1147.004.Index_5.Pmontanus_1_Naxos_2	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2017-03-24T00:00:00Z	2008-Pm_Naxos_2	SRP045123	Model organism or animal	male	blood	2008-Pm_Naxos_2	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369937	WGS	200	13227730800	SAMN06619721	9558962700	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665264	Illumina HiSeq 2000	HI.1158.007.Index_10.Pitaliae_30_Guglionesi_436	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0436	SRP045123	Model organism or animal	male	blood	2008-P0436	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369939	WGS	200	13993182000	SAMN06619719	8836259662	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665266	Illumina HiSeq 2000	HI.1231.008.Index_8.Pitaliae_28_Guglionesi_434	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0434	SRP045123	Model organism or animal	male	blood	2008-P0434	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369940	WGS	200	14345745000	SAMN06619718	10270655375	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665267	Illumina HiSeq 2000	HI.1158.007.Index_7.Pitaliae_27_Guglionesi_433	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0433	SRP045123	Model organism or animal	male	blood	2008-P0433	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
