BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,refGenome,refSpecies
PRJNA192205,SAMN02743852,Corvus_brachyrhynchos,male,USA_NY_B04,USA,North America,USA: New York,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02743848,Corvus_brachyrhynchos,male,USA_CA_B01,USA,North America,USA: California,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02743850,Corvus_brachyrhynchos,male,USA_CA_B03,USA,North America,USA: California,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02743849,Corvus_brachyrhynchos,male,USA_NJ_B02,USA,North America,USA: New Jersey,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02743851,Corvus_brachyrhynchos,male,USA_NY_B03,USA,North America,USA: New York,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334436,Corvus_brachyrhynchos,missing,DNA_369,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334437,Corvus_brachyrhynchos,missing,DNA_371,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334438,Corvus_brachyrhynchos,missing,DNA_374,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334439,Corvus_brachyrhynchos,missing,DNA_375,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334440,Corvus_brachyrhynchos,missing,DNA_377,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
\n
PRJNA192205,SAMN02143031,Corvus_cornix_cornix,male,S_Up_H32,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439805,Corvus_cornix_cornix,male,PL_Wa_H02,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439806,Corvus_cornix_cornix,male,PL_Wa_H03,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439807,Corvus_cornix_cornix,male,PL_Wa_H05,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439808,Corvus_cornix_cornix,male,PL_Wa_H06,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439809,Corvus_cornix_cornix,male,PL_Wa_H09,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439810,Corvus_cornix_cornix,male,PL_Wa_H11,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439811,Corvus_cornix_cornix,male,PL_Wa_H14,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439812,Corvus_cornix_cornix,male,PL_Wa_H16,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439814,Corvus_cornix_cornix,male,PL_Wa_H22,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439813,Corvus_cornix_cornix,male,PL_Wa_H17,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439815,Corvus_cornix_cornix,male,PL_Wa_H23,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439816,Corvus_cornix_cornix,male,PL_Wa_H32,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439817,Corvus_cornix_cornix,male,PL_Wa_H35,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439818,Corvus_cornix_cornix,male,PL_Wa_H50,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439819,Corvus_cornix_cornix,male,PL_Wa_H52,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439820,Corvus_cornix_cornix,male,S_Ri_H05,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439821,Corvus_cornix_cornix,male,S_Ri_H07,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439822,Corvus_cornix_cornix,male,S_Ri_H23,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439823,Corvus_cornix_cornix,male,S_Ri_H29,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439824,Corvus_cornix_cornix,male,S_Ri_H43,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439825,Corvus_cornix_cornix,male,S_Up_H03,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439826,Corvus_cornix_cornix,male,S_Up_H09,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439827,Corvus_cornix_cornix,male,S_Up_H16,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439828,Corvus_cornix_cornix,male,S_Up_H24,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439829,Corvus_cornix_cornix,male,S_Up_H29,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439830,Corvus_cornix_cornix,male,S_Up_H37,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439831,Corvus_cornix_cornix,male,S_Up_H43,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439832,Corvus_cornix_cornix,male,S_Up_H47,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439833,Corvus_cornix_cornix,male,S_Up_H51,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439834,Corvus_cornix_cornix,male,S_Up_H52,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
\n
PRJEB9057,SAMEA3334441,Corvus_cornix,missing,DNA_343,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334442,Corvus_cornix,missing,DNA_344,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334443,Corvus_cornix,missing,DNA_348,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334444,Corvus_cornix,missing,DNA_351,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334445,Corvus_cornix,missing,DNA_354,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334446,Corvus_cornix,missing,DNA_360,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334447,Corvus_cornix,missing,DNA_362,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334448,Corvus_cornix,missing,DNA_364,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334449,Corvus_cornix,missing,DNA_381,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334450,Corvus_cornix,missing,DNA_382,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334451,Corvus_cornix,missing,DNA_386,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334452,Corvus_cornix,missing,DNA_390,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334453,Corvus_cornix,missing,DNA_394,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334454,Corvus_cornix,missing,DNA_395,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334455,Corvus_cornix,missing,DNA_398,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334456,Corvus_cornix,missing,DNA_399,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334457,Corvus_cornix,missing,DNA_403,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334458,Corvus_cornix,missing,DNA_407,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334459,Corvus_cornix,missing,DNA_411,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334460,Corvus_cornix,missing,DNA_412,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334461,Corvus_cornix,missing,DNA_418,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334462,Corvus_cornix,missing,DNA_423,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334463,Corvus_cornix,missing,DNA_426,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334464,Corvus_cornix,missing,DNA_430,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334465,Corvus_cornix,missing,DNA_431,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334466,Corvus_cornix,missing,DNA_432,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334467,Corvus_cornix,missing,DNA_434,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334468,Corvus_cornix,missing,DNA_435,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334469,Corvus_cornix,missing,DNA_436,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334470,Corvus_cornix,missing,DNA_437,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334471,Corvus_cornix,missing,DNA_438,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334472,Corvus_cornix,missing,DNA_439,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334473,Corvus_cornix,missing,DNA_440,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334474,Corvus_cornix,missing,DNA_441,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334475,Corvus_cornix,missing,DNA_442,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334476,Corvus_cornix,missing,DNA_443,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334477,Corvus_cornix,missing,DNA_445,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334478,Corvus_cornix,missing,DNA_446,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334479,Corvus_cornix,missing,DNA_447,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334480,Corvus_cornix,missing,DNA_448,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334481,Corvus_cornix,missing,DNA_450,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334482,Corvus_cornix,missing,DNA_451,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334483,Corvus_cornix,missing,DNA_452,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334484,Corvus_cornix,missing,DNA_454,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334485,Corvus_cornix,missing,DNA_455,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334486,Corvus_cornix,missing,DNA_456,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334487,Corvus_cornix,missing,DNA_457,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334488,Corvus_cornix,missing,DNA_458,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334489,Corvus_cornix,missing,DNA_459,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334490,Corvus_cornix,missing,DNA_460,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334491,Corvus_cornix,missing,DNA_461,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334492,Corvus_cornix,missing,DNA_462,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334493,Corvus_cornix,missing,DNA_463,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334494,Corvus_cornix,missing,DNA_465,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334495,Corvus_cornix,missing,DNA_466,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334496,Corvus_cornix,missing,DNA_467,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334497,Corvus_cornix,missing,DNA_468,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334498,Corvus_cornix,missing,DNA_469,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334499,Corvus_cornix,missing,DNA_470,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334500,Corvus_cornix,missing,DNA_471,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334501,Corvus_cornix,missing,DNA_472,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334502,Corvus_cornix,missing,DNA_475,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334503,Corvus_cornix,missing,DNA_476,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334504,Corvus_cornix,missing,DNA_477,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334505,Corvus_cornix,missing,DNA_478,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334506,Corvus_cornix,missing,DNA_483,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334507,Corvus_cornix,missing,DNA_484,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
