BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome,refSpecies
SAMEA2661387,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Kitai_Dam-sc-2016916,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661389,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Near_Kyela-sc-2016918,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661390,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Luwawa-sc-2016919,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661391,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Bua-sc-2016920,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1920091,NA,Lake Malawi trios,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661388,NA,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Upper_Rovuma-sc-2016917,GCF_900246225.1,Astatotilapia_calliptera
SAMEA3388875,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Itupi_-sc-2288189,GCF_900246225.1,Astatotilapia_calliptera
SAMEA3388876,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Itupi_-sc-2288190,GCF_900246225.1,Astatotilapia_calliptera
SAMEA3388877,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Itupi_-sc-2288191,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661291,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,A__calliptera_Salima_male_offspring_1-sc-2016622,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661293,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,A__calliptera_Salima_male_offspring_2-sc-2016624,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661295,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,A__calliptera_Salima_female_offspring-sc-2016626,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1904833,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__offspring_mate_pair_-sc-2013-03-08T16:19:09Z-1581602,GCF_900246225.1,Astatotilapia_calliptera
SAMEA3388878,NA,NA,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Itupi_-sc-2288192,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877404,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_6-sc-2012-12-14T14:26:21Z-1512688,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877436,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_5-sc-2012-12-14T14:26:19Z-1512687,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877511,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_4-sc-2012-12-14T14:26:17Z-1512686,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877425,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_3-sc-2012-12-14T14:26:16Z-1512685,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877494,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_2-sc-2012-12-14T14:26:12Z-1512681,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877464,Massoko benthic,Lake Malawi populations,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_1-sc-2012-12-14T14:26:09Z-1512680,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661333,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__1-sc-2016850,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661334,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__2-sc-2016851,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661335,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__3-sc-2016852,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661336,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__4-sc-2016853,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661337,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__5-sc-2016854,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661338,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__6-sc-2016855,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661339,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__7-sc-2016856,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661341,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__9-sc-2016858,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661342,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__10-sc-2016859,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661343,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__11-sc-2016860,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661344,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__12-sc-2016861,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661345,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__13-sc-2016862,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661346,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__14-sc-2016863,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661347,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__15-sc-2016864,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661349,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__17-sc-2016866,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661350,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__18-sc-2016867,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661351,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__19-sc-2016868,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661352,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__20-sc-2016869,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661353,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__21-sc-2016870,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661354,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__22-sc-2016871,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661355,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__23-sc-2016872,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661357,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__25-sc-2016874,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661358,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__26-sc-2016875,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661359,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__27-sc-2016876,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661362,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__30-sc-2016879,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661363,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__31-sc-2016880,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661365,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__33-sc-2016882,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661366,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__34-sc-2016883,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661367,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__35-sc-2016884,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661368,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__36-sc-2016885,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661369,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__37-sc-2016886,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661370,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__38-sc-2016887,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877400,Massoko littoral,Malawi catchment,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_1-sc-2012-12-14T14:26:14Z-1512683,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877402,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_1-sc-2012-12-14T14:26:42Z-1512706,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877407,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_4-sc-2012-12-14T14:26:28Z-1512694,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877442,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_3-sc-2012-12-14T14:26:22Z-1512689,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877447,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_2-sc-2012-12-14T14:26:15Z-1512684,GCF_900246225.1,Astatotilapia_calliptera
SAMEA1877507,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_Yellow_2-sc-2012-12-14T14:26:43Z-1512707,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661297,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__1-sc-2016814,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661298,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__2-sc-2016815,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661299,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__3-sc-2016816,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661300,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__4-sc-2016817,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661301,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__5-sc-2016818,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661303,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__7-sc-2016820,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661304,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__8-sc-2016821,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661306,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__10-sc-2016823,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661307,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__11-sc-2016824,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661308,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__12-sc-2016825,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661309,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__13-sc-2016826,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661310,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__14-sc-2016827,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661313,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__17-sc-2016830,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661316,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__20-sc-2016833,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661318,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__22-sc-2016835,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661319,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__23-sc-2016836,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661320,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__24-sc-2016837,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661321,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__25-sc-2016838,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661322,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__26-sc-2016839,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661324,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__28-sc-2016841,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661325,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__29-sc-2016842,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661326,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__30-sc-2016843,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661327,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__31-sc-2016844,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661328,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__32-sc-2016845,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661330,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__34-sc-2016847,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661331,Massoko littoral,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__35-sc-2016848,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661371,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__1-sc-2016888,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661373,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__3-sc-2016890,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661374,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__4-sc-2016891,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661375,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__5-sc-2016892,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661376,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__6-sc-2016893,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661377,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__7-sc-2016894,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661378,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__8-sc-2016895,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661379,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__9-sc-2016896,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661380,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__10-sc-2016897,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661392,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__11-sc-2016921,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661393,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__12-sc-2016922,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661394,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__13-sc-2016923,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661395,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__14-sc-2016924,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661396,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__15-sc-2016925,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661397,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__16-sc-2016926,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661398,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__17-sc-2016927,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661399,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__18-sc-2016928,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661400,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__19-sc-2016929,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661402,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__21-sc-2016931,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661403,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__1-sc-2016932,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661404,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__2-sc-2016933,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661405,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__3-sc-2016934,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661406,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__4-sc-2016935,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661407,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__5-sc-2016936,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661408,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__6-sc-2016937,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661409,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__7-sc-2016938,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661410,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__8-sc-2016939,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661411,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__9-sc-2016940,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661412,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__10-sc-2016941,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661413,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__11-sc-2016942,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661414,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__12-sc-2016943,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661415,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__1-sc-2016944,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661417,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__3-sc-2016946,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661418,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__4-sc-2016947,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661419,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__5-sc-2016948,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661420,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__6-sc-2016949,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661421,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__7-sc-2016950,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661422,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__8-sc-2016951,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661423,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__9-sc-2016952,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661424,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__10-sc-2016953,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661425,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__11-sc-2016954,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661426,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__12-sc-2016955,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661427,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__13-sc-2016956,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661428,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__14-sc-2016957,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661429,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__15-sc-2016958,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661430,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__1-sc-2016959,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661431,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__2-sc-2016960,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661432,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__3-sc-2016961,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661433,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__4-sc-2016962,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661434,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__5-sc-2016963,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661435,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__6-sc-2016964,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661436,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__7-sc-2016965,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661437,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__8-sc-2016966,GCF_900246225.1,Astatotilapia_calliptera
