Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,TISSUE,Isolate,Strain,birth_location,Ecotype,SampleID,sub_species,Specimen_voucher
SRR7167866,WGS,300,6854168700,PRJNA323498,SAMN09211384,Model organism or animal,2036439720,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085847,Illumina NovaSeq 6000,WGS_library_1604,PAIRED,size fractionation,GENOMIC,Hirundo rustica savignii,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:15:00Z,1,savignii1604,NA,SRP146254,blood,,,Egypt,savignii,savignii_sample1604,savignii,
SRR7167867,WGS,300,6510164100,PRJNA323498,SAMN09211381,Model organism or animal,1925790873,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085846,Illumina NovaSeq 6000,WGS_library_1601,PAIRED,size fractionation,GENOMIC,Hirundo rustica savignii,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:17:00Z,1,savignii1601,NA,SRP146254,blood,,,Egypt,savignii,savignii_sample1601,savignii,
SRR7167868,WGS,300,7835938800,PRJNA323498,SAMN09211393,Model organism or animal,2336145557,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085845,Illumina NovaSeq 6000,WGS_library_1613,PAIRED,size fractionation,GENOMIC,Hirundo rustica savignii,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:18:00Z,1,savignii1613,NA,SRP146254,blood,,,Egypt,savignii,savignii_sample1613,savignii,
SRR7167869,WGS,300,5091563100,PRJNA323498,SAMN09211387,Model organism or animal,1525939055,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085844,Illumina NovaSeq 6000,WGS_library_1607,PAIRED,size fractionation,GENOMIC,Hirundo rustica savignii,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:11:00Z,1,savignii1607,NA,SRP146254,blood,,,Egypt,savignii,savignii_sample1607,savignii,
SRR7167871,WGS,300,6335555400,PRJNA323498,SAMN09211395,Model organism or animal,1893232010,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085842,Illumina NovaSeq 6000,WGS_library_1615,PAIRED,size fractionation,GENOMIC,Hirundo rustica savignii,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:14:00Z,1,savignii1615,NA,SRP146254,blood,,,Egypt,savignii,savignii_sample1615,savignii,
SRR7167872,WGS,300,7039673700,PRJNA323498,SAMN09211401,Model organism or animal,2067992074,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085841,Illumina NovaSeq 6000,WGS_library_1621,PAIRED,size fractionation,GENOMIC,Hirundo rustica savignii,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:18:00Z,1,savignii1621,NA,SRP146254,blood,,,Egypt,savignii,savignii_sample1621,savignii,
SRR7167873,WGS,300,7819179600,PRJNA323498,SAMN09211397,Model organism or animal,2316394412,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085840,Illumina NovaSeq 6000,WGS_library_1617,PAIRED,size fractionation,GENOMIC,Hirundo rustica savignii,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:24:00Z,1,savignii1617,NA,SRP146254,blood,,,Egypt,savignii,savignii_sample1617,savignii,
SRR7167874,WGS,300,6518619900,PRJNA323498,SAMN09211421,Model organism or animal,1929860988,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085839,Illumina NovaSeq 6000,WGS_library2600-27665,PAIRED,size fractionation,GENOMIC,Hirundo rustica erythrogaster,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:14:00Z,1,erythrogaster2600-27665,NA,SRP146254,blood,,,Colorado,erythrogaster,erythrogaster_sample2600-27665,erythrogaster,
SRR7167875,WGS,300,7805607000,PRJNA323498,SAMN09211419,Model organism or animal,2283485716,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085838,Illumina NovaSeq 6000,WGS_library2600-27318,PAIRED,size fractionation,GENOMIC,Hirundo rustica erythrogaster,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:23:00Z,1,erythrogaster2600-27318,NA,SRP146254,blood,,,Colorado,erythrogaster,erythrogaster_sample2600-27318,erythrogaster,
SRR7167877,WGS,300,6674754300,PRJNA323498,SAMN09211396,Model organism or animal,1976222769,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085836,Illumina NovaSeq 6000,WGS_library_1616,PAIRED,size fractionation,GENOMIC,Hirundo rustica savignii,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:16:00Z,1,savignii1616,NA,SRP146254,blood,,,Egypt,savignii,savignii_sample1616,savignii,
