transcript	pN	pS	dN	dS	mk.raw.p.value	mk.odds.ni	dos
rna-XM_020702194.2	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_023953150.1	4.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_023953492.1	1.0	1.0	18.5	20.5	1.0	1.1111111111111112	-0.02564102564102566
rna-XM_023953480.1	7.0	9.0	18.5	140.5	0.002624103577813909	6.049382716049383	-0.3211477987421384
rna-XM_023953486.1	5.0	6.0	17.5	134.5	0.00786737509686903	6.568627450980392	-0.3394138755980861
rna-XM_023953483.1	7.0	9.0	18.5	139.5	0.0027182584496833447	6.006172839506172	-0.3204113924050633
rna-XM_023953484.1	5.0	6.0	17.5	135.5	0.007655143106957979	6.617647058823529	-0.3401663695781343
rna-XM_023953478.1	7.0	9.0	18.5	140.5	0.002624103577813909	6.049382716049383	-0.3211477987421384
rna-XM_023953482.1	7.0	9.0	18.5	140.5	0.002624103577813909	6.049382716049383	-0.3211477987421384
rna-XM_023953490.1	0.0	1.0	11.0	29.0	1.0	0.0	0.275
rna-XM_004084719.4	3.0	4.0	23.0	22.0	1.0	0.717391304347826	0.08253968253968252
rna-XM_011493042.3	0.0	2.0	1.0	60.0	1.0	0.0	0.01639344262295082
rna-XM_004084717.4	0.0	2.0	1.0	60.0	1.0	0.0	0.01639344262295082
rna-XM_023953498.1	9.0	5.0	18.0	14.0	0.7488923977863282	1.4	-0.0803571428571429
rna-XM_023953502.1	7.0	6.0	10.0	22.0	0.18844204684727717	2.566666666666667	-0.22596153846153844
rna-XM_023953505.1	0.0	1.0	15.5	33.5	1.0	0.0	0.3163265306122449
rna-XM_004085992.4	2.0	0.0	25.5	39.5	0.16363636363636364	inf	-0.6076923076923078
rna-XM_023953511.1	0.0	4.0	2.0	6.0	0.5151515151515151	0.0	0.25
rna-XM_023953509.1	9.0	3.0	25.5	75.5	0.000997740238653299	9.0	-0.4975247524752475
rna-XM_023953507.1	9.0	4.0	25.5	75.5	0.0023468611457878913	6.75	-0.4398324447829398
rna-XM_023953532.1	5.0	5.0	12.0	51.0	0.04628901479065427	4.25	-0.30952380952380953
rna-XM_023953521.1	7.0	10.0	56.5	108.5	0.5981258963526953	1.35	-0.06934046345811051
rna-XM_023953522.1	6.0	8.0	56.5	100.5	0.7728503563623477	1.3392857142857142	-0.06869881710646042
rna-XM_023953525.1	7.0	7.0	70.5	76.5	1.0	1.0857142857142856	-0.020408163265306145
rna-XM_023953540.1	7.0	9.0	27.5	76.5	0.2318261551149572	2.1893004115226335	-0.17307692307692307
rna-XM_023953543.1	2.0	3.0	11.0	22.0	1.0	1.3333333333333333	-0.06666666666666671
rna-XM_023953549.1	1.0	3.0	18.0	17.0	0.6049896049896051	0.3148148148148148	0.26428571428571423
rna-XM_020701127.2	9.0	8.0	24.5	43.5	0.2670668395007983	2.015625	-0.16911764705882354
rna-XM_011494140.3	8.0	6.0	24.5	43.5	0.22829949633801178	2.388888888888889	-0.21113445378151258
rna-XM_023953538.1	11.0	8.0	28.0	72.0	0.016061342611117174	3.5357142857142856	-0.29894736842105263
