Run,Assay Type,BioProject,BioSample,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,sex,Library Name,dev_stage,BioSampleModel,Tissue,Isolate,geo_loc_name_country,geo_loc_name_country_continent,Breed,Strain,Ecotype,AGE,Cultivar,Specimen_voucher,geo_loc_name,lat_lon,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Collection_date,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,collected_by,geographic_location_(country_and/or_sea),tissue_type,geographic_location_(region_and_locality),Field_ID,run (run),common,sequencing_date (run),common_name,Sample_Name,health_state,date_received,FAMILY,material,Order,Project,provider_id,provider,Submission_description,Submission_identifier,Submission_title,tissue_storage,instrument_model (run),Sample_Type,Library,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,Title,actual_read_length (run),Biomaterial_provider,External_Id,Id_Number,Submitter_Id,total_bases (run),environment_(biome),environment_(feature),environment_(material),geographic_location_(latitude),geographic_location_(longitude),host-associated_environmental_package,Investigation_type,project_name,Sequencing_method,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,biotic_relationship,estimated_size,extrachrom_elements,breeding_history,store_cond,birth_location,Genotype,Isolation_source,Treatment,ArrayExpress-SPECIES,Label,Subject_ID,subsrc_note,Alias,AssemblyName,Description,ENA_CHECKLIST,Host,host_taxid,num_replicons,pathogenicity,ploidy,propagation,ref_biomaterial,samp_collect_device,samp_mat_process,samp_size,Source_material_ID,subspecf_gen_lin,trophic_level
SRR1231544,WGS,PRJNA243398,SAMN02720813,BGI,public,SRX514762,Illumina Genome Analyzer II,PAIRED,PCR,GENOMIC,Nanorana parkeri,ILLUMINA,2015-07-22T00:00:00Z,BGI-Nanorana_parkeri,SRP041086,200,30974241200,22304929720,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,SZAIPI000208-7,,,,,,,,,,,,,,,,,,,,,,,,,FCC02JHACXX,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,30974241200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1231546,WGS,PRJNA243398,SAMN02720813,BGI,public,SRX514764,Illumina Genome Analyzer II,PAIRED,PCR,GENOMIC,Nanorana parkeri,ILLUMINA,2015-07-22T00:00:00Z,BGI-Nanorana_parkeri,SRP041086,98,19097836436,12279925749,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,NANsbrDCVDWAAPEI-107,,,,,,,,,,,,,,,,,,,,,,,,,FCC123RACXX,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,19097836436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1231550,WGS,PRJNA243398,SAMN02720814,BGI,public,SRX514768,Illumina Genome Analyzer II,PAIRED,PCR,GENOMIC,Nanorana parkeri,ILLUMINA,2015-07-22T00:00:00Z,BGI-Nanorana_parkeri_A,SRP041086,98,13387669750,8375250992,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,NANsbrDALDTAAPEI-101,,,,,,,,,,,,,,,,,,,,,,,,,FCD17H7ACXX,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,13387669750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1231552,WGS,PRJNA243398,SAMN02720814,BGI,public,SRX514770,Illumina Genome Analyzer II,PAIRED,PCR,GENOMIC,Nanorana parkeri,ILLUMINA,2015-07-22T00:00:00Z,BGI-Nanorana_parkeri_A,SRP041086,98,16495593534,10940262624,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,NANsbrDALDUAAPEI-100,,,,,,,,,,,,,,,,,,,,,,,,,FCD17H7ACXX,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,16495593534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1231553,WGS,PRJNA243398,SAMN02720814,BGI,public,SRX514771,Illumina Genome Analyzer II,PAIRED,PCR,GENOMIC,Nanorana parkeri,ILLUMINA,2015-07-22T00:00:00Z,BGI-Nanorana_parkeri_A,SRP041086,98,16526784582,11018751292,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,NANsbrDALDUBAPEI-100,,,,,,,,,,,,,,,,,,,,,,,,,FCD17H7ACXX,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,16526784582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1231555,WGS,PRJNA243398,SAMN02720813,BGI,public,SRX514772,Illumina Genome Analyzer II,PAIRED,PCR,GENOMIC,Nanorana parkeri,ILLUMINA,2015-07-22T00:00:00Z,BGI-Nanorana_parkeri,SRP041086,300,22266986700,14816991717,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,SZAXPI013687-87,,,,,,,,,,,,,,,,,,,,,,,,,FCD17HCACXX,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,22266986700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1231557,WGS,PRJNA243398,SAMN02720813,BGI,public,SRX514773,Illumina Genome Analyzer II,PAIRED,PCR,GENOMIC,Nanorana parkeri,ILLUMINA,2015-07-22T00:00:00Z,BGI-Nanorana_parkeri,SRP041086,300,20088521700,13769528707,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,SZAIPI013686-88,,,,,,,,,,,,,,,,,,,,,,,,,FCD17HCACXX,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,20088521700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3195764,WGS,PRJNA313103,SAMN04518076,UC BERKELEY,public,SRX1606064,NextSeq 500,PAIRED,PCR,GENOMIC,Xenopus borealis,ILLUMINA,2016-03-07T00:00:00Z,X. borealis female,SRP070985,200,53298604600,38338562757,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,JBL027,adult,Model organism or animal,blood,wildtype,,,,,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assembly,,,,,,,,,,,,,,,
SRR2027504,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,41685493800,25716163730,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027505,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,42662779600,27317947168,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
