Sample	Total_Reads	Percent_mapped	Num_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	NumReadsPassingFilters
SAMN19607634 	 100619792 	 98.03 	 6594454 	 95.10 	 0.9870981715092524 	 99400776
SAMN19607633 	 75542937 	 97.91 	 6514877 	 95.08 	 0.989735292224404 	 74571952
SAMN19607631 	 57606591 	 96.93 	 4623078 	 93.25 	 0.9491820700284279 	 56891046
SAMN19607630 	 73280264 	 97.02 	 5403069 	 93.60 	 0.9881529263210637 	 72323136
SAMN19607628 	 62413832 	 97.30 	 5067063 	 93.51 	 0.9628283176049465 	 61479802
SAMN19607627 	 54777391 	 97.27 	 5068393 	 93.20 	 0.9506345511919987 	 53885170
SAMN19607641 	 63389108 	 97.13 	 5530996 	 94.02 	 0.9332700671910708 	 62739084
SAMN19607640 	 92215899 	 96.37 	 7120284 	 93.30 	 0.9409735675529735 	 91291048
SAMN19607639 	 125937850 	 96.86 	 16069374 	 93.60 	 0.9898656459516597 	 124528640
SAMN19607638 	 93475551 	 96.68 	 9454633 	 93.71 	 0.9886587983004671 	 92482456
SAMN19607637 	 102222208 	 96.95 	 10275801 	 93.79 	 0.9868912391804403 	 101037102
SAMN19607636 	 65830945 	 97.39 	 5290911 	 93.96 	 0.9576362154870192 	 64966648
SAMN19607635 	 112301825 	 96.85 	 14688207 	 93.78 	 0.9892485185306128 	 110998448
SAMN19607626 	 53931222 	 97.49 	 3726329 	 93.88 	 0.9552789680521907 	 53291118
SAMN19607625 	 51377353 	 94.72 	 3311187 	 91.35 	 0.953474251696988 	 50715694
SAMN19607632 	 83798646 	 97.81 	 5223994 	 95.58 	 0.987556154407622 	 82800040
SAMN19607629 	 52075988 	 97.17 	 4930948 	 94.66 	 0.9779998191463297 	 51524430
