BioProject,BioSample,Submitter_ID,Organism,subspecies,sex,Locality,Province,Country,Continent,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB10586,SAMEA3516844,DBF,Taeniopygia_bichenovii,NA,male,captive-born,NA,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,0,0,26694276,30.1239,-0.011777899999999999,0.986944,-4.83435e-4,1.19123e-4,-7.38323e-4,3.86176e-4,-1.17155e-4,-1.44427e-5,5.19793e-5,1.96732e-4,cluster_1,outgroup,NA
PRJEB10586,SAMEA3532843,73788,Poephila_acuticauda,hecki,female,October Creek,Northern Territory,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1041482,0.00731247,60974780,39.5996,0.164697,-0.0247359,-1.2245e-4,2.10813e-4,-8.03475e-4,0.00124102,0.00122631,-9.91659e-4,-4.43309e-4,-0.001297,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532873,26795,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1058394,0.00743121,86960178,23.4156,-0.16104,-0.0274404,0.147244,0.360958,0.59313,0.0800809,0.164633,0.32967,0.337916,-0.00860438,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532874,28078,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1059885,0.00744168,86960245,24.0942,-0.16214,-0.0274592,0.124051,0.0962831,0.127626,0.0783984,-0.236849,-0.0469062,0.0181461,0.181114,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532861,28456,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1064661,0.00747522,86960359,25.5712,-0.162402,-0.0282538,-0.345204,0.0408872,-0.00665458,-0.392737,-0.158015,0.084404,-0.247958,0.655837,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532857,26462,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1081989,0.00759688,86959837,23.4888,-0.161138,-0.0281799,-0.294163,-0.200906,-0.24959,-0.122739,-0.48576,0.106375,0.596402,-0.22983,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532846,73903,Poephila_acuticauda,hecki,female,October Creek,Northern Territory,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1124602,0.00789607,60972906,31.3884,0.163968,-0.0244508,-9.7038e-4,-0.00105207,-4.42531e-4,-9.23016e-4,-0.00133252,-1.46026e-4,0.00254197,4.86327e-4,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532875,28313,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1126735,0.00791105,86959744,27.1405,-0.161704,-0.0282766,0.0672731,-0.00237805,0.134631,-0.113016,-0.0592586,-0.0523694,0.246227,0.0653183,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532872,28016,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1146256,0.00804811,86959880,22.2575,-0.160854,-0.0273932,0.144886,-0.10167,0.231197,-0.365203,-0.0364684,-0.309173,-0.282387,-0.401219,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532871,26792,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1148120,0.0080612,86959995,27.8788,-0.163069,-0.0282401,0.273682,-0.0832815,-0.184784,0.501575,-0.370517,0.366066,-0.367885,0.0147378,cluster_3,ingroup,NA
