BioProject,BioSample,Organism,sex,Population,Collection_date,Submitter_Id,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA485198,SAMN09786187,Haplochromis_burtoni,male,Rusizi River,2015-01,KBC7,GCF_000239415.1,Haplochromis_burtoni,40557744,0,646758,0.0159466,29523969,24.1499,0.0249226,-0.19045,-0.00503002,4.74559e-4,0.00249613,-0.0071892,-0.00227376,-0.0175264,9.71636e-4,-0.00256575,cluster_3,ingroup,NA
PRJNA485198,SAMN09786194,Haplochromis_burtoni,male,Rusizi Lake,2015-01,KZA3,GCF_000239415.1,Haplochromis_burtoni,40557744,0,670176,0.016524,29522909,21.8473,0.0246975,-0.189298,-0.00507715,8.28775e-4,-0.00203765,-9.23473e-4,-0.00363848,-0.0279288,0.00118461,-0.00176161,cluster_3,ingroup,NA
PRJNA485198,SAMN09786197,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZB2,GCF_000239415.1,Haplochromis_burtoni,40557744,0,682789,0.016835,29523941,20.2321,0.0248433,-0.187513,-0.0053934,7.6163e-4,0.00278404,-0.0082083,-0.00153372,-0.0358699,0.00113902,-0.00184952,cluster_3,ingroup,NA
PRJNA485198,SAMN09786191,Haplochromis_burtoni,male,Rusizi River,2015-01,KBG7,GCF_000239415.1,Haplochromis_burtoni,40557744,0,683303,0.0168477,29523186,22.5211,0.0248346,-0.189848,-0.00477739,7.55542e-4,-0.00161513,-0.00397332,-0.00149877,-0.0319617,-0.00292519,-0.00156139,cluster_3,ingroup,NA
PRJNA485198,SAMN09786186,Haplochromis_burtoni,male,Rusizi River,2015-01,KBC6,GCF_000239415.1,Haplochromis_burtoni,40557744,0,691034,0.0170383,29524383,20.5195,0.024881,-0.189605,-0.00456472,4.38285e-4,2.79952e-4,-0.00351447,0.0057294,-0.0108124,-0.00955362,-0.00142705,cluster_3,ingroup,NA
PRJNA485198,SAMN09786196,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZA9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,693856,0.0171079,29522863,21.0828,0.0247335,-0.187345,-0.00493362,6.80527e-4,-0.00124018,-0.00112958,-7.50391e-4,-0.0152206,0.00398535,0.00378899,cluster_3,ingroup,NA
PRJNA485198,SAMN09786190,Haplochromis_burtoni,male,Rusizi River,2015-01,KBG6,GCF_000239415.1,Haplochromis_burtoni,40557744,0,711516,0.0175433,29521962,18.9932,0.0248172,-0.1896,-0.00510933,5.18293e-4,5.65652e-4,-0.00349679,0.00606797,-0.0161435,7.48193e-4,0.00110721,cluster_3,ingroup,NA
PRJNA485198,SAMN09786198,Haplochromis_burtoni,male,Rusizi Lake,2015-01,KZB3,GCF_000239415.1,Haplochromis_burtoni,40557744,0,713717,0.0175976,29522856,18.127,0.0248848,-0.187769,-0.0049651,8.44394e-4,-0.00151135,-0.00224519,-0.00245584,-0.049963,-0.00339177,-0.00237008,cluster_3,ingroup,NA
PRJNA485198,SAMN09786189,Haplochromis_burtoni,female,Rusizi River,2015-01,KBC9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,713999,0.0176045,29522352,18.7492,0.0249033,-0.188787,-0.00478417,3.72458e-4,5.07927e-4,-0.00379461,0.00556211,-0.00462605,-0.00235064,0.00587351,cluster_3,ingroup,NA
PRJNA485198,SAMN09786188,Haplochromis_burtoni,male,Rusizi River,2015-01,KBC8,GCF_000239415.1,Haplochromis_burtoni,40557744,0,724411,0.0178612,29522875,17.2344,0.0248587,-0.190301,-0.00453467,3.89277e-4,-0.00150542,-0.00770885,-0.00464736,-0.0250218,-5.58883e-4,4.56972e-4,cluster_3,ingroup,NA
PRJNA485198,SAMN09786184,Haplochromis_burtoni,male,Rusizi River,2015-01,KBC4,GCF_000239415.1,Haplochromis_burtoni,40557744,0,733082,0.018075,29519349,20.2513,-0.00887088,-0.115801,0.00599856,-0.0137276,-0.00934821,-0.002817,-0.0139008,0.987379,-9.591e-4,-0.0139929,cluster_3,ingroup,NA
PRJNA485198,SAMN09786183,Haplochromis_burtoni,male,Rusizi River,2015-01,KBC3,GCF_000239415.1,Haplochromis_burtoni,40557744,0,735058,0.0181237,29522174,19.1421,0.0248512,-0.190521,-0.00490274,7.32443e-4,-9.01614e-5,-0.00702813,-0.00158181,-0.018327800000000002,0.00181454,6.15437e-5,cluster_3,ingroup,NA
PRJNA485198,SAMN09786192,Haplochromis_burtoni,male,Rusizi Lake,2015-01,KZA1,GCF_000239415.1,Haplochromis_burtoni,40557744,0,737966,0.0181954,29522390,18.8234,0.0248297,-0.187536,-0.00490812,5.56319e-4,-6.48563e-4,-0.00630002,0.00105655,-0.0170535,0.00479448,0.0022031,cluster_3,ingroup,NA
PRJNA485198,SAMN09786193,Haplochromis_burtoni,male,Rusizi Lake,2015-01,KZA2,GCF_000239415.1,Haplochromis_burtoni,40557744,0,743448,0.0183306,29521883,17.4132,0.0249505,-0.187493,-0.00488384,7.00342e-4,0.00122282,-0.00609444,0.00193037,-0.0474073,-0.00236475,-0.00341444,cluster_3,ingroup,NA
PRJNA485198,SAMN09786200,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZB6,GCF_000239415.1,Haplochromis_burtoni,40557744,0,753213,0.0185714,29522215,16.7385,0.0249285,-0.188814,-0.00483254,7.25651e-4,1.97211e-4,-0.00556094,0.00328389,-0.040221,0.00143755,-0.00108167,cluster_3,ingroup,NA
PRJNA485198,SAMN09786195,Haplochromis_burtoni,male,Rusizi Lake,2015-01,KZA5,GCF_000239415.1,Haplochromis_burtoni,40557744,0,762282,0.018795,29523243,16.7044,0.0251501,-0.188779,-0.00501269,9.35999e-4,-4.24673e-4,-0.00264228,8.17824e-4,-0.0297349,-2.30598e-4,0.00622517,cluster_3,ingroup,NA
PRJNA485198,SAMN09786201,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZB8,GCF_000239415.1,Haplochromis_burtoni,40557744,0,774539,0.0190972,29521947,14.743,0.0249163,-0.188486,-0.00497986,8.72978e-4,0.00126497,-0.00241029,-2.12186e-4,-0.0264824,-0.00306681,-0.00109464,cluster_3,ingroup,NA
PRJNA485198,SAMN09786185,Haplochromis_burtoni,male,Rusizi River,2015-01,KBC5,GCF_000239415.1,Haplochromis_burtoni,40557744,0,789882,0.0194755,29522119,16.2534,0.0247909,-0.189693,-0.00464851,0.00101024,0.00293247,-0.00457774,0.00302142,0.00187358,-5.96531e-4,-0.00490297,cluster_3,ingroup,NA
PRJNA485198,SAMN09786182,Haplochromis_burtoni,female,Rusizi River,2015-01,KBB9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,796218,0.0196317,29520778,16.0044,0.0248873,-0.190076,-0.00478818,8.32282e-4,0.00167101,-0.00567981,-0.00327756,-0.0225976,2.38454e-4,-7.76954e-4,cluster_3,ingroup,NA
PRJNA485198,SAMN09786199,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZB5,GCF_000239415.1,Haplochromis_burtoni,40557744,0,822872,0.0202889,29520535,14.2556,0.0248422,-0.187341,-0.00483314,9.05321e-4,0.00214452,-0.00353932,-2.67022e-4,-0.0271035,0.00174475,0.00762491,cluster_3,ingroup,NA
PRJNA485198,SAMN09786202,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZB9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,834894,0.0205853,29520405,13.3932,0.0248317,-0.188016,-0.00457913,0.00112198,9.40048e-5,-0.00188945,4.63108e-4,-0.0481198,0.00193833,0.00143523,cluster_3,ingroup,NA
PRJNA485198,SAMN09786205,Haplochromis_burtoni,male,Rusizi Lake,2015-01,KZC8,GCF_000239415.1,Haplochromis_burtoni,40557744,0,862673,0.0212702,29520743,12.5314,0.024836,-0.187857,-0.00511878,2.69988e-4,-9.1109e-5,-6.8197e-4,0.00476276,-0.0288904,0.00357629,0.00120217,cluster_3,ingroup,NA
PRJNA485198,SAMN09786203,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZC6,GCF_000239415.1,Haplochromis_burtoni,40557744,0,873222,0.0215303,29520065,12.7304,0.0249012,-0.187799,-0.00462288,9.68314e-4,-0.00203867,-0.00116966,0.00125054,-0.0323242,-0.00230067,-0.00214428,cluster_3,ingroup,NA
PRJNA485198,SAMN09786204,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZC7,GCF_000239415.1,Haplochromis_burtoni,40557744,0,884931,0.021819,29520354,12.2676,0.0250035,-0.187801,-0.00485313,0.00111351,-7.06028e-4,-1.33115e-4,7.01713e-4,-0.049199,0.00243852,0.00367961,cluster_3,ingroup,NA
