BioProject,BioSample,Organism,sex,Country,Continent,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB21643,SAMEA104152958,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,1160443,0.0130141,44186575,18.7918,0.0784329,0.555093,0.00771995,-0.0100324,-0.0116704,-0.00275416,-0.00172898,-0.00794961,0.00346809,-0.0082363,cluster_7,outgroup,NA
PRJEB21643,SAMEA104152957,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,1175716,0.0131854,44185756,19.0616,0.0781713,0.552977,0.00763339,-0.00965698,-0.0117175,-0.0025161,-0.00193104,-0.00825517,0.00356733,-0.00825008,cluster_7,outgroup,NA
PRJNA319295,SAMN04884644,Phylloscopus_trochilus_trochilus,male,Sweden,Europe,Barko,GCA_016584745.1,Phylloscopus_trochilus_trochilus,89168318,0,1343157,0.0150632,49953661,9.25262,-0.299128,0.0217496,-0.105716,0.122257,0.0149103,-0.0644026,-0.196197,0.0058535,-0.502905,0.753026,cluster_8,ingroup,NA
PRJNA319295,SAMN04884562,Phylloscopus_trochilus_trochilus,male,Sweden,Europe,Kvismaren,GCA_016584745.1,Phylloscopus_trochilus_trochilus,89168318,0,1522960,0.0170796,49951371,8.39121,-0.29742,-0.0034812,-0.136553,0.0440155,-0.063728,-0.22267,-0.22155,0.107874,-0.587024,-0.640844,cluster_2,ingroup,NA
PRJNA319295,SAMN04884563,Phylloscopus_trochilus_trochilus,male,Sweden,Europe,Haganas,GCA_016584745.1,Phylloscopus_trochilus_trochilus,89168318,0,1593440,0.01787,49950169,7.286,-0.299804,0.0163684,-0.222405,-0.0700331,0.380773,0.748867,-0.31502,0.00122894,0.138146,-0.100765,cluster_8,ingroup,NA
PRJNA319295,SAMN04884645,Phylloscopus_trochilus_trochilus,male,Sweden,Europe,Grasmaro,GCA_016584745.1,Phylloscopus_trochilus_trochilus,89168318,0,1594538,0.0178823,49949759,7.72202,-0.30019,0.0145669,-0.194172,0.0267906,0.536772,-0.206379,0.652268,-0.303786,-0.00460481,-0.0384275,cluster_8,ingroup,NA
PRJNA319295,SAMN04884643,Phylloscopus_trochilus_trochilus,male,Sweden,Europe,Smedstorp,GCA_016584745.1,Phylloscopus_trochilus_trochilus,89168318,0,1807152,0.0202667,49947069,6.91125,-0.298959,0.0126005,-0.127521,0.0415542,0.0455524,-0.239241,0.0639316,0.818529,0.365824,0.0612585,cluster_8,ingroup,NA
PRJNA319295,SAMN04884560,Phylloscopus_trochilus_trochilus,male,Sweden,Europe,Stensoffa,GCA_016584745.1,Phylloscopus_trochilus_trochilus,89168318,0,1962149,0.022005,49945093,6.87512,-0.297535,-0.00941279,-0.0551761,0.124477,-0.0476243,-0.426487,-0.494091,-0.451187,0.489132,-0.0083173,cluster_2,ingroup,NA
PRJNA319295,SAMN04884558,Phylloscopus_trochilus_trochilus,male,Sweden,Europe,Stensoffa,GCA_016584745.1,Phylloscopus_trochilus_trochilus,89168318,0,1969587,0.0220884,49943563,6.56197,-0.301888,-9.16325e-4,-0.0195874,0.548014,-0.593077,0.31571,0.336588,-0.104898,0.0904199,-0.0522267,cluster_2,ingroup,NA
PRJNA319295,SAMN04884561,Phylloscopus_trochilus_trochilus,male,Sweden,Europe,Stensoffa,GCA_016584745.1,Phylloscopus_trochilus_trochilus,89168318,0,2102965,0.0235842,49942609,6.33026,-0.301052,-0.00758162,0.926296,-0.0280675,0.15478,0.0479746,0.0049883,0.0291137,-0.0276804,-0.0295239,cluster_2,ingroup,NA
