BioProject,BioSample,Organism,sex,Submitter_ID,Continent,Country,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA616371,SAMN14488567,Sylvia_abyssinica,male,4089,Africa,Kenya,Aberdare Mts,GCA_009819655.1,Sylvia_atricapilla,131529770,0,583471,0.00443604,40858754,21.1,-0.319431,0.505086,-0.359661,0.00127138,-1.28698e-4,8.9889e-4,-0.00160338,1.35062e-4,2.82626e-4,-0.00144502,cluster_2,outgroup,NA
PRJNA616371,SAMN14488568,Sylvia_abyssinica,male,4090,Africa,Kenya,Udzungwa Forest,GCA_009819655.1,Sylvia_atricapilla,131529770,0,815436,0.00619963,40834628,15.4087,-0.290612,0.419986,0.854724,-0.00350021,-0.00144746,0.00127897,-4.44025e-4,4.20007e-6,0.00173389,-9.33893e-5,cluster_4,outgroup,NA
PRJNA616371,SAMN14488566,Sylvia_abyssinica,male,4088,Africa,Kenya,Aberdare Mts,GCA_009819655.1,Sylvia_atricapilla,131529770,0,820224,0.00623603,40832376,16.7047,-0.318836,0.505256,-0.373608,0.00156036,0.0013772,-0.00172648,0.0024664,-6.27436e-4,-8.92868e-4,0.00151077,cluster_2,outgroup,NA
PRJNA616371,SAMN14488516,Sylvia_atricapilla,male,9130,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla,131529770,0,841052,0.00639439,65324724,71.6558,0.0246821,-0.00163927,-2.47676e-4,-7.66458e-4,7.58876e-4,-1.08866e-4,-2.34054e-4,0.0190223,-0.0575695,0.00870031,cluster_5,ingroup,NA
PRJNA616371,SAMN14488563,Sylvia_borin,male,GW04,Europe,Spain,Vilar de Barrio (OR),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1022861,0.00777665,59041572,19.475,-0.359658,-0.250487,-0.010871,-0.693234,0.127744,-0.54989,0.00414088,0.00116101,0.00150812,-0.00122387,cluster_3,outgroup,NA
PRJNA616371,SAMN14488486,Sylvia_atricapilla,male,1204,Africa,Morocco,Asni,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1096360,0.00833545,65316331,25.2933,0.0248678,-0.0016602,-0.00144347,6.3927e-4,0.00168551,4.98576e-4,-8.02016e-4,0.0624096,0.154189,0.0177908,cluster_1,ingroup,NA
PRJNA616371,SAMN14488474,Sylvia_atricapilla,male,UCM083,Europe,Spain,Gibraltar,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1100695,0.00836841,65311827,24.4788,0.025001,-0.00164552,-0.00111052,-9.75111e-4,4.82035e-4,-7.50618e-4,4.67392e-5,0.0717615,0.189428,0.0311361,cluster_1,ingroup,NA
PRJNA616371,SAMN14488527,Sylvia_atricapilla,male,UCM017,Europe,Germany,"Radolfzell, Baden-WÌ_rttemberg",GCA_009819655.1,Sylvia_atricapilla,131529770,0,1108141,0.00842502,65310666,24.12,0.0247447,-0.00172289,-7.22052e-4,6.56192e-4,5.14479e-4,2.75075e-4,6.84439e-4,0.0189559,-0.065401,0.00572754,cluster_5,ingroup,NA
PRJNA616371,SAMN14488458,Sylvia_atricapilla,male,N968342,Africa,Canary Islands / La Palma,San JosÌ©,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1145573,0.00870961,65313358,25.1176,0.0248053,-0.00174758,-2.92717e-4,6.20894e-5,6.23213e-4,-6.95631e-4,-8.25115e-4,-0.110267,-0.0204642,0.0300283,cluster_5,ingroup,NA
PRJNA616371,SAMN14488509,Sylvia_atricapilla,male,bcUK,Europe,United Kingdom,Oxford (wintering),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1153785,0.00877204,65311858,14.6756,0.0247605,-0.00170207,-6.89404e-4,-4.35782e-4,9.37825e-4,-0.00180601,5.05556e-4,0.0198219,-0.0603468,-0.00625394,cluster_5,ingroup,NA
PRJNA616371,SAMN14488476,Sylvia_atricapilla,male,UCM143,Europe,Spain,Cazalla de la Sierra,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1174317,0.00892815,65315132,20.4069,0.0249574,-0.00163259,-6.29178e-4,-0.00101329,5.14404e-4,1.01018e-4,6.85003e-4,0.0674044,0.109426,0.00477946,cluster_1,ingroup,NA
PRJNA616371,SAMN14488531,Sylvia_atricapilla,male,UCM056,Europe,Belgium,Foret de Mormal,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1185969,0.00901673,65311721,18.0696,0.0246525,-0.0017723,-1.21121e-5,-0.00128842,0.0013289,4.77573e-4,2.34606e-6,0.0325094,-0.0657278,0.0144253,cluster_5,ingroup,NA
PRJNA616371,SAMN14488530,Sylvia_atricapilla,male,UCM053,Europe,Belgium,St. Waast,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1190651,0.00905233,65308754,18.2539,0.0247588,-0.00175677,-9.18575e-4,-0.00104952,3.98019e-4,5.73751e-6,2.9278e-4,0.0240124,-0.0732319,-0.00675725,cluster_5,ingroup,NA
PRJNA616371,SAMN14488479,Sylvia_atricapilla,male,UCM149,Europe,Spain,Cazalla de la Sierra,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1215361,0.0092402,65312980,20.0615,0.0249374,-0.00162987,-7.49833e-4,-3.55447e-5,-3.95196e-4,9.05746e-4,9.70982e-5,0.0567872,0.111708,0.0127585,cluster_1,ingroup,NA
PRJNA616371,SAMN14488456,Sylvia_atricapilla,male,1N23588,Africa,Canary Islands / La Palma,Aerogeneradores de Mazo,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1232939,0.00937384,65310302,23.0112,0.0247519,-0.00171143,-4.79022e-4,0.00121747,-0.00221454,7.04439e-4,-8.84085e-4,-0.0991207,-0.0194159,0.0181749,cluster_5,ingroup,NA
PRJNA616371,SAMN14488528,Sylvia_atricapilla,male,UCM018,Europe,Germany,"Radolfzell, Baden-WÌ_rttemberg",GCA_009819655.1,Sylvia_atricapilla,131529770,0,1233051,0.00937469,65312595,18.897,0.0247775,-0.00172123,-3.54271e-4,-1.97856e-4,-0.00114702,-3.06641e-4,7.00182e-4,0.0185632,-0.0790535,0.00564931,cluster_5,ingroup,NA
PRJNA616371,SAMN14488482,Sylvia_atricapilla,male,UCM153,Europe,Spain,Cazalla de la Sierra,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1242565,0.00944702,65312190,18.4783,0.0249804,-0.00167592,-0.00192373,-1.15857e-4,6.17105e-4,3.44795e-4,6.37642e-5,0.0622413,0.133398,0.00711277,cluster_1,ingroup,NA
PRJNA616371,SAMN14488452,Sylvia_atricapilla,male,A270584,Europe,Azores / Terceira,Malha Verde,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1242589,0.00944721,65312121,19.7761,0.025077,-0.00162461,-5.28445e-4,-7.46092e-4,-0.00146675,2.94714e-5,2.48534e-4,-0.323708,0.0842108,-0.0252653,cluster_1,ingroup,NA
PRJNA616371,SAMN14488457,Sylvia_atricapilla,male,1N23590,Africa,Canary Islands / La Palma,Aerogeneradores de Mazo,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1242767,0.00944856,65312131,19.3682,0.0247407,-0.00162095,-2.18587e-4,1.63882e-4,-9.67044e-4,6.58584e-5,-8.38367e-4,-0.0937296,-0.0117068,0.0205081,cluster_5,ingroup,NA
PRJNA616371,SAMN14488522,Sylvia_atricapilla,male,9179,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1252715,0.00952419,65312054,20.1221,0.0246499,-0.00161989,2.01768e-4,2.07435e-4,-4.77357e-4,8.72911e-4,0.00166774,0.0267979,-0.0485702,0.00433338,cluster_5,ingroup,NA
PRJNA616371,SAMN14488547,Sylvia_atricapilla,male,UCM010,Europe,Austria,"Bruck/Leitha, Burgenland",GCA_009819655.1,Sylvia_atricapilla,131529770,0,1255051,0.00954195,65311247,16.483,0.024702000000000002,-0.00153754,1.42359e-4,9.20052e-4,-0.00114916,5.40162e-4,6.64184e-4,0.0137772,-0.071796,-0.0118102,cluster_5,ingroup,NA
PRJNA616371,SAMN14488465,Sylvia_atricapilla,male,CAVE27,Africa,Cape Verde,Santiago,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1256128,0.00955014,65311187,18.1205,0.0248811,-0.00168247,-7.09443e-4,5.59547e-4,-0.00287787,-0.0012481,-0.0030414,-0.240476,0.0322222,-0.00113401,cluster_1,ingroup,NA
PRJNA616371,SAMN14488464,Sylvia_atricapilla,male,CAVE22,Africa,Cape Verde,Santiago,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1256719,0.00955464,65310215,20.1225,0.025017,-0.00165295,-0.00105951,4.42085e-4,-2.14886e-4,-0.00109874,-0.0024668,-0.221395,0.0331301,1.49613e-4,cluster_1,ingroup,NA
PRJNA616371,SAMN14488455,Sylvia_atricapilla,male,A270598,Europe,Azores / Terceira,Malha Verde,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1260951,0.00958681,65310924,19.3093,0.0250644,-0.00164028,-0.00136206,-7.76387e-4,-8.38005e-4,-5.59229e-4,-4.4467e-4,-0.325505,0.0829755,-0.0306771,cluster_1,ingroup,NA
PRJNA616371,SAMN14488451,Sylvia_atricapilla,male,A270577,Europe,Azores / Terceira,Malha Verde,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1260953,0.00958683,65310515,18.78,0.024915,-0.00172641,-8.52221e-4,-9.43566e-4,-0.0014969200000000001,1.21274e-4,-3.79712e-4,-0.310865,0.0842623,-0.00891984,cluster_1,ingroup,NA
PRJNA616371,SAMN14488481,Sylvia_atricapilla,male,UCM151,Europe,Spain,Cazalla de la Sierra,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1261453,0.00959063,65312369,19.1161,0.024856,-0.0016822,-8.98933e-4,-4.75027e-4,5.41976e-5,1.44368e-4,-0.00101301,0.0768113,0.11525,0.00793074,cluster_1,ingroup,NA
PRJNA616371,SAMN14488510,Sylvia_atricapilla,male,9201,Europe,Germany,Freiburg; Mooswald  (breeding),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1263745,0.00960805,65313642,21.068,0.0245269,-0.001641,-6.08804e-4,9.71838e-4,7.42926e-4,6.91448e-4,-0.0014337,0.0268331,-0.0628509,0.0049379,cluster_5,ingroup,NA
PRJNA616371,SAMN14488562,Sylvia_borin,male,GW03,Europe,Spain,Barrundia (VI),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1269127,0.00964897,59047207,20.9495,-0.359649,-0.250743,-0.00973861,-0.123215,0.0347291,0.533444,0.705967,-0.00425748,0.00210399,-0.00149148,cluster_3,outgroup,NA
PRJNA616371,SAMN14488461,Sylvia_atricapilla,male,CAVE7,Africa,Cape Verde,Santiago,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1269130,0.00964899,65312575,16.6358,0.0249066,-0.00171076,-5.78921e-4,-0.00165054,-7.36921e-4,-0.00182776,-0.00114094,-0.248633,0.0280251,0.0122695,cluster_1,ingroup,NA
PRJNA616371,SAMN14488484,Sylvia_atricapilla,male,UCM155,Europe,Spain,Cazalla de la Sierra,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1283071,0.00975499,65307468,18.8357,0.0248408,-0.00158823,3.61671e-5,-7.68528e-4,-9.211e-4,-5.00632e-4,8.0019e-4,0.0586207,0.105071,0.0212421,cluster_1,ingroup,NA
PRJNA616371,SAMN14488500,Sylvia_atricapilla,male,9029,Europe,Germany,Freiburg; Mooswald  (breeding),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1294419,0.00984126,65312381,18.5479,0.0247404,-0.00175174,-7.35171e-4,9.99529e-4,-5.2055e-4,0.00132667,0.00127001,0.0159741,-0.0666954,0.00400677,cluster_5,ingroup,NA
PRJNA616371,SAMN14488548,Sylvia_atricapilla,male,UCM003,Europe,Austria,"Bruck/Leitha, Burgenland",GCA_009819655.1,Sylvia_atricapilla,131529770,0,1294783,0.00984403,65305649,20.4557,0.0246842,-0.00162586,-4.59472e-4,-0.00105084,-4.24243e-4,0.00268541,-6.42934e-4,0.0222437,-0.0678516,0.00789478,cluster_5,ingroup,NA
PRJNA616371,SAMN14488453,Sylvia_atricapilla,male,A270589,Europe,Azores / Terceira,Malha Verde,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1299491,0.00987982,65311697,18.9306,0.0250484,-0.00172261,-0.00116632,-2.61102e-4,-0.00131354,-9.06477e-4,-0.00119823,-0.328106,0.0818351,-0.0256716,cluster_1,ingroup,NA
PRJNA616371,SAMN14488467,Sylvia_atricapilla,male,UCM066,Europe,Spain,Gibraltar,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1301645,0.0098962,65312349,19.8555,0.0249021,-0.0016205,-0.0011448,-0.0013598,-8.23621e-4,3.77715e-4,4.36367e-4,0.061362,0.157189,0.0330255,cluster_1,ingroup,NA
PRJNA616371,SAMN14488460,Sylvia_atricapilla,male,2N96596,Africa,Canary Islands / La Palma,Sauceda,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1302212,0.00990051,65312970,21.9641,0.0248461,-0.00159838,-6.24089e-4,0.00131775,-8.12867e-4,-4.16854e-4,2.33861e-6,-0.0972092,-0.0164807,0.0123833,cluster_1,ingroup,NA
