BioProject,BioSample,Organism,sex,Submitter_Id,Population,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA260715,SAMN03734669,Gymnocorymbus_ternetzi,unknown,White Long Fin,White,GCF_000372685.2,Astyanax_mexicanus,93741985,0,0,0,24659864,19.1353,0.988583,-0.00571433,-0.00586332,-0.0154331,0.00554261,-8.75141e-4,-0.00155735,-1.85279e-4,3.64555e-4,-1.15726e-4,cluster_3,outgroup,NA
PRJNA260715,SAMN03421328,Astyanax_aeneus,unknown,Aeneus_Surface,Aeneus,GCF_000372685.2,Astyanax_mexicanus,93741985,0,609281,0.00649955,19291262,8.42495,-0.0187406,0.616521,0.0194538,-0.0229297,0.0170924,0.763829,-0.11322,9.68127e-4,0.001293,0.00147424,cluster_2,outgroup,NA
PRJNA260715,SAMN03024504,Astyanax_aeneus,unknown,Granadas_2-2,Granadas,GCF_000372685.2,Astyanax_mexicanus,93741985,0,831997,0.00887539,19290176,8.64866,-0.0191852,0.754055,0.0408845,-0.0492024,0.00231102,-0.635172,0.0366131,0.00411859,9.84639e-4,-3.58226e-4,cluster_2,outgroup,NA
PRJNA260715,SAMN03734634,Astyanax_mexicanus,unknown,Texas_Surface,Texas,GCF_000372685.2,Astyanax_mexicanus,93741985,0,3145194,0.0335516,61348054,37.887,-0.0185753,-0.0222061,0.0601524,0.532962,0.821667,-0.0323679,-0.116179,3.57804e-4,0.00564443,7.40529e-4,cluster_1,ingroup,NA
PRJNA260715,SAMN03024482,Astyanax_mexicanus,unknown,Choy_13,Choy,GCF_000372685.2,Astyanax_mexicanus,93741985,0,4631782,0.0494099,61337929,8.60814,-0.0172083,-0.0206266,0.066195,0.226285,-0.176472,-0.00273,0.00833699,-0.0134679,-0.189777,0.189956,cluster_1,ingroup,NA
PRJNA260715,SAMN03024476,Astyanax_mexicanus,unknown,Choy_05,Choy,GCF_000372685.2,Astyanax_mexicanus,93741985,0,4768547,0.0508689,61338410,8.53313,-0.0174458,-0.0203691,0.0666347,0.238027,-0.190963,-0.002032,0.00891524,-0.0133729,0.763431,-0.470183,cluster_1,ingroup,NA
PRJNA260715,SAMN03024480,Astyanax_mexicanus,unknown,Choy_11,Choy,GCF_000372685.2,Astyanax_mexicanus,93741985,0,4854366,0.0517843,61336526,7.88165,-0.016997,-0.019751,0.065356,0.223313,-0.175807,-0.0027236,0.00213064,-0.0115394,-0.0875994,-0.0164369,cluster_1,ingroup,NA
PRJNA260715,SAMN03024481,Astyanax_mexicanus,unknown,Choy_12,Choy,GCF_000372685.2,Astyanax_mexicanus,93741985,0,4907107,0.0523469,61336017,7.97878,-0.0171883,-0.0200142,0.0677536,0.238502,-0.189708,-0.00421209,0.00307429,-0.00596494,-0.044214,0.476686,cluster_1,ingroup,NA
PRJNA260715,SAMN03024483,Astyanax_mexicanus,unknown,Choy_14,Choy,GCF_000372685.2,Astyanax_mexicanus,93741985,0,4933010,0.0526233,61332991,7.47728,-0.0177407,-0.0203825,0.0498649,0.207967,-0.163885,-0.00431063,-0.0117673,0.0240751,-0.16536,-0.0390999,cluster_1,ingroup,NA
PRJNA260715,SAMN03024478,Astyanax_mexicanus,unknown,Choy_09,Choy,GCF_000372685.2,Astyanax_mexicanus,93741985,0,4937266,0.0526687,61335225,7.70562,-0.0172374,-0.0193772,0.068477,0.232961,-0.181081,-0.00425018,0.00894348,-0.0140379,0.18245,0.208016,cluster_1,ingroup,NA
PRJNA260715,SAMN03024502,Astyanax_mexicanus,unknown,Rascon_02,Rascon,GCF_000372685.2,Astyanax_mexicanus,93741985,0,4978332,0.0531067,61342014,11.1971,-0.0229273,-0.0147548,-0.088107,-0.0294967,0.055157,0.0361984,0.377358,0.14142,-0.00835958,-0.00310137,cluster_1,ingroup,NA
PRJNA260715,SAMN03024475,Astyanax_mexicanus,unknown,Choy_01,Choy,GCF_000372685.2,Astyanax_mexicanus,93741985,0,4993299,0.0532664,61334822,7.6872,-0.0171794,-0.0202884,0.0663443,0.231944,-0.182364,-0.00135527,0.00955118,-0.0122107,0.180663,0.373954,cluster_1,ingroup,NA
PRJNA260715,SAMN03421327,Astyanax_mexicanus,unknown,Rascon_6,Rascon,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5032903,0.0536889,61328988,8.14746,-0.0235089,-0.0218929,-0.120793,-0.0494461,0.0432172,0.0199891,0.233305,-0.0685455,7.78344e-4,0.00238498,cluster_1,ingroup,2
PRJNA260715,SAMN03024503,Astyanax_mexicanus,unknown,Rascon_04,Rascon,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5085090,0.0542456,61341491,10.5437,-0.0228432,-0.0141744,-0.0858801,-0.0313989,0.0527475,0.0360217,0.363262,0.12999,-0.0028198,-0.002163,cluster_1,ingroup,NA
PRJNA260715,SAMN03421325,Astyanax_mexicanus,unknown,Rascon_15,Rascon,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5122649,0.0546463,61331990,8.60363,-0.0226935,-0.0144407,-0.0927654,-0.0309685,0.0549671,0.0375092,0.383709,0.124616,0.00432448,0.00390687,cluster_1,ingroup,NA
PRJNA260715,SAMN03421323,Astyanax_mexicanus,unknown,Tinaja_E,Tinaja,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5127237,0.0546952,61329906,8.489,-0.0236111,-0.0261344,-0.125083,-0.0559567,0.0271275,0.00297763,0.0718315,-0.164342,8.0468e-4,7.1909e-4,cluster_1,exclude,2
PRJNA260715,SAMN03024479,Astyanax_mexicanus,unknown,Choy_10,Choy,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5134382,0.0547714,61334972,7.48641,-0.016749,-0.018888,0.0659209,0.223175,-0.175126,-0.00164871,0.00901915,-0.00722393,-0.197962,-0.183341,cluster_1,ingroup,NA
PRJNA260715,SAMN03421316,Astyanax_mexicanus,unknown,Tinaja_12,Tinaja,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5405666,0.0576654,61337529,9.91296,-0.0241151,-0.0303405,-0.133869,-0.0611295,0.0154319,-0.00893681,-0.0424434,-0.236348,1.80338e-4,7.35915e-4,cluster_1,ingroup,NA
PRJNA260715,SAMN03421324,Astyanax_mexicanus,unknown,Rascon_13,Rascon,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5408047,0.0576908,61336761,8.52712,-0.022847,-0.0132176,-0.0853749,-0.0288902,0.0488122,0.0364568,0.347244,0.124298,0.00337009,0.00416946,cluster_1,ingroup,NA
PRJNA260715,SAMN03421314,Astyanax_mexicanus,unknown,Tinaja_11,Tinaja,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5418391,0.0578011,61334916,8.93164,-0.0237043,-0.0294062,-0.126615,-0.050876,0.00977705,-0.00892464,-0.0413663,-0.239814,-1.71442e-4,-2.43626e-4,cluster_1,ingroup,4
PRJNA260715,SAMN03421315,Astyanax_mexicanus,unknown,Tinaja_6,Tinaja,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5448276,0.0581199,61332136,7.86046,-0.0230516,-0.0292797,-0.103886,-0.0203412,-0.01074,-0.00904207,-0.0401121,-0.229315,-4.82882e-4,0.00122669,cluster_1,exclude,4
PRJNA260715,SAMN03421319,Astyanax_mexicanus,unknown,Tinaja_C,Tinaja,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5555558,0.0592644,61333573,8.77442,-0.0240939,-0.0303307,-0.135535,-0.061723600000000003,0.0162583,-0.00916724,-0.0453743,-0.244871,-0.00122651,0.00134527,cluster_1,ingroup,3
PRJNA260715,SAMN03421317,Astyanax_mexicanus,unknown,Tinaja_B,Tinaja,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5560644,0.0593186,61337059,9.46309,-0.0241987,-0.0303428,-0.136301,-0.0632279,0.0166503,-0.00902795,-0.0456706,-0.242527,6.89262e-4,0.00100168,cluster_1,exclude,3
PRJNA260715,SAMN03024477,Astyanax_mexicanus,unknown,Choy_06,Choy,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5663681,0.0604178,61334214,6.96034,-0.0173654,-0.0188452,0.0638426,0.234624,-0.179985,-0.00218844,0.00485352,-0.0171058,-0.488683,-0.544963,cluster_1,ingroup,NA
PRJNA260715,SAMN03024484,Astyanax_mexicanus,unknown,Pach_3,Pach,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5876371,0.0626866,61339614,9.58152,-0.0239124,-0.0372695,-0.125163,-0.0515174,-0.00860365,-0.021358,-0.16164799999999999,0.20633,0.0036597,1.82972e-4,cluster_1,ingroup,NA
PRJNA260715,SAMN03421326,Astyanax_mexicanus,unknown,Rascon_8,Rascon,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5899452,0.0629329,61329408,7.08818,-0.023013,-0.0132397,-0.0861353,-0.0316907,0.0503131,0.0375913,0.342689,0.117726,0.00203486,-0.00493126,cluster_1,ingroup,NA
PRJNA260715,SAMN03024499,Astyanax_mexicanus,unknown,Molino_13b,Molino,GCF_000372685.2,Astyanax_mexicanus,93741985,0,5953096,0.0635051,61342178,10.0965,-0.0231916,-0.0522892,0.256247,-0.139804,0.0419689,-6.59649e-4,-0.0154367,-0.0047262,0.00152861,2.10885e-4,cluster_1,ingroup,1
PRJNA260715,SAMN03421320,Astyanax_mexicanus,unknown,Tinaja_3,Tinaja,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6077667,0.064834,61330423,7.59811,-0.0242996,-0.0306952,-0.13438,-0.0624717,0.0164761,-0.00900971,-0.0450619,-0.243105,4.96867e-4,0.00125949,cluster_1,exclude,3
PRJNA260715,SAMN03024486,Astyanax_mexicanus,unknown,Pach_8,Pach,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6250552,0.0666783,61331766,7.68658,-0.0238637,-0.0371538,-0.125667,-0.0514791,-0.00837061,-0.0214115,-0.161064,0.206026,0.0034295,-4.3798e-4,cluster_1,ingroup,NA
PRJNA260715,SAMN03024496,Astyanax_mexicanus,unknown,Molino_10b,Molino,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6293022,0.0671313,61339053,8.72719,-0.0231314,-0.0524273,0.257068,-0.139497,0.0414786,-5.52394e-4,-0.0151009,-0.00448718,6.74662e-4,-0.00153934,cluster_1,exclude,1
PRJNA260715,SAMN03421321,Astyanax_mexicanus,unknown,Tinaja_D,Tinaja,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6309971,0.0673121,61326952,6.8623,-0.0241919,-0.0303812,-0.135272,-0.06305,0.0169931,-0.00913371,-0.0441424,-0.236514,3.53704e-4,0.00209641,cluster_1,exclude,3
PRJNA260715,SAMN03024491,Astyanax_mexicanus,unknown,Pach_15,Pach,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6312611,0.0673403,61335076,8.20556,-0.0241325,-0.0374885,-0.131536,-0.0579651,-0.00438866,-0.0217442,-0.164125,0.209114,0.00298558,-0.00129028,cluster_1,ingroup,NA
PRJNA260715,SAMN03024493,Astyanax_mexicanus,unknown,Molino_2a,Molino,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6369597,0.0679482,61337348,8.29645,-0.0232569,-0.051773,0.256183,-0.138187,0.041221,-7.76008e-4,-0.0155842,-0.00462845,0.00152495,-0.00101924,cluster_1,exclude,1
PRJNA260715,SAMN03024489,Astyanax_mexicanus,unknown,Pach_12,Pach,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6424774,0.0685368,61333263,7.98861,-0.0240644,-0.0378175,-0.131279,-0.0599349,-0.00400383,-0.021747,-0.16368,0.205603,0.00378654,-3.05986e-4,cluster_1,ingroup,NA
PRJNA260715,SAMN03421318,Astyanax_mexicanus,unknown,Tinaja_2,Tinaja,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6444023,0.0687421,61326458,6.76494,-0.0242581,-0.0297875,-0.135278,-0.0628672,0.0177243,-0.00934797,-0.0446669,-0.230715,5.86763e-5,0.00118334,cluster_1,ingroup,NA
PRJNA260715,SAMN03024494,Astyanax_mexicanus,unknown,Molino_7a,Molino,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6447394,0.0687781,61336873,8.00826,-0.023257,-0.0522893,0.25659,-0.139841,0.04114,-5.96571e-4,-0.0154193,-0.00569903,6.26309e-4,-2.55924e-4,cluster_1,exclude,1
PRJNA260715,SAMN03024485,Astyanax_mexicanus,unknown,Pach_7,Pach,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6494725,0.069283,61329011,7.10359,-0.0236768,-0.0363699,-0.121956,-0.0475,-0.0108278,-0.0207514,-0.156492,0.202862,0.00286197,0.0013244,cluster_1,ingroup,NA
PRJNA260715,SAMN03024495,Astyanax_mexicanus,unknown,Molino_9b,Molino,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6549271,0.0698649,61335241,7.68347,-0.0232872,-0.0524881,0.25666,-0.139788,0.0413342,-8.33172e-4,-0.0158249,-0.00526344,3.62715e-4,-9.87818e-4,cluster_1,exclude,1
PRJNA260715,SAMN03024498,Astyanax_mexicanus,unknown,Molino_12a,Molino,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6607244,0.0704833,61333878,7.61431,-0.023237,-0.0521836,0.255675,-0.139293,0.0409848,-6.87341e-4,-0.0151312,-0.00499183,1.37791e-4,-5.98267e-4,cluster_1,exclude,1
PRJNA260715,SAMN03421322,Astyanax_mexicanus,unknown,Tinaja_5,Tinaja,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6783530,0.0723638,61320500,5.80758,-0.0240849,-0.0296645,-0.130291,-0.0578855,0.0132494,-0.00887691,-0.0410144,-0.234577,5.54022e-4,0.00142372,cluster_1,ingroup,NA
PRJNA260715,SAMN03024487,Astyanax_mexicanus,unknown,Pach_9,Pach,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6824474,0.0728006,61330163,7.12304,-0.0243484,-0.0374914,-0.133333,-0.0632785,-0.00180343,-0.0215004,-0.162134,0.202708,0.00258943,2.31395e-4,cluster_1,ingroup,NA
PRJNA260715,SAMN03024492,Astyanax_mexicanus,unknown,Pach_17,Pach,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6827786,0.0728359,61326887,6.56542,-0.0240265,-0.0372687,-0.127524,-0.0547799,-0.0055663,-0.0211545,-0.161073,0.20676,0.00405346,-9.13412e-4,cluster_1,ingroup,NA
PRJNA260715,SAMN03024488,Astyanax_mexicanus,unknown,Pach_11,Pach,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6867129,0.0732556,61326058,6.54948,-0.024141,-0.0374034,-0.124063,-0.0596637,-0.00368718,-0.0208746,-0.158849,0.198133,0.0032478,1.25367e-4,cluster_1,ingroup,NA
PRJNA260715,SAMN03024490,Astyanax_mexicanus,unknown,Pach_14,Pach,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6880932,0.0734029,61326428,6.56361,-0.0239728,-0.0368535,-0.127695,-0.0550766,-0.00648359,-0.0211485,-0.160677,0.202987,0.00275859,-6.623e-4,cluster_1,ingroup,NA
PRJNA260715,SAMN03024497,Astyanax_mexicanus,unknown,Molino_11a,Molino,GCF_000372685.2,Astyanax_mexicanus,93741985,0,6956069,0.0742044,61329760,6.7193,-0.0232865,-0.052234,0.254452,-0.138264,0.0406969,-5.47353e-4,-0.0146419,-0.00492246,-1.19242e-4,-3.52438e-4,cluster_1,exclude,1
