BioProject,BioSample,Organism,sex,Submitter_Id,Population,Subpopulation,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA628166,SAMN14732694,Dicentrarchus_punctatus,unknown,Punc,Atlantic,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,0,0,12472825,36.4823,0.993815,-0.00715435,4.87601e-4,3.30482e-4,4.34325e-4,-4.74951e-4,-6.84851e-5,6.117e-5,-4.12192e-4,-1.84732e-4,cluster_3,outgroup,NA
PRJNA628166,SAMN14732672,Dicentrarchus_labrax,male,F1_831241,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,340724,0.0123179,18241819,53.7045,-0.0118641,0.092502,-0.316202,0.173547,0.126538,-0.0499106,0.373107,-0.22735,-0.179773,0.130902,cluster_1,ingroup,3
PRJNA628166,SAMN14732676,Dicentrarchus_labrax,female,F184968,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,355438,0.0128499,18242040,50.2611,-0.0123411,-0.0299731,-0.0145512,-0.00232762,0.0121546,-0.0118274,0.0153753,0.0229853,-0.0381567,-0.0228303,cluster_2,ingroup,NA
PRJNA628166,SAMN14732687,Dicentrarchus_labrax,male,NEM07,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,357713,0.0129321,18242298,48.1357,-0.0129776,-0.103114,-0.0135098,-0.0124715,-0.023894,0.0306694,-0.00635283,-0.0251068,0.0400582,0.0192042,cluster_2,ingroup,NA
PRJNA628166,SAMN14732670,Dicentrarchus_labrax,male,F1_830892,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,358189,0.0129493,18242008,44.9627,-0.0116972,0.105907,0.148366,0.0187384,-0.507718,-0.177718,0.215837,0.136663,-0.0556847,0.0392311,cluster_1,exclude,3
PRJNA628166,SAMN14732677,Dicentrarchus_labrax,female,F187464,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,378908,0.0136983,18242062,38.3087,-0.0123665,-0.037216,-0.00262593,-0.00276969,0.00650617,-0.0135988,0.017423,0.0314558,-0.0370404,-0.0229971,cluster_2,ingroup,NA
PRJNA628166,SAMN14732663,Dicentrarchus_labrax,female,F074851,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,391394,0.0141497,18241761,39.1052,-0.012642,-0.0178271,0.148227,-0.148119,0.168568,-0.150365,0.131701,0.106714,-0.032115,0.00548431,cluster_2,exclude,3
PRJNA628166,SAMN14732674,Dicentrarchus_labrax,male,F1_831536,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,392196,0.0141787,18241439,38.3908,-0.0116939,0.109576,0.113759,-0.292376,0.160742,-0.21001,0.12606,-0.0174118,0.293995,0.165153,cluster_1,exclude,3
PRJNA628166,SAMN14732690,Dicentrarchus_labrax,male,NEM10,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,397986,0.0143881,18242309,39.9389,-0.0129602,-0.105377,-0.0116667,-0.0151507,-0.0240361,0.0335595,-0.0116845,-0.0324283,0.0448892,0.0203691,cluster_2,ingroup,NA
PRJNA628166,SAMN14732680,Dicentrarchus_labrax,female,F198417,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,398411,0.0144034,18241716,37.6603,-0.0124371,-0.044585,-0.00348632,-0.00582566,0.0069841,-0.0109884,0.0148352,0.0272466,-0.0382056,-0.024719,cluster_2,ingroup,NA
PRJNA628166,SAMN14732678,Dicentrarchus_labrax,female,F188042,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,400843,0.0144913,18241790,33.9284,-0.0123309,-0.041057,-0.00612276,-0.0016568,0.0124716,-0.0144801,0.0187405,0.028586,-0.0364769,-0.0183741,cluster_2,ingroup,NA
PRJNA628166,SAMN14732669,Dicentrarchus_labrax,male,F1_830517,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,405688,0.0146665,18241614,35.2266,-0.0119459,0.0911587,0.311419,0.303835,0.141493,0.0337767,0.0144662,-0.0658227,0.0776528,-0.0157747,cluster_1,exclude,3
PRJNA628166,SAMN14732689,Dicentrarchus_labrax,male,NEM09,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,406908,0.0147106,18241815,38.7189,-0.012902,-0.105388,-0.0124314,-0.0181735,-0.0290662,0.0291628,-0.0130255,-0.0369766,0.0420082,0.0222275,cluster_2,ingroup,NA
PRJNA628166,SAMN14732679,Dicentrarchus_labrax,female,F197773,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,409415,0.0148012,18242041,33.5901,-0.0121427,-0.00614901,-0.0107262,1.14797e-4,0.00172384,-0.0086848,0.00586425,0.00850704,-0.0345356,-0.0231065,cluster_2,ingroup,NA
PRJNA628166,SAMN14732666,Dicentrarchus_labrax,female,F173305,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,414929,0.0150006,18241793,29.994,-0.0124324,-0.0424052,-0.00676706,-0.00461459,0.0119554,-0.0144136,0.0159292,0.024632,-0.0382828,-0.0349855,cluster_2,ingroup,NA
PRJNA628166,SAMN14732712,Dicentrarchus_labrax,male,WME97522,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,415047,0.0150049,18241934,32.4144,-0.0123914,-0.0403328,-0.00764453,-0.00413682,0.00954477,-0.0145835,0.0122091,0.0266009,-0.0366502,-0.0257333,cluster_2,ingroup,NA
PRJNA628166,SAMN14732667,Dicentrarchus_labrax,female,F182171,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,418119,0.0151159,18241807,33.4309,-0.012373,-0.0421403,-0.0103964,0.00351763,0.00454078,-0.0230767,0.0200392,0.0236842,-0.0469102,-0.0259875,cluster_2,ingroup,NA
PRJNA628166,SAMN14732658,Dicentrarchus_labrax,male,AT206125,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,420786,0.0152123,18241138,34.9999,-0.0106223,0.200451,-0.256245,0.0944235,0.0634061,0.0687436,0.365282,-0.411525,-0.235065,0.186518,cluster_1,exclude,3
PRJNA628166,SAMN14732671,Dicentrarchus_labrax,male,F1_830964,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,422995,0.0152922,18241236,26.1383,-0.0118616,0.0968529,0.113815,-0.264015,0.189451,-0.0598235,0.172253,0.121017,-0.0657868,-0.336503,cluster_1,exclude,3
PRJNA628166,SAMN14732668,Dicentrarchus_labrax,male,F1_830043,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,430593,0.0155669,18241420,30.0105,-0.0117048,0.0964221,-0.285683,0.151219,0.0605243,-0.0377566,0.0656131,0.0894463,0.283487,-0.261697,cluster_1,exclude,3
PRJNA628166,SAMN14732697,Dicentrarchus_labrax,male,SEM05,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,431242,0.0155903,18241985,32.4902,-0.0130893,-0.114469,-0.0193705,-0.0233745,-0.04369,0.0651513,-0.0236741,-0.0697382,0.0932688,0.0485751,cluster_2,ingroup,2
PRJNA628166,SAMN14732665,Dicentrarchus_labrax,female,F096887,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,434973,0.0157252,18241381,28.1608,-0.0124809,-0.0392676,-0.00253747,0.00442186,0.0133853,-0.0192129,0.0151075,0.0248762,-0.0408226,-0.0261319,cluster_2,ingroup,NA
PRJNA628166,SAMN14732688,Dicentrarchus_labrax,male,NEM08,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,448523,0.0162151,18241276,28.5311,-0.0129052,-0.104458,-0.0121001,-0.0135442,-0.0198084,0.0369523,-0.0108589,-0.0290021,0.0393788,0.0201269,cluster_2,ingroup,NA
PRJNA628166,SAMN14732659,Dicentrarchus_labrax,male,AT207193,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,449001,0.0162324,18240944,31.6879,-0.0106233,0.210554,0.0206727,-0.277115,0.0675983,-0.136486,0.0424253,-0.116427,0.408296,0.197713,cluster_1,exclude,3
PRJNA628166,SAMN14732691,Dicentrarchus_labrax,male,NEM14,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,451413,0.0163196,18241828,29.1849,-0.0129311,-0.106707,-0.0145547,-0.0120374,-0.0196176,0.0369739,-0.0105974,-0.0365959,0.0519724,0.0202566,cluster_2,ingroup,NA
PRJNA628166,SAMN14732683,Dicentrarchus_labrax,female,F251175,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,451743,0.0163315,18241228,23.2847,-0.0124032,-0.0398051,-0.00881475,0.00124592,0.00520941,-0.0157305,0.00766994,0.0306867,-0.0353591,-0.0254117,cluster_2,ingroup,NA
PRJNA628166,SAMN14732709,Dicentrarchus_labrax,male,WM103016,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,452149,0.0163462,18241277,26.2299,-0.0124917,-0.0423133,-0.00149784,6.40294e-4,0.00735114,-0.0171584,0.0125447,0.0296389,-0.032159600000000003,-0.0287086,cluster_2,ingroup,NA
PRJNA628166,SAMN14732708,Dicentrarchus_labrax,male,WM102209,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,463579,0.0167594,18240968,24.8682,-0.01231,-0.0432473,-0.00392201,0.00366166,0.0109846,-0.0174935,0.0103491,0.0280695,-0.0407858,-0.0259655,cluster_2,ingroup,NA
PRJNA628166,SAMN14732706,Dicentrarchus_labrax,male,WM098577,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,473304,0.017111,18240687,23.7264,-0.0125731,-0.0342151,-0.147234,0.104414,0.08766,-0.107228,0.108055,0.0829943,-0.0213674,-0.019668,cluster_2,exclude,3
PRJNA628166,SAMN14732705,Dicentrarchus_labrax,male,WM098394,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,475446,0.0171884,18240576,23.4923,-0.0123353,-0.0404511,-0.00885316,8.47458e-5,0.00446194,-0.0207393,0.0203873,0.0284388,-0.0388795,-0.0266066,cluster_2,ingroup,NA
PRJNA628166,SAMN14732657,Dicentrarchus_labrax,male,AT205899,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,482084,0.0174284,18240495,26.4177,-0.0107542,0.197496,0.0188979,-0.252568,0.103338,0.0435411,0.101427,0.0447532,-0.0557744,-0.441276,cluster_1,exclude,3
PRJNA628166,SAMN14732664,Dicentrarchus_labrax,female,F078192,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,483314,0.0174729,18240260,23.8487,-0.0127283,-0.0313025,-0.211612,0.153321,0.119282,-0.140791,0.122673,0.12188,-0.0121847,-0.0130459,cluster_2,exclude,3
