BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA192205,SAMN02743851,Corvus_brachyrhynchos,male,USA_NY_B03,USA,North America,USA: New York,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,70313,7.75797e-4,9429899,20.7485,-0.0141238,0.00225176,-0.0280697,-0.196095,-0.00826647,0.242011,-0.00391251,-0.0334196,-0.00512374,0.00378324,cluster_5,outgroup,NA
PRJNA192205,SAMN02743850,Corvus_brachyrhynchos,male,USA_CA_B03,USA,North America,USA: California,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,82035,9.05131e-4,9429693,23.2651,-0.0141146,0.00242036,-0.0280835,-0.191107,-0.00790332,0.229903,-0.00355485,-0.0309231,-0.00348292,0.00620037,cluster_5,outgroup,NA
PRJNA192205,SAMN02743849,Corvus_brachyrhynchos,male,USA_NJ_B02,USA,North America,USA: New Jersey,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,100906,0.00111334,9429358,21.6179,-0.0139562,0.00228132,-0.0276016,-0.190345,-0.00783245,0.227939,-0.00256888,-0.028307,-0.00386807,0.00653631,cluster_5,outgroup,NA
PRJNA192205,SAMN02143031,Corvus_cornix,male,S_Up_H32,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,109764,0.00121108,32930516,79.1235,-0.0179197,0.0109149,0.00160213,0.00461981,-1.32157e-4,-0.0119534,3.64671e-5,-0.00237133,-0.0107864,1.79115e-4,cluster_1,ingroup,NA
PRJNA192205,SAMN02743852,Corvus_brachyrhynchos,male,USA_NY_B04,USA,North America,USA: New York,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,112777,0.00124432,9427071,17.7557,-0.0141024,0.00228057,-0.0276996,-0.194652,-0.0083717,0.235754,-0.00320204,-0.0287363,-0.00388161,0.00585104,cluster_5,outgroup,NA
PRJNA192205,SAMN02743832,Corvus_corone_corone,male,D_Ra_C16,Germany,Europe,Germany: Radolfzell,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,119190,0.00131508,12005303,20.5458,-0.016941,0.00885157,-0.00615354,-0.0404292,-0.00133692,-0.0473407,2.9693e-4,-0.00473706,-0.00935582,0.0396389,cluster_5,outgroup,NA
PRJNA192205,SAMN02743846,Corvus_corone_corone,male,E_Vi_C57,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,120344,0.00132781,12005237,25.6898,-0.0167135,0.00814,-0.0116466,-0.0709636,-0.00217713,-0.086754,-2.92024e-5,-0.0102654,-0.0202971,0.208009,cluster_5,outgroup,NA
PRJNA192205,SAMN02743819,Corvus_corone_corone,male,D_Ko_C04,Germany,Europe,Germany: Konstanz,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,125942,0.00138958,12005096,19.024,-0.0169341,0.00885558,-0.00609797,-0.0400459,-0.00103578,-0.0474624,2.95283e-4,-0.00457154,-0.0103984,0.0405456,cluster_5,outgroup,NA
PRJNA192205,SAMN02743828,Corvus_corone_corone,male,D_Ra_C05,Germany,Europe,Germany: Radolfzell,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,127903,0.00141121,12005198,17.9632,-0.0169757,0.00889873,-0.00629905,-0.0402512,-0.00127197,-0.0481928,2.05768e-4,-0.00557967,-0.0113732,0.0423178,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334439,Corvus_brachyrhynchos,missing,DNA_375,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,128673,0.00141971,9428806,11.4424,-0.014125,0.00247794,-0.0279882,-0.19006,-0.00783658,0.228124,-0.00346576,-0.0305459,-0.00324004,0.00616357,cluster_5,outgroup,NA
