BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,lat_lon,Population,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA354496,SAMN06046572,Symphodus_melops,missing,GF49,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,644786,0.0524733,12272957,13.6759,-0.0598436,-0.106937,-5.11009e-4,-0.00203826,-0.00202702,0.00199868,0.00166831,3.31828e-4,0.00824164,0.00328303,cluster_1,ingroup,2
PRJNA354496,SAMN06046568,Symphodus_melops,missing,GF07,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,664680,0.0540923,12273102,15.1787,-0.0604403,-0.10857,-2.30299e-4,1.55249e-4,-0.00318332,0.00174479,0.00173331,7.27365e-4,-1.9279e-4,-0.00215869,cluster_1,ingroup,NA
PRJNA354496,SAMN06046567,Symphodus_melops,missing,GF05,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,692413,0.0563492,12273643,14.0927,-0.0611365,-0.108955,0.00169305,6.74993e-5,-0.00247762,0.00168766,3.6539e-4,0.002324,0.00248811,-0.0037628,cluster_1,ingroup,NA
PRJNA354496,SAMN06046569,Symphodus_melops,missing,GF23,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,704609,0.0573417,12272165,11.7794,-0.0598623,-0.109316,-5.50676e-5,-0.00176447,-7.54912e-4,0.00129147,0.00125192,0.00179422,0.0064029,-0.0136411,cluster_1,exclude,2
PRJNA354496,SAMN06046571,Symphodus_melops,missing,GF38,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,730986,0.0594883,12272021,11.9154,-0.061078,-0.115636,0.00176671,-1.66718e-4,-0.00440175,0.00344979,-8.51282e-4,6.75163e-4,2.09272e-4,-0.00968611,cluster_1,ingroup,NA
PRJNA354496,SAMN06046566,Symphodus_melops,missing,GF04,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,751960,0.0611952,12271180,10.6701,-0.0611398,-0.109719,-5.87575e-4,-6.00718e-4,8.18735e-4,0.001589,0.00156672,0.0020087,0.00351844,0.00339224,cluster_1,ingroup,NA
PRJNA354496,SAMN06046570,Symphodus_melops,missing,GF28,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,783005,0.0637217,12271265,10.3642,-0.0603768,-0.107729,-7.05326e-4,-0.00107519,-0.00230718,0.00168516,0.00152496,0.00347435,-0.00161045,-0.0104248,cluster_1,exclude,2
PRJNA354496,SAMN06046565,Symphodus_melops,missing,GF03,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,785255,0.0639048,12270201,9.74915,-0.0612382,-0.109709,-3.09754e-4,-0.00121424,-0.00152817,4.46936e-4,0.00116037,0.00176656,-0.00173969,-0.011403,cluster_1,ingroup,NA
PRJNA354496,SAMN06046563,Symphodus_melops,missing,GF01,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,829048,0.0674687,12270341,9.05627,-0.0592729,-0.10568,0.0020766,-0.00130368,-0.00324581,0.00310201,0.00105189,0.00787517,-0.015138800000000001,-0.0864931,cluster_1,ingroup,NA
PRJNA354496,SAMN06046564,Symphodus_melops,missing,GF02,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,841460,0.0684788,12269816,8.83934,-0.0599494,-0.10447,7.45938e-4,-0.00169815,-1.0214e-4,0.00180073,0.00215607,0.00142931,-2.18638e-5,0.00282881,cluster_1,ingroup,NA
