BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN09425179,EYR054,GCA_003426825.1,SRR7906773,Eopsaltria_australis,PRJNA476023
SAMN10581952,EYR056_mp1kb,GCA_003426825.1,SRR8300755,Eopsaltria_australis,PRJNA476023
SAMN10592523,NSW016,GCA_003426825.1,SRR8316730,Eopsaltria_australis,PRJNA476023
SAMN10592522,ANWC-B49226,GCA_003426825.1,SRR8316731,Eopsaltria_australis,PRJNA476023
SAMN10592520,ANWC-B43452,GCA_003426825.1,SRR8316733,Eopsaltria_australis,PRJNA476023
SAMN10592519,ANWC-B20524,GCA_003426825.1,SRR8316734,Eopsaltria_australis,PRJNA476023
SAMN10592518,026-37158,GCA_003426825.1,SRR8316735,Eopsaltria_australis,PRJNA476023
SAMN10592517,026-30490,GCA_003426825.1,SRR8316736,Eopsaltria_australis,PRJNA476023
SAMN10592516,024-96456,GCA_003426825.1,SRR8316737,Eopsaltria_australis,PRJNA476023
SAMN10592515,026-37174,GCA_003426825.1,SRR8316738,Eopsaltria_australis,PRJNA476023
SAMN10592514,026-37152,GCA_003426825.1,SRR8316739,Eopsaltria_australis,PRJNA476023
SAMN10592528,026-30495,GCA_003426825.1,SRR8316741,Eopsaltria_australis,PRJNA476023
SAMN10592531,NSW041,GCA_003426825.1,SRR8316742,Eopsaltria_australis,PRJNA476023
SAMN10592525,026-63069,GCA_003426825.1,SRR8316744,Eopsaltria_australis,PRJNA476023
SAMN10592524,024-96467,GCA_003426825.1,SRR8316745,Eopsaltria_australis,PRJNA476023
SAMN10592527,027-09500,GCA_003426825.1,SRR8316746,Eopsaltria_australis,PRJNA476023
SAMN10592526,026-37169,GCA_003426825.1,SRR8316747,Eopsaltria_australis,PRJNA476023
SAMN10592532,NSW043,GCA_003426825.1,SRR8316748,Eopsaltria_australis,PRJNA476023
SAMN10592529,ANWC-B43508,GCA_003426825.1,SRR8316740,Eopsaltria_australis,PRJNA476023
SAMN10592530,NSW039,GCA_003426825.1,SRR8316743,Eopsaltria_australis,PRJNA476023
SAMN10592521,ANWC-B44545,GCA_003426825.1,SRR8316732,Eopsaltria_australis,PRJNA476023
