BioProject,BioSample,Submitter_ID,Organism,subspecies,sex,Locality,Province,Country,Continent,refGenome,refSpecies
PRJEB10586,SAMEA3532857,26462,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532858,28339,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532859,28353,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532860,26721,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532861,28456,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532862,28402,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532863,26516,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532864,28404,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532865,26820,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532866,26733,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532867,28481,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532868,26881,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532869,26781,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532870,26896,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532871,26792,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532872,28016,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532873,26795,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532874,28078,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
PRJEB10586,SAMEA3532875,28313,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata
