BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,refGenome,refSpecies
PRJEB9057,SAMEA3334441,Corvus_cornix,missing,DNA_343,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334442,Corvus_cornix,missing,DNA_344,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334443,Corvus_cornix,missing,DNA_348,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334444,Corvus_cornix,missing,DNA_351,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334445,Corvus_cornix,missing,DNA_354,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334446,Corvus_cornix,missing,DNA_360,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334447,Corvus_cornix,missing,DNA_362,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334448,Corvus_cornix,missing,DNA_364,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334449,Corvus_cornix,missing,DNA_381,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334450,Corvus_cornix,missing,DNA_382,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334451,Corvus_cornix,missing,DNA_386,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334452,Corvus_cornix,missing,DNA_390,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334453,Corvus_cornix,missing,DNA_394,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334454,Corvus_cornix,missing,DNA_395,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334455,Corvus_cornix,missing,DNA_398,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334456,Corvus_cornix,missing,DNA_399,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334457,Corvus_cornix,missing,DNA_403,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334458,Corvus_cornix,missing,DNA_407,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334459,Corvus_cornix,missing,DNA_411,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334460,Corvus_cornix,missing,DNA_412,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334461,Corvus_cornix,missing,DNA_418,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334462,Corvus_cornix,missing,DNA_423,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334463,Corvus_cornix,missing,DNA_426,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334464,Corvus_cornix,missing,DNA_430,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334465,Corvus_cornix,missing,DNA_431,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334466,Corvus_cornix,missing,DNA_432,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334467,Corvus_cornix,missing,DNA_434,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334468,Corvus_cornix,missing,DNA_435,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334469,Corvus_cornix,missing,DNA_436,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334470,Corvus_cornix,missing,DNA_437,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334471,Corvus_cornix,missing,DNA_438,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334472,Corvus_cornix,missing,DNA_439,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334473,Corvus_cornix,missing,DNA_440,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334474,Corvus_cornix,missing,DNA_441,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334475,Corvus_cornix,missing,DNA_442,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334476,Corvus_cornix,missing,DNA_443,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334477,Corvus_cornix,missing,DNA_445,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334478,Corvus_cornix,missing,DNA_446,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334479,Corvus_cornix,missing,DNA_447,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334480,Corvus_cornix,missing,DNA_448,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334481,Corvus_cornix,missing,DNA_450,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334482,Corvus_cornix,missing,DNA_451,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334483,Corvus_cornix,missing,DNA_452,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
PRJEB9057,SAMEA3334484,Corvus_cornix,missing,DNA_454,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix
