BioSample,lat,long,refGenome
SAMN03333188,NA,NA,GCF_001522545.3
SAMN03333190,NA,NA,GCF_001522545.3
SAMN03333191,NA,NA,GCF_001522545.3
SAMN03333193,NA,NA,GCF_001522545.3
SAMN03333194,NA,NA,GCF_001522545.3
SAMN03333195,NA,NA,GCF_001522545.3
SAMN03333196,NA,NA,GCF_001522545.3
SAMN03333197,NA,NA,GCF_001522545.3
SAMN03333198,NA,NA,GCF_001522545.3
SAMN03333199,NA,NA,GCF_001522545.3
SAMN03333200,NA,NA,GCF_001522545.3
SAMN03333201,NA,NA,GCF_001522545.3
SAMN03333202,NA,NA,GCF_001522545.3
SAMN03333203,NA,NA,GCF_001522545.3
SAMN03333204,NA,NA,GCF_001522545.3
SAMN03333205,NA,NA,GCF_001522545.3
SAMN03333206,NA,NA,GCF_001522545.3
SAMN03333207,NA,NA,GCF_001522545.3
SAMN03333208,NA,NA,GCF_001522545.3
SAMN03333209,NA,NA,GCF_001522545.3
SAMN03333210,NA,NA,GCF_001522545.3
SAMN03333211,NA,NA,GCF_001522545.3
SAMN03333212,NA,NA,GCF_001522545.3
SAMN03333214,NA,NA,GCF_001522545.3
SAMN03333215,NA,NA,GCF_001522545.3
SAMN03333216,NA,NA,GCF_001522545.3
SAMN03333217,NA,NA,GCF_001522545.3
SAMN03333218,NA,NA,GCF_001522545.3
SAMN03333219,NA,NA,GCF_001522545.3
SAMN03333189,NA,NA,GCF_001522545.3
SAMN03333192,NA,NA,GCF_001522545.3
SAMN03333213,NA,NA,GCF_001522545.3
SAMN04296347,48.060001373291016,15.90999984741211,GCF_001522545.3
SAMN04296348,51.15999984741211,4.289999961853027,GCF_001522545.3
SAMN04296349,52.2400016784668,-0.14000000059604645,GCF_001522545.3
SAMN04296350,42.220001220703125,8.449999809265137,GCF_001522545.3
SAMN04296351,49.31999969482422,17.040000915527344,GCF_001522545.3
SAMN04296352,58.06999969482422,25.049999237060547,GCF_001522545.3
SAMN04296353,58.06999969482422,25.049999237060547,GCF_001522545.3
SAMN04296354,65,25.299999237060547,GCF_001522545.3
SAMN04296355,43.400001525878906,3.4000000953674316,GCF_001522545.3
SAMN04296356,43.369998931884766,3.5199999809265137,GCF_001522545.3
SAMN04296357,43.400001525878906,3.4000000953674316,GCF_001522545.3
SAMN04296358,47.9900016784668,11.350000381469727,GCF_001522545.3
SAMN04296359,47.43000030517578,19.100000381469727,GCF_001522545.3
SAMN04296360,69.19999694824219,19.34000015258789,GCF_001522545.3
SAMN04296361,50.060001373291016,20.25,GCF_001522545.3
SAMN04296362,56.08000183105469,-4.369999885559082,GCF_001522545.3
SAMN04296363,38.439998626708984,-0.33000001311302185,GCF_001522545.3
SAMN04296364,38.38999938964844,-0.3199999928474426,GCF_001522545.3
SAMN04296365,57.04999923706055,18.18000030517578,GCF_001522545.3
SAMN04296376,NA,NA,GCF_001522545.3
SAMN04296366,51.77000045776367,-1.340000033378601,GCF_001522545.3
SAMN04296367,51.77000045776367,-1.340000033378601,GCF_001522545.3
SAMN04296368,51.77000045776367,-1.340000033378601,GCF_001522545.3
SAMN04296369,51.77000045776367,-1.340000033378601,GCF_001522545.3
SAMN04296370,51.77000045776367,-1.340000033378601,GCF_001522545.3
SAMN04296371,51.77000045776367,-1.340000033378601,GCF_001522545.3
SAMN04296372,51.77000045776367,-1.340000033378601,GCF_001522545.3
SAMN04296373,51.77000045776367,-1.340000033378601,GCF_001522545.3
SAMN04296374,51.77000045776367,-1.340000033378601,GCF_001522545.3
SAMN04296375,51.77000045776367,-1.340000033378601,GCF_001522545.3
