Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	BioSampleModel	lat_lon	Host	Isolation_source	source_material_ID
SRR5834924	AMPLICON	151	2905240	PRJNA394790	SAMN07360224	1594073	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3011414	Illumina MiSeq	Fr382.S2	PAIRED	PCR	METAGENOMIC	skin_metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr382.S2	SRP112703	missing	2014-11-27	Madagascar	Africa	Madagascar:Isalo\,Malaso	Metagenome or environmental	22.59175 S 45.35611 E	Gephyromantis corvus	Skin swab	DNA extracted from sample Fr382.S2
SRR5834925	AMPLICON	151	1270363	PRJNA394790	SAMN07360223	777751	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3011413	Illumina MiSeq	Fr381.S2	PAIRED	PCR	METAGENOMIC	skin_metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr381.S2	SRP112703	missing	2014-11-27	Madagascar	Africa	Madagascar:Isalo\,Malaso	Metagenome or environmental	22.59175 S 45.35611 E	Gephyromantis corvus	Skin swab	DNA extracted from sample Fr381.S2
SRR5834926	AMPLICON	151	3205277	PRJNA394790	SAMN07360226	1754948	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3011412	Illumina MiSeq	Fr384.S2	PAIRED	PCR	METAGENOMIC	skin_metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr384.S2	SRP112703	missing	2014-11-27	Madagascar	Africa	Madagascar:Isalo\,Malaso	Metagenome or environmental	22.59175 S 45.35611 E	Gephyromantis corvus	Skin swab	DNA extracted from sample Fr384.S2
SRR5834927	AMPLICON	151	1448845	PRJNA394790	SAMN07360225	867873	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3011411	Illumina MiSeq	Fr383.S2	PAIRED	PCR	METAGENOMIC	skin_metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr383.S2	SRP112703	missing	2014-11-27	Madagascar	Africa	Madagascar:Isalo\,Malaso	Metagenome or environmental	22.59175 S 45.35611 E	Gephyromantis corvus	Skin swab	DNA extracted from sample Fr383.S2
SRR5834928	AMPLICON	151	1388445	PRJNA394790	SAMN07360228	834805	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3011410	Illumina MiSeq	Fr386.S2	PAIRED	PCR	METAGENOMIC	skin_metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr386.S2	SRP112703	missing	2014-11-27	Madagascar	Africa	Madagascar:Isalo\,Malaso	Metagenome or environmental	22.59175 S 45.35611 E	Gephyromantis corvus	Skin swab	DNA extracted from sample Fr386.S2
SRR5834929	AMPLICON	151	2638272	PRJNA394790	SAMN07360227	1447440	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3011409	Illumina MiSeq	Fr385.S2	PAIRED	PCR	METAGENOMIC	skin_metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr385.S2	SRP112703	missing	2014-11-27	Madagascar	Africa	Madagascar:Isalo\,Malaso	Metagenome or environmental	22.59175 S 45.35611 E	Gephyromantis corvus	Skin swab	DNA extracted from sample Fr385.S2
SRR5834931	AMPLICON	151	2248541	PRJNA394790	SAMN07360229	1269872	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3011407	Illumina MiSeq	Fr389.S2	PAIRED	PCR	METAGENOMIC	skin_metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr389.S2	SRP112703	missing	2014-11-27	Madagascar	Africa	Madagascar:Isalo\,Malaso	Metagenome or environmental	22.59175 S 45.35611 E	Gephyromantis corvus	Skin swab	DNA extracted from sample Fr389.S2
SRR5834957	AMPLICON	151	1561491	PRJNA394790	SAMN07360222	950474	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3011381	Illumina MiSeq	Fr380.S2	PAIRED	PCR	METAGENOMIC	skin_metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr380.S2	SRP112703	missing	2014-11-27	Madagascar	Africa	Madagascar:Isalo\,Malaso	Metagenome or environmental	22.59175 S 45.35611 E	Gephyromantis corvus	Skin swab	DNA extracted from sample Fr380.S2
SRR5835088	AMPLICON	151	3289082	PRJNA394790	SAMN07360204	1790211	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3011651	Illumina MiSeq	Fr344.S2	PAIRED	PCR	METAGENOMIC	skin_metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr344.S2	SRP112703	missing	2014-11-26	Madagascar	Africa	Madagascar:Isalo\,Zahavolo	Metagenome or environmental	22.61814 S 45.3693 E	Gephyromantis corvus	Skin swab	DNA extracted from sample Fr344.S2
SRR5835089	AMPLICON	151	2644010	PRJNA394790	SAMN07360203	1458636	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3011650	Illumina MiSeq	Fr342.S2	PAIRED	PCR	METAGENOMIC	skin_metagenome	ILLUMINA	2017-07-18T00:00:00Z	Fr342.S2	SRP112703	missing	2014-11-26	Madagascar	Africa	Madagascar:Isalo\,Zahavolo	Metagenome or environmental	22.61814 S 45.3693 E	Gephyromantis corvus	Skin swab	DNA extracted from sample Fr342.S2
