BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Strain	Breed	Cultivar	common	Treatment
PRJNA325126	SRR4017496	WGS	302	6010212230	SAMN05223487	2443185816	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011298	NextSeq 500	703	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23564_HGMNWBGXX_703_ATCACG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	703_R1
PRJNA325126	SRR4017497	WGS	302	5290725618	SAMN05223503	2168014658	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011299	NextSeq 500	704	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23565_HGMNWBGXX_704_CGATGT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	704_R1
PRJNA325126	SRR4017498	WGS	302	6175916610	SAMN05223527	2573206698	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011300	NextSeq 500	706	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_cyanoptera_(Brewster's_warbler)	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23574_HGMNWBGXX_706_GGCTAC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	706_R1
PRJNA325126	SRR4017499	WGS	302	5944591254	SAMN05223522	2396287573	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011301	NextSeq 500	713	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_cyanoptera_(Brewster's_warbler)	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23575_HGMNWBGXX_713_CTTGTA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	713_R1
PRJNA325126	SRR4017500	WGS	302	5182875076	SAMN05223502	2120106223	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011302	NextSeq 500	718	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23576_HGMNWBGXX_718_AGTCAA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	718_R1
PRJNA325126	SRR4017501	WGS	302	8235545134	SAMN05223533	3303858422	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011303	NextSeq 500	729	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23577_HGMNWBGXX_729_AGTTCC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	729_R1
PRJNA325126	SRR4017502	WGS	302	5324081216	SAMN05223514	2185442100	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011304	NextSeq 500	701	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23578_HGMNWBGXX_701_ATGTCA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	701_R1
PRJNA325126	SRR4017504	WGS	302	4691976492	SAMN05223497	1925806476	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011306	NextSeq 500	707	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23579_HGMNWBGXX_707_CCGTCC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	707_R1
PRJNA325126	SRR4017505	WGS	302	4727744768	SAMN05223499	1941232439	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011307	NextSeq 500	711	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23580_HGMNWBGXX_711_GTCCGC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	711_R1
PRJNA325126	SRR4017506	WGS	302	5841118806	SAMN05223526	2375208833	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011308	NextSeq 500	712	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23581_HGMNWBGXX_712_GTGAAA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	712_R1
