BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar
PRJNA612146	SRR12601660	WGS	300	6559897500	SAMN14363178	2592250881	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085732	Illumina HiSeq 4000	100	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_11	SRP280296	Model organism or animal	missing	muscle-100	Not applicable	missing	missing-100	Tampa\, US	Not applicable	Not applicable	Not applicable-100
PRJNA612146	SRR12601661	WGS	300	7252125900	SAMN14363177	2806458763	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085731	Illumina HiSeq 4000	99	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_10	SRP280296	Model organism or animal	missing	muscle-99	Not applicable	missing	missing-99	Tampa\, US	Not applicable	Not applicable	Not applicable-99
PRJNA612146	SRR12601663	WGS	300	9243330900	SAMN14363175	3712410057	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085729	Illumina HiSeq 4000	97	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_8	SRP280296	Model organism or animal	missing	muscle-97	Not applicable	missing	missing-97	Tampa\, US	Not applicable	Not applicable	Not applicable-97
PRJNA612146	SRR12601664	WGS	300	7519034400	SAMN14363174	2827928934	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085728	Illumina HiSeq 4000	96	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_7	SRP280296	Model organism or animal	missing	muscle-96	Not applicable	missing	missing-96	Chesapeake Bay\, US	Not applicable	Not applicable	Not applicable-96
PRJNA612146	SRR12601666	WGS	300	7445869800	SAMN14363172	2878832009	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085726	Illumina HiSeq 4000	94	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_4	SRP280296	Model organism or animal	missing	muscle-94	Not applicable	missing	missing-94	Chesapeake Bay\, US	Not applicable	Not applicable	Not applicable-94
PRJNA612146	SRR12601668	WGS	300	7779081000	SAMN14363170	3013730520	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085724	Illumina HiSeq 4000	92	PAIRED	RANDOM	GENOMIC	Hippocampus_erectus	ILLUMINA	2020-09-06T00:00:00Z	Het_2	SRP280296	Model organism or animal	missing	muscle-92	Not applicable	missing	missing-92	Chesapeake Bay\, US	Not applicable	Not applicable	Not applicable-92
PRJNA612146	SRR12601670	WGS	300	16416873900	SAMN14363088	6432230854	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085722	Illumina HiSeq 4000	10	PAIRED	RANDOM	GENOMIC	Hippocampus_abdominalis	ILLUMINA	2020-09-06T00:00:00Z	Had_10	SRP280296	Model organism or animal	missing	muscle-10	Not applicable	missing	missing-10	Tasmania\, Austrialia	Not applicable	Not applicable	Not applicable-10
PRJNA612146	SRR12601672	WGS	300	8820444600	SAMN14363167	3460155985	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085720	Illumina HiSeq 4000	89	PAIRED	RANDOM	GENOMIC	Hippocampus_capensis	ILLUMINA	2020-09-06T00:00:00Z	Hcp_S4	SRP280296	Model organism or animal	missing	muscle-89	Not applicable	missing	missing-89	Cape Town\, South Africa	Not applicable	Not applicable	Not applicable-89
PRJNA612146	SRR12601674	WGS	300	7945600200	SAMN14363165	3102356527	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085718	Illumina HiSeq 4000	87	PAIRED	RANDOM	GENOMIC	Hippocampus_capensis	ILLUMINA	2020-09-06T00:00:00Z	Hcp_S18	SRP280296	Model organism or animal	missing	muscle-87	Not applicable	missing	missing-87	Cape Town\, South Africa	Not applicable	Not applicable	Not applicable-87
PRJNA612146	SRR12601676	WGS	300	6305640900	SAMN14363163	2561681874	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085716	Illumina HiSeq 4000	85	PAIRED	RANDOM	GENOMIC	Hippocampus_capensis	ILLUMINA	2020-09-06T00:00:00Z	Hcp_11	SRP280296	Model organism or animal	missing	muscle-85	Not applicable	missing	missing-85	Cape Town\, South Africa	Not applicable	Not applicable	Not applicable-85
