Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	BioSampleModel	lat_lon	Host	Individual
SRR10580052	AMPLICON	501	6648310	PRJNA593220	SAMN13472584	3393400	UNIVERSITY OF SALFORD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7260834	Illumina MiSeq	CR8bac	PAIRED	PCR	GENOMIC	gut_metagenome	ILLUMINA	2021-01-01T00:00:00Z	CR8bac	SRP234505	missing	2019	United Kingdom	Europe	United Kingdom	Metagenome or environmental	missing	Corvus corone	CR8
SRR10580053	AMPLICON	501	914293	PRJNA593220	SAMN13472583	512429	UNIVERSITY OF SALFORD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7260833	Illumina MiSeq	CR7bac	PAIRED	PCR	GENOMIC	gut_metagenome	ILLUMINA	2021-01-01T00:00:00Z	CR7bac	SRP234505	missing	2019	United Kingdom	Europe	United Kingdom	Metagenome or environmental	missing	Corvus corone	CR7
SRR10580054	AMPLICON	501	53652	PRJNA593220	SAMN13472582	109629	UNIVERSITY OF SALFORD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7260832	Illumina MiSeq	CR4bac	PAIRED	PCR	GENOMIC	gut_metagenome	ILLUMINA	2021-01-01T00:00:00Z	CR4bac	SRP234505	missing	2019	United Kingdom	Europe	United Kingdom	Metagenome or environmental	missing	Corvus corone	CR4
SRR10580055	AMPLICON	501	215627	PRJNA593220	SAMN13472581	191669	UNIVERSITY OF SALFORD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7260831	Illumina MiSeq	CR3bac	PAIRED	PCR	GENOMIC	gut_metagenome	ILLUMINA	2021-01-01T00:00:00Z	CR3bac	SRP234505	missing	2019	United Kingdom	Europe	United Kingdom	Metagenome or environmental	missing	Corvus corone	CR3
SRR10580056	AMPLICON	501	425138	PRJNA593220	SAMN13472580	301994	UNIVERSITY OF SALFORD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7260830	Illumina MiSeq	CR26bac	PAIRED	PCR	GENOMIC	gut_metagenome	ILLUMINA	2021-01-01T00:00:00Z	CR26bac	SRP234505	missing	2019	United Kingdom	Europe	United Kingdom	Metagenome or environmental	missing	Corvus corone	CR26
SRR10580057	AMPLICON	501	3577396	PRJNA593220	SAMN13472579	1881015	UNIVERSITY OF SALFORD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7260829	Illumina MiSeq	CR20bac	PAIRED	PCR	GENOMIC	gut_metagenome	ILLUMINA	2021-01-01T00:00:00Z	CR20bac	SRP234505	missing	2019	United Kingdom	Europe	United Kingdom	Metagenome or environmental	missing	Corvus corone	CR20
SRR10580058	AMPLICON	501	2438675	PRJNA593220	SAMN13472578	1183233	UNIVERSITY OF SALFORD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7260828	Illumina MiSeq	CR18bac	PAIRED	PCR	GENOMIC	gut_metagenome	ILLUMINA	2021-01-01T00:00:00Z	CR18bac	SRP234505	missing	2019	United Kingdom	Europe	United Kingdom	Metagenome or environmental	missing	Corvus corone	CR18
SRR10580059	AMPLICON	501	58153	PRJNA593220	SAMN13472577	110603	UNIVERSITY OF SALFORD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7260827	Illumina MiSeq	CR17bac	PAIRED	PCR	GENOMIC	gut_metagenome	ILLUMINA	2021-01-01T00:00:00Z	CR17bac	SRP234505	missing	2019	United Kingdom	Europe	United Kingdom	Metagenome or environmental	missing	Corvus corone	CR17
SRR10580060	AMPLICON	501	59655	PRJNA593220	SAMN13472576	115081	UNIVERSITY OF SALFORD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7260826	Illumina MiSeq	CR16bac	PAIRED	PCR	GENOMIC	gut_metagenome	ILLUMINA	2021-01-01T00:00:00Z	CR16bac	SRP234505	missing	2019	United Kingdom	Europe	United Kingdom	Metagenome or environmental	missing	Corvus corone	CR16
SRR10580062	AMPLICON	501	275895	PRJNA593220	SAMN13472575	218914	UNIVERSITY OF SALFORD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7260824	Illumina MiSeq	CR14bac	PAIRED	PCR	GENOMIC	gut_metagenome	ILLUMINA	2021-01-01T00:00:00Z	CR14bac	SRP234505	missing	2019	United Kingdom	Europe	United Kingdom	Metagenome or environmental	missing	Corvus corone	CR14
