BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	ENA_CHECKLIST	dangling_references (run)
PRJEB12616	ERR1254817	WGS	200	52436276000	SAMEA3868732	22004533879	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326426	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868732	ERP014108	missing	ERS1055866	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:06Z	public	ERS1055866	Collared Flycatcher	BL17541	AGTO02	ERC000011	treat_as_unmapped
PRJEB12616	ERR1254818	WGS	200	50989817600	SAMEA3868733	21188058105	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326427	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868733	ERP014108	missing	ERS1055867	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:07Z	public	ERS1055867	Collared Flycatcher	BY76118	AGTO02	ERC000011	treat_as_unmapped
PRJEB12616	ERR1254819	WGS	200	46550048400	SAMEA3868734	19460865290	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326428	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868734	ERP014108	missing	ERS1055868	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:07Z	public	ERS1055868	Collared Flycatcher	CA91682	AGTO02	ERC000011	treat_as_unmapped
PRJEB12616	ERR1254820	WGS	200	50818756000	SAMEA3868735	21493693958	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326429	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868735	ERP014108	missing	ERS1055869	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:07Z	public	ERS1055869	Collared Flycatcher	CJ23664	AGTO02	ERC000011	treat_as_unmapped
PRJEB12616	ERR1254821	WGS	200	51129379800	SAMEA3868736	21495050488	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326430	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868736	ERP014108	missing	ERS1055870	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:07Z	public	ERS1055870	Collared Flycatcher	CJ23960	AGTO02	ERC000011	treat_as_unmapped
PRJEB12616	ERR1254822	WGS	200	51546407800	SAMEA3868737	21146724489	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326431	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868737	ERP014108	missing	ERS1055871	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:07Z	public	ERS1055871	Collared Flycatcher	CL74312	AGTO02	ERC000011	treat_as_unmapped
PRJEB12616	ERR1254824	WGS	200	44324405400	SAMEA3868739	18336476300	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326433	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868739	ERP014108	missing	ERS1055873	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:07Z	public	ERS1055873	Collared Flycatcher	CS38135	AGTO02	ERC000011	treat_as_unmapped
PRJEB12616	ERR1254825	WGS	200	52566132200	SAMEA3868740	22068255378	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326434	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868740	ERP014108	missing	ERS1055874	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:07Z	public	ERS1055874	Collared Flycatcher	CS38136	AGTO02	ERC000011	treat_as_unmapped
PRJEB12616	ERR1254826	WGS	200	53973333800	SAMEA3868741	22238606344	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326435	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868741	ERP014108	missing	ERS1055875	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:07Z	public	ERS1055875	Collared Flycatcher	CS38137	AGTO02	ERC000011	treat_as_unmapped
PRJEB12616	ERR1254827	WGS	200	54535956800	SAMEA3868742	22544865697	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326436	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868742	ERP014108	missing	ERS1055876	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:07Z	public	ERS1055876	Collared Flycatcher	CS38139	AGTO02	ERC000011	treat_as_unmapped
PRJEB12616	ERR1254823	WGS	200	50423624800	SAMEA3868738	21104467608	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1326432	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2016-04-26T00:00:00Z	SAMEA3868738	ERP014108	missing	ERS1055872	2016-04-25	2018-11-16	UPPSALA UNIVERISTY	2016-04-25T17:01:41Z	2016-02-10T09:15:07Z	public	ERS1055872	Collared Flycatcher	CS38134	AGTO02	ERC000011	treat_as_unmapped
