BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Isolate	Ecotype	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Sample_Name	Strain	Breed	Cultivar	Submitter_Id	project_name	isol_growth_condt	estimated_size	num_replicons	ploidy	propagation	ref_biomaterial	env_biome	env_feature	env_material	PHENOTYPE	Individual
PRJDB9016	DRR198837	WGS	302	7983540328	SAMD00195033	3398126065	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189254	HiSeq X Ten	library_SAMD00195033	PAIRED	RANDOM	GENOMIC	Gasterosteus_nipponicus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195033	DRP006468	MIGS.eu	missing	missing	missing	missing	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_05	missing	NA	missing	NA	Whole genome re-sequences of Japanese Tokotan stickleback populations	missing	missing	missing	missing	missing	missing	missing	missing	missing	NA	NA
PRJDB9016	DRR198839	WGS	302	6904097500	SAMD00195035	2916344309	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189256	HiSeq X Ten	library_SAMD00195035	PAIRED	RANDOM	GENOMIC	Gasterosteus_nipponicus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195035	DRP006468	MIGS.eu	missing	missing	missing	missing	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_07	missing	NA	missing	NA	Whole genome re-sequences of Japanese Tokotan stickleback populations	missing	missing	missing	missing	missing	missing	missing	missing	missing	NA	NA
PRJDB9016	DRR198844	WGS	302	7120601300	SAMD00195040	2980463585	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189261	HiSeq X Ten	library_SAMD00195040	PAIRED	RANDOM	GENOMIC	Gasterosteus_nipponicus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195040	DRP006468	MIGS.eu	missing	missing	missing	missing	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_16	missing	NA	missing	NA	Whole genome re-sequences of Japanese Tokotan stickleback populations	missing	missing	missing	missing	missing	missing	missing	missing	missing	NA	NA
PRJDB9016	DRR198846	WGS	302	9680703620	SAMD00195042	3948548519	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189263	HiSeq X Ten	library_SAMD00195042	PAIRED	RANDOM	GENOMIC	Gasterosteus_nipponicus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195042	DRP006468	MIGS.eu	missing	missing	missing	missing	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_20	missing	NA	missing	NA	Whole genome re-sequences of Japanese Tokotan stickleback populations	missing	missing	missing	missing	missing	missing	missing	missing	missing	NA	NA
PRJDB9016	DRR198834	WGS	302	6575572840	SAMD00195030	2763150158	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189251	HiSeq X Ten	library_SAMD00195030	PAIRED	RANDOM	GENOMIC	Gasterosteus_nipponicus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195030	DRP006468	MIGS.eu	missing	missing	missing	missing	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_02	missing	NA	missing	NA	Whole genome re-sequences of Japanese Tokotan stickleback populations	missing	missing	missing	missing	missing	missing	missing	missing	missing	NA	NA
PRJDB9016	DRR198840	WGS	302	7543669174	SAMD00195036	3255263849	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189257	HiSeq X Ten	library_SAMD00195036	PAIRED	RANDOM	GENOMIC	Gasterosteus_nipponicus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195036	DRP006468	MIGS.eu	missing	missing	missing	missing	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_08	missing	NA	missing	NA	Whole genome re-sequences of Japanese Tokotan stickleback populations	missing	missing	missing	missing	missing	missing	missing	missing	missing	NA	NA
PRJDB9016	DRR198843	WGS	302	7298620032	SAMD00195039	3061732054	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189260	HiSeq X Ten	library_SAMD00195039	PAIRED	RANDOM	GENOMIC	Gasterosteus_nipponicus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195039	DRP006468	MIGS.eu	missing	missing	missing	missing	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_14	missing	NA	missing	NA	Whole genome re-sequences of Japanese Tokotan stickleback populations	missing	missing	missing	missing	missing	missing	missing	missing	missing	NA	NA
PRJDB9016	DRR198845	WGS	302	7485585212	SAMD00195041	3087101517	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189262	HiSeq X Ten	library_SAMD00195041	PAIRED	RANDOM	GENOMIC	Gasterosteus_nipponicus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195041	DRP006468	MIGS.eu	missing	missing	missing	missing	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_17	missing	NA	missing	NA	Whole genome re-sequences of Japanese Tokotan stickleback populations	missing	missing	missing	missing	missing	missing	missing	missing	missing	NA	NA
PRJDB9016	DRR198850	WGS	302	4891646208	SAMD00195046	1989352164	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189267	HiSeq X Ten	library_SAMD00195046	PAIRED	RANDOM	GENOMIC	Gasterosteus_nipponicus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195046	DRP006468	MIGS.eu	missing	missing	missing	missing	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_27	missing	NA	missing	NA	Whole genome re-sequences of Japanese Tokotan stickleback populations	missing	missing	missing	missing	missing	missing	missing	missing	missing	NA	NA
PRJDB9016	DRR198852	WGS	302	7505142732	SAMD00195048	2964335880	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189269	HiSeq X Ten	library_SAMD00195048	PAIRED	RANDOM	GENOMIC	Gasterosteus_nipponicus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195048	DRP006468	MIGS.eu	missing	missing	missing	missing	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_30	missing	NA	missing	NA	Whole genome re-sequences of Japanese Tokotan stickleback populations	missing	missing	missing	missing	missing	missing	missing	missing	missing	NA	NA
