BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	lat_lon	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	geographic_location_(country_and/or_sea)	tissue_type	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST
PRJEB5198	ERR407002	WGS	35	2772272688	SAMEA2338557	1443280718	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373363	Illumina HiSeq 2000	NG-5241_4kb.BS10	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA2338557	ERP004574	female	May-2010	Germany	Europe	54.156003 N 10.430144 E	ERS391873	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391873	BS10 Lake Three-spined stickleback	BS10	BS10 Three-spined stickleback caught during May 2010 in Grosser Ploener See at Schleswig-Holstein\, Germany (54°9'21.61N\,10°25'48.52E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high ...	ERC000011
PRJEB5198	ERR407003	WGS	79	3094356848	SAMEA2338582	1782737187	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373364	Illumina HiSeq 2000	NG-5241_4kb.BS11	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA2338582	ERP004574	female	May-2010	Germany	Europe	54.204189 N 10.561639 E	ERS391886	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391886	BS11 River Three-spined stickleback	BS11	BS11 Three-spined stickleback caught during May 2010 in Malenter Au at Schleswig-Holstein\, Germany (54°12'15.08N\,10°33'41.90E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecul...	ERC000011
PRJEB5198	ERR407004	WGS	79	3280471596	SAMEA2338545	1929281859	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373365	Illumina HiSeq 2000	NG-5241_4kb.BS12	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338545	ERP004574	male	May-2010	Germany	Europe	54.156003 N 10.430144 E	ERS391874	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391874	BS12 Lake Three-spined stickleback	BS12	BS12 Three-spined stickleback caught during May 2010 in Grosser Ploener See at Schleswig-Holstein\, Germany (54°9'21.61N\,10°25'48.52E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high ...	ERC000011
PRJEB5198	ERR407006	WGS	35	2588560200	SAMEA2338575	1568350177	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373367	Illumina HiSeq 2000	NG-5241_4kb.BS14	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA2338575	ERP004574	female	May-2010	Germany	Europe	54.283867 N 9.948808 E	ERS391917	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:58Z	public	ERS391917	BS14 Lake Three-spined stickleback	BS14	BS14 Three-spined stickleback caught during May 2010 in Westensee at Schleswig-Holstein\, Germany (54°17'1.92N\,9°56'55.71E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecular w...	ERC000011
PRJEB5198	ERR407007	WGS	35	2682224780	SAMEA2338595	1648504465	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373368	Illumina HiSeq 2000	NG-5241_4kb.BS15	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA2338595	ERP004574	female	May-2010	Germany	Europe	54.263617 N 10.040131 E	ERS391864	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:47Z	public	ERS391864	BS15 River Three-spined stickleback	BS15	BS15 Three-spined stickleback caught during May 2010 in Eider at Schleswig-Holstein\, Germany (54°15'49.02N\,10°2'24.47E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecular weig...	ERC000011
PRJEB5198	ERR407009	WGS	35	2925455820	SAMEA2338584	1934583721	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373370	Illumina HiSeq 2000	NG-5241_4kb.BS17	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338584	ERP004574	male	May-2010	Germany	Europe	54.263617 N 10.040131 E	ERS391865	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:47Z	public	ERS391865	BS17 River Three-spined stickleback	BS17	BS17 Three-spined stickleback caught during May 2010 in Eider at Schleswig-Holstein\, Germany (54°15'49.02N\,10°2'24.47E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecular weig...	ERC000011
PRJEB5198	ERR407010	WGS	71	2903370712	SAMEA2338541	1640715133	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373371	Illumina HiSeq 2000	NG-5241_4kb.BS18	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA2338541	ERP004574	male	May-2010	Germany	Europe	54.283867 N 9.948808 E	ERS391919	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:59Z	public	ERS391919	BS18 Lake Three-spined stickleback	BS18	BS18 Three-spined stickleback caught during May 2010 in Westensee at Schleswig-Holstein\, Germany (54°17'1.92N\,9°56'55.71E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecular w...	ERC000011
PRJEB5198	ERR407011	WGS	71	2741509108	SAMEA2338539	1491291570	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373372	Illumina HiSeq 2000	NG-5241_4kb.BS19	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA2338539	ERP004574	female	May-2010	Germany	Europe	54.263617 N 10.040131 E	ERS391866	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:47Z	public	ERS391866	BS19 River Three-spined stickleback	BS19	BS19 Three-spined stickleback caught during May 2010 in Eider at Schleswig-Holstein\, Germany (54°15'49.02N\,10°2'24.47E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecular weig...	ERC000011
PRJEB5198	ERR407012	WGS	35	2594034930	SAMEA2338587	1341094576	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373373	Illumina HiSeq 2000	NG-5241_4kb.BS1	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA2338587	ERP004574	female	May-2010	Germany	Europe	54.204189 N 10.561639 E	ERS391881	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391881	BS1 River Three-spined stickleback	BS1	BS1 Three-spined stickleback caught during May 2010 in Malenter Au at Schleswig-Holstein\, Germany (54°12'15.08N\,10°33'41.90E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecula...	ERC000011
PRJEB5198	ERR407013	WGS	71	2743403810	SAMEA2338592	1501175097	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373374	Illumina HiSeq 2000	NG-5241_4kb.BS20	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338592	ERP004574	female	May-2010	Germany	Europe	54.283867 N 9.948808 E	ERS391920	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:59Z	public	ERS391920	BS20 Lake Three-spined stickleback	BS20	BS20 Three-spined stickleback caught during May 2010 in Westensee at Schleswig-Holstein\, Germany (54°17'1.92N\,9°56'55.71E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecular w...	ERC000011
