Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,sex,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,sub_species,Isolate,BioSampleModel,strain,body_site,Label,pathovar,sample_name,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,Age,common_name,BIOMATERIAL_PROVIDER,Cultivar,BREED,lat_lon,tissue,collected_by,Host,tissue_type,Isolation_source,geographic_location_(region_and_locality),Host_disease,geographic_location_(country_and/or_sea),project_name,Individual,passage_history,sample_type,host_description,host_disease_stage,host_tissue_sampled,host_health_state,host_scientific_name,COUNTRY,source_material_ID,actual_read_length (run),center_name (exp),env_biome,env_feature,env_material,environment_(biome),environment_(feature),environment_(material),geographic_location_(latitude),geographic_location_(longitude),Investigation_type,isol_growth_condt,num_replicons,Run (run),sequencing_method,total_bases (run),ref_biomaterial,host-associated_environmental_package,serovar,dev_stage,env_broad_scale,env_local_scale,env_medium,estimated_size,human_gut_environmental_package,locus_tag_prefix,Genotype,Ecotype,ENA_duplicate,store_cond,AssemblyName,attribute_package,biotic_relationship,dangling_references (run),health_disease_stat,host_species,IFSAC+_Category,isolate_name_alias,lab_host,nat-host,ontological_term,pathogenicity,pathotype,ploidy,propagation,provider,samp_collect_device,samp_mat_process,sample_accession (run),sample_same_as,serotype,Source_code,source_type,specific_host,specimen_category,specimen_voucher,trophic_level,uFORGE_Sample_ID,Warwick_ST
DRR106828,WGS,297,501239500,PRJDB6430,SAMD00097412,199943311,NIID,public,"realign,sra,wgmlst_sig","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",DRX099917,NextSeq 500,str_L-3039_S1-PFGE-fragment_chromosome,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2017-12-21T00:00:00Z,SAMD00097412,DRP003944,,1998,Japan,Asia,Japan,enterica,,MIGS.ba,L-3039,,,,L-3039,,,,,,,,,,,,,,,,,missing,,,Corvus,,,,,,Whole genome sequencing of Salmonella enterica serovar Typhimurium and its monophasic variant isolated from food animals in Japan,,,,,,,,,,,,,missing,missing,missing,,,,,,,missing,missing,,,,missing,,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR106829,WGS,261,14262973,PRJDB6430,SAMD00097412,5653888,NIID,public,"realign,sra,wgmlst_sig","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",DRX099918,NextSeq 500,str_L-3039_S1-PFGE-fragment_plasmid1,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2017-12-21T00:00:00Z,SAMD00097412,DRP003944,,1998,Japan,Asia,Japan,enterica,,MIGS.ba,L-3039,,,,L-3039,,,,,,,,,,,,,,,,,missing,,,Corvus,,,,,,Whole genome sequencing of Salmonella enterica serovar Typhimurium and its monophasic variant isolated from food animals in Japan,,,,,,,,,,,,,missing,missing,missing,,,,,,,missing,missing,,,,missing,,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR106830,WGS,272,29145171,PRJDB6430,SAMD00097412,11484412,NIID,public,"realign,sra,wgmlst_sig","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",DRX099919,NextSeq 500,str_L-3039_S1-PFGE-fragment_plasmid2,PAIRED,RANDOM,GENOMIC,Salmonella enterica subsp. enterica serovar Typhimurium,ILLUMINA,2017-12-21T00:00:00Z,SAMD00097412,DRP003944,,1998,Japan,Asia,Japan,enterica,,MIGS.ba,L-3039,,,,L-3039,,,,,,,,,,,,,,,,,missing,,,Corvus,,,,,,Whole genome sequencing of Salmonella enterica serovar Typhimurium and its monophasic variant isolated from food animals in Japan,,,,,,,,,,,,,missing,missing,missing,,,,,,,missing,missing,,,,missing,,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR106872,WGS,278,1178059953,PRJDB6430,SAMD00097433,464912879,NIID,public,"realign,sra,wgmlst_sig","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",DRX099961,NextSeq 500,str_L-3783_S1-PFGE-fragment_chromosome,PAIRED,RANDOM,GENOMIC,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",ILLUMINA,2017-12-21T00:00:00Z,SAMD00097433,DRP003944,,2000,Japan,Asia,Japan,enterica,,MIGS.ba,L-3783,,,,L-3783,,,,,,,,,,,,,,,,,missing,,,Corvus,,,,,,Whole genome sequencing of Salmonella enterica serovar Typhimurium and its monophasic variant isolated from food animals in Japan,,,,,,,,,,,,,missing,missing,missing,,,,,,,missing,missing,,,,missing,,"4\,[5]\,12:i:-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR106873,WGS,284,31224493,PRJDB6430,SAMD00097433,12489665,NIID,public,"realign,sra,wgmlst_sig","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",DRX099962,NextSeq 500,str_L-3783_S1-PFGE-fragment_plasmid1,PAIRED,RANDOM,GENOMIC,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",ILLUMINA,2017-12-21T00:00:00Z,SAMD00097433,DRP003944,,2000,Japan,Asia,Japan,enterica,,MIGS.ba,L-3783,,,,L-3783,,,,,,,,,,,,,,,,,missing,,,Corvus,,,,,,Whole genome sequencing of Salmonella enterica serovar Typhimurium and its monophasic variant isolated from food animals in Japan,,,,,,,,,,,,,missing,missing,missing,,,,,,,missing,missing,,,,missing,,"4\,[5]\,12:i:-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR106874,WGS,286,32173222,PRJDB6430,SAMD00097433,12874187,NIID,public,"realign,sra,wgmlst_sig","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",DRX099963,NextSeq 500,str_L-3783_S1-PFGE-fragment_plasmid2,PAIRED,RANDOM,GENOMIC,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",ILLUMINA,2017-12-21T00:00:00Z,SAMD00097433,DRP003944,,2000,Japan,Asia,Japan,enterica,,MIGS.ba,L-3783,,,,L-3783,,,,,,,,,,,,,,,,,missing,,,Corvus,,,,,,Whole genome sequencing of Salmonella enterica serovar Typhimurium and its monophasic variant isolated from food animals in Japan,,,,,,,,,,,,,missing,missing,missing,,,,,,,missing,missing,,,,missing,,"4\,[5]\,12:i:-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3218230,WGS,100,1074386200,PRJNA257008,SAMN04328131,593964296,CBIO INC,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1625497,Illumina HiSeq 1500,WNV005-LIB-1,PAIRED,RANDOM,GENOMIC,West Nile virus,ILLUMINA,2017-03-10T00:00:00Z,WNV005,SRP052870,,2003-05-30,Mexico,North America,"Mexico: Tabasco\, Zoo",,Not applicable,Pathogen.cl,TM 171-03,,,,,,,,,,,,,,,,,,,,,Missing,,Missing,,,Bird (raven),,West Nile fever,,,,"SM+?, V+3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C6/36 cells,,,,,,,Missing,,,,,,,,Corvus sp.,Host-associated pathogen,,,WNV005,
SRR863646,WGS,200,4920106000,PRJNA192205,SAMN02143031,3564738147,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866511,WGS,200,5019437600,PRJNA192205,SAMN02143031,3752541918,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866513,WGS,200,3394916800,PRJNA192205,SAMN02143031,2495374501,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
