Order,species,link to sample sheet,notes,paper,cov_params,Clade,mapped_genome,genome_annotated,Ingroup or Outgroup,Notes,Available_Outgroups,Old_Outgroups,On_NCBI,Outgroup Pub
15,Anas platyrhynchos,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv),-,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6050300/),low coverage (coverage range 7.5x-18x),Bird,Anas_platyrhynchos,Yes,Ingroup,"Sufficient samples, but from duck farm",,,Anas_poecilorhyncha,https://doi.org/10.1093/gigascience/giab081
24,Athene cunicularia,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Athene_cunicularia_sample_metadata.csv),changed ref dir to Genbank accession (GCA_003259725.1) for consistency with old run,[doi](https://doi.org/10.1098/rspb.2018.0206),"high coverage (median 17x, range 8.5x-42x)",Bird,Athene_cunicularia,Yes,Ingroup,,,,Glaucidium_brasilianum (GCA_013399595.1),https://pubmed.ncbi.nlm.nih.gov/33177665/
72,Corvus cornix cornix,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Corvus_cornix_cornix_sample_metadata.csv),add samples from PRJEB9057,[Pubmed](https://pubmed.ncbi.nlm.nih.gov/24948738/); [PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/),run with low coverage,Bird,Corvus_cornix_cornix,Yes,Ingroup,,"Coloeus monedula, Corvus corone corone, Corvus frugilegus, Corvus_brachyrhynchos",,,
31,Coturnix japonica,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Coturnix_japonica_sample_metadata.csv),-,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5961004/),high coverage (min 15x coverage of wild samples),Bird,Coturnix_japonica,Yes,Ingroup,,,,Phasianus_colchicus,
35,Egretta garzetta,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Egretta_garzetta_sample_metadata.csv),-,[paper](https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1),high coverage (coverage approx 20x),Bird,Egretta_garzetta,Yes,Ingroup,Only 5 individuals,,,Cochlearius_cochlearius,https://pubmed.ncbi.nlm.nih.gov/33177665/
37,Falco peregrinus,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Falco_peregrinus_sample_metadata.csv),-,[paper](https://www.nature.com/articles/s41586-021-03265-0),high coverage (~55x per individual),Bird,Falco_peregrinus,Yes,Ingroup,,,,Falco_cherrug,https://pubmed.ncbi.nlm.nih.gov/33177665/
79,Ficedula albicollis,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Ficedula_albicollis_sample_metadata.csv),-,ADD,ADD,Bird,Ficedula_albicollis,Yes,Ingroup,,"Ficedula hyperythra, Ficedula hypolecua, Ficedula parva, Ficedula semitorquata, Ficedula speculigera",,,
49,Nipponia nippon,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Nipponia_nippon_sample_metadata.csv),,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290368/),high coverage (coverage approx 20x),Bird,Nipponia_nippon,Yes,Ingroup,8 individuals,,,Mesembrinibis_cayennensis,https://pubmed.ncbi.nlm.nih.gov/33177665/
51,Parus major,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Parus_major_sample_metadata.csv),,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585896/); [PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737754/),low coverage (10x average),Bird,Parus_major,Yes,Ingroup,,,Cyanistes_cyanus,,In house
83,Taeniopygia guttata,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Taeniopygia_guttata_sample_metadata.csv),,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864528/),high coverage (>20x typical),Bird,Taeniopygia_guttata,Yes,Ingroup,,"Poephila acuticauda, Taeniopygia bichenovii",,,
16,Anguilla anguilla,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Anguilla_anguilla_sample_metadata.csv),all of genus in one run,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7848574/),"low coverage (""low coverage approach"" in methods)",Fish,Anguilla_anguilla,Yes,Ingroup,,Anguilla rostrata,,,
20,Astatotilapia calliptera,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Astatotilapia_calliptera_sample_metadata.csv),all of genus in one run,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6443041/); [PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4700518/),low coverage (mix of 6x and 15x samples),Fish,Astatotilapia_calliptera,Yes,Ingroup,,Astatotilapia spp,,,
77,Astyanax mexicanus,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Astyanax_mexicanus_sample_metadata.csv),-,ADD,ADD,Fish,Astyanax_mexicanus,Yes,Ingroup,,"Astyanax aeneus, Gymnocorymbus ternetzi",,,
