BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	AGE	Ecotype	birth_location
PRJNA616371	SRR11451639	WGS	299	29376800611	SAMN14488541	13712596070	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029515	NextSeq 500	9380_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9380	SRP254615	Model organism or animal	male	blood	9380	after hatch year	med dist SE	Poland
PRJNA616371	SRR11451642	WGS	299	25742791070	SAMN14488539	11957525468	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029512	NextSeq 500	9357_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9357	SRP254615	Model organism or animal	male	blood	9357	after hatch year	med dist SE	Poland
PRJNA616371	SRR11451643	WGS	299	26989395241	SAMN14488538	12747545672	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029511	NextSeq 500	8201_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	8201	SRP254615	Model organism or animal	male	blood	8201	after hatch year	med dist SE	Austria
PRJNA616371	SRR11451644	WGS	296	25311687752	SAMN14488537	12102519037	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029510	NextSeq 500	UCM052_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM052	SRP254615	Model organism or animal	male	blood	UCM052	after hatch year	med dist SW	Belgium
PRJNA616371	SRR11451645	WGS	297	25958497013	SAMN14488536	12041340875	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029509	NextSeq 500	UCM063_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM063	SRP254615	Model organism or animal	male	blood	UCM063	after hatch year	med dist SW	Belgium
PRJNA616371	SRR11451646	WGS	299	23110272351	SAMN14488535	10402970857	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029508	NextSeq 500	UCM061_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM061	SRP254615	Model organism or animal	male	blood	UCM061	after hatch year	med dist SW	Belgium
PRJNA616371	SRR11451647	WGS	297	26189968951	SAMN14488534	12300539428	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029507	NextSeq 500	UCM060_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM060	SRP254615	Model organism or animal	male	blood	UCM060	after hatch year	med dist SW	Belgium
PRJNA616371	SRR11451648	WGS	297	23998856491	SAMN14488533	11012170261	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029506	NextSeq 500	UCM059_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM059	SRP254615	Model organism or animal	male	blood	UCM059	after hatch year	med dist SW	Belgium
PRJNA616371	SRR11451649	WGS	298	25406580847	SAMN14488532	11666211472	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029505	NextSeq 500	UCM057_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM057	SRP254615	Model organism or animal	male	blood	UCM057	after hatch year	med dist SW	Belgium
PRJNA616371	SRR11451650	WGS	298	27779822531	SAMN14488531	12773948204	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029504	NextSeq 500	UCM056_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM056	SRP254615	Model organism or animal	male	blood	UCM056	after hatch year	med dist SW	Belgium
