BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	AGE	Ecotype	use_species
PRJNA422339	SRR6384181	WGS	200	7000000000	SAMN13381277	2981301770	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477976	Illumina HiSeq 2500	wHAXPI033920-24	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample69	SRP126917	Model organism or animal	not determined	sketetal muscle	sample69	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km	1
PRJNA422339	SRR6384182	WGS	200	7000000000	SAMN13381278	3000546548	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477975	Illumina HiSeq 2500	wHAXPI033921-25	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample70	SRP126917	Model organism or animal	not determined	sketetal muscle	sample70	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km	1
PRJNA422339	SRR6384183	WGS	200	7000000000	SAMN13381271	2853912878	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477974	Illumina HiSeq 2500	wHAXPI033877-16	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample63	SRP126917	Model organism or animal	not determined	sketetal muscle	sample63	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km	1
PRJNA422339	SRR6384184	WGS	200	7000000000	SAMN13381272	2887950235	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477973	Illumina HiSeq 2500	wHAXPI033881-19	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample64	SRP126917	Model organism or animal	not determined	sketetal muscle	sample64	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km	1
PRJNA422339	SRR6384185	WGS	200	7000000000	SAMN13381269	2874020569	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477972	Illumina HiSeq 2500	wHAXPI033870-18	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample61	SRP126917	Model organism or animal	not determined	sketetal muscle	sample61	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km	1
PRJNA422339	SRR6384187	WGS	200	7000000000	SAMN13381275	2715378184	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477970	Illumina HiSeq 2500	wHAXPI033918-22	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample67	SRP126917	Model organism or animal	not determined	sketetal muscle	sample67	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km	1
PRJNA422339	SRR6384188	WGS	200	7000000000	SAMN13381276	2972852621	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477969	Illumina HiSeq 2500	wHAXPI033919-23	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample68	SRP126917	Model organism or animal	not determined	sketetal muscle	sample68	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km	1
PRJNA422339	SRR6384189	WGS	200	7000000000	SAMN13381273	2871056817	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477968	Illumina HiSeq 2500	wHAXPI033916-20	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample65	SRP126917	Model organism or animal	not determined	sketetal muscle	sample65	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km	1
PRJNA422339	SRR6384190	WGS	200	7000000000	SAMN13381274	2871986568	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477967	Illumina HiSeq 2500	wHAXPI033917-21	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample66	SRP126917	Model organism or animal	not determined	sketetal muscle	sample66	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km	1
PRJNA422339	SRR6384193	WGS	200	7000000000	SAMN13381304	2883328679	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477964	Illumina HiSeq 2500	wHAXPI033976-74	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample96	SRP126917	Model organism or animal	not determined	sketetal muscle	sample96	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km	1
