BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Isolate	COUNTRY
PRJNA89149	SRR1263954	WGS	200	10915821000	SAMN02736898	7289404528	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX528040	Illumina HiSeq 2000	2893834950	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-25T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1263955	WGS	200	12522753000	SAMN02736898	8267836237	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX528041	Illumina HiSeq 2000	2893834951	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-25T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1263985	WGS	200	22644067800	SAMN02736898	14403215642	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX528039	Illumina HiSeq 2000	2893767192	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-26T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1261315	WGS	200	2264619600	SAMN02736898	1365547380	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526472	Illumina HiSeq 2000	2890827770	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-24T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1261346	WGS	200	2381338600	SAMN02736898	1437726965	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526471	Illumina HiSeq 2000	2890827771	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-24T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1261556	WGS	200	8694402200	SAMN02736898	5850859918	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526473	Illumina HiSeq 2000	2891075861	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-24T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1261572	WGS	200	8172542000	SAMN02736898	5283205378	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526477	Illumina HiSeq 2000	2892973562	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-24T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1261600	WGS	200	11504843600	SAMN02736898	7906454768	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526476	Illumina HiSeq 2000	2892973563	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-24T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1261615	WGS	200	8225560600	SAMN02736898	5241873844	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526476	Illumina HiSeq 2000	2892973563	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-24T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1261616	WGS	200	8163170800	SAMN02736898	5185932902	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526475	Illumina HiSeq 2000	2893619273	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-24T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1261618	WGS	200	10989457600	SAMN02736898	7622416280	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526477	Illumina HiSeq 2000	2892973562	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-24T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1261820	WGS	200	11932103200	SAMN02736898	8210188908	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526475	Illumina HiSeq 2000	2893619273	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-24T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1262357	WGS	200	39410225200	SAMN02736898	27191806402	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526474	Illumina HiSeq 2000	2893588899	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-25T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1262386	WGS	200	35817183400	SAMN02736898	23246078387	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526471	Illumina HiSeq 2000	2890827771	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-25T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
PRJNA89149	SRR1262387	WGS	200	38039419200	SAMN02736898	24887644086	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX526472	Illumina HiSeq 2000	2890827770	PAIRED	unspecified	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2014-04-25T00:00:00Z	326069	SRP041360	female	N-32	USA: Navarre\, FL
