BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	Strain	use_species
PRJNA522329	SRR8586011	WGS	300	4984605000	SAMN10928600	1710093573	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386583	HiSeq X Ten	OO40	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO40	SRP186117	Model organism or animal	not determined	fin	adult	OO40	0
PRJNA522329	SRR8586021	WGS	300	6108749100	SAMN10928599	1975503208	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386573	HiSeq X Ten	OO39	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO39	SRP186117	Model organism or animal	not determined	fin	adult	OO39	0
PRJNA522329	SRR8586022	WGS	300	3826542000	SAMN10928598	1270657344	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386572	HiSeq X Ten	OO38	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO38	SRP186117	Model organism or animal	not determined	fin	adult	OO38	0
PRJNA522329	SRR8586023	WGS	300	4864729500	SAMN10928595	1591693639	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386571	HiSeq X Ten	OO34	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO34	SRP186117	Model organism or animal	not determined	fin	adult	OO34	0
PRJNA522329	SRR8586024	WGS	300	4067484300	SAMN10928594	1335729573	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386570	HiSeq X Ten	OO33	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO33	SRP186117	Model organism or animal	not determined	fin	adult	OO33	0
PRJNA522329	SRR8586025	WGS	300	3956404800	SAMN10928597	1298736491	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386569	HiSeq X Ten	OO37	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO37	SRP186117	Model organism or animal	not determined	fin	adult	OO37	0
PRJNA522329	SRR8586026	WGS	300	4640310000	SAMN10928596	1538297468	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386568	HiSeq X Ten	OO36	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO36	SRP186117	Model organism or animal	not determined	fin	adult	OO36	0
PRJNA522329	SRR8586027	WGS	300	3945477600	SAMN10928591	1306532600	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386567	HiSeq X Ten	OO28	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO28	SRP186117	Model organism or animal	not determined	fin	adult	OO28	0
PRJNA522329	SRR8586029	WGS	300	3859861500	SAMN10928593	1256665733	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386565	HiSeq X Ten	OO32	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO32	SRP186117	Model organism or animal	not determined	fin	adult	OO32	0
PRJNA522329	SRR8586030	WGS	300	4305796800	SAMN10928592	1403920633	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386564	HiSeq X Ten	OO30	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO30	SRP186117	Model organism or animal	not determined	fin	adult	OO30	0
