BioProject	Run	Assay Type	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	sub_species	use_species
PRJEB21643	ERR2029724	WGS	SAMEA104156767	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088781	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156767	ERP023915	missing	ERS1815785	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815785	Pcol13	Pcol13	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029725	WGS	SAMEA104156768	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088782	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156768	ERP023915	missing	ERS1815786	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:57:01Z	public	ERS1815786	Pcol14	PCol14	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029726	WGS	SAMEA104156769	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088783	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156769	ERP023915	missing	ERS1815787	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815787	Pcol15	Pcol15	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029727	WGS	SAMEA104156770	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088784	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156770	ERP023915	missing	ERS1815788	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815788	Pcol16	Pcol16	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029728	WGS	SAMEA104156771	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088785	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156771	ERP023915	missing	ERS1815789	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815789	Pcol17	Pcol17	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029729	WGS	SAMEA104156772	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088786	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156772	ERP023915	missing	ERS1815790	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815790	Pcol18	Pcol18	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029730	WGS	SAMEA104156773	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088787	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156773	ERP023915	missing	ERS1815791	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815791	Pcol19	Pcol19	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029731	WGS	SAMEA104156774	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088788	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156774	ERP023915	missing	ERS1815792	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815792	Pcol510	Pcol510	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029732	WGS	SAMEA104156776	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088789	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156776	ERP023915	missing	ERS1815794	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815794	Pcol704	Pcol704	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029733	WGS	SAMEA104156775	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088790	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156775	ERP023915	missing	ERS1815793	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815793	Pcol703	Pcol703	Tristis\, allopatry	ERC000011	tristis	1
