BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Ecotype	Biomaterial_provider	Collection_date	Replicate	use_species
PRJNA485198	SRR7662362	WGS	302	19130746586	SAMN09786233	9062210321	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523145	Illumina HiSeq 3000	KBE1	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBE1	SRP156808	Model organism or animal	male	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_4	0
PRJNA485198	SRR7662363	WGS	302	19519509978	SAMN09786232	9117991231	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523144	Illumina HiSeq 3000	KBD7	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBD7	SRP156808	Model organism or animal	male	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_3	0
PRJNA485198	SRR7662368	WGS	302	19588787872	SAMN09786231	9370957537	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523139	Illumina HiSeq 3000	KBD3	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBD3	SRP156808	Model organism or animal	male	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_2	0
PRJNA485198	SRR7662382	WGS	302	19571949258	SAMN09786240	8902540148	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523125	Illumina HiSeq 3000	KBH5	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBH5	SRP156808	Model organism or animal	female	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_11	0
PRJNA485198	SRR7662383	WGS	302	15560486882	SAMN09786241	7101622330	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523124	Illumina HiSeq 3000	KBH6	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBH6	SRP156808	Model organism or animal	female	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_12	0
PRJNA485198	SRR7662385	WGS	302	16365575998	SAMN09786239	7422273261	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523122	Illumina HiSeq 3000	KBH4	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBH4	SRP156808	Model organism or animal	female	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_10	0
PRJNA485198	SRR7662386	WGS	302	15169463624	SAMN09786236	6909680394	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523121	Illumina HiSeq 3000	KBG5	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBG5	SRP156808	Model organism or animal	female	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_7	0
PRJNA485198	SRR7662387	WGS	302	16902175336	SAMN09786237	8021588348	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523120	Illumina HiSeq 3000	KBG8	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBG8	SRP156808	Model organism or animal	male	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_8	0
PRJNA485198	SRR7662388	WGS	302	16314577862	SAMN09786234	7446996100	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523119	Illumina HiSeq 3000	KBE7	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBE7	SRP156808	Model organism or animal	male	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_5	0
PRJNA485198	SRR7662389	WGS	302	17017984182	SAMN09786235	7760098687	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523118	Illumina HiSeq 3000	KBE9	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBE9	SRP156808	Model organism or animal	female	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_6	0
