BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	ArrayExpress-SPECIES	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR702292	WGS	250	7041050250	SAMEA2661223	2547493576	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646555	Illumina HiSeq 2000	11649591	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661223	ERP002088	missing	ERS510437	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:22:37Z	public	ERS510437	Copadichromis virginalis	NA	Copadichromis_virginalis_2-sc-2016533	ERC000011	0
PRJEB1254	ERR702293	WGS	250	6762441000	SAMEA2661224	2444752964	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646556	Illumina HiSeq 2000	11649603	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661224	ERP002088	missing	ERS510438	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:36:12Z	public	ERS510438	Copadichromis virginalis	NA	Copadichromis_virginalis_3-sc-2016534	ERC000011	0
PRJEB1254	ERR702294	WGS	250	7128577000	SAMEA2661225	2578278208	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646557	Illumina HiSeq 2000	11649615	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661225	ERP002088	missing	ERS510439	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:30:58Z	public	ERS510439	Copadichromis virginalis	NA	Copadichromis_virginalis_4-sc-2016535	ERC000011	0
PRJEB1254	ERR702295	WGS	250	6613870000	SAMEA2661226	2399460586	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646558	Illumina HiSeq 2000	11649627	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661226	ERP002088	missing	ERS510440	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:22:37Z	public	ERS510440	Copadichromis virginalis	NA	Copadichromis_virginalis_5-sc-2016536	ERC000011	0
PRJEB1254	ERR715482	WGS	250	5427776750	SAMEA2661283	1850785715	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659404	Illumina HiSeq 2000	11649594	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661283	ERP002088	missing	ERS510497	2015-01-08	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-09T11:23:00Z	public	ERS510497	Copadichromis virginalis	NA	Copadichromis_virginalis_LM_1-sc-2016593	ERC000011	0
PRJEB1254	ERR715483	WGS	250	5496239000	SAMEA2661285	1869773032	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659405	Illumina HiSeq 2000	11649606	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661285	ERP002088	missing	ERS510499	2015-01-08	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-09T11:31:21Z	public	ERS510499	Copadichromis virginalis	NA	Copadichromis_virginalis_LM_3-sc-2016595	ERC000011	0
PRJEB1254	ERR299204	WGS	200	5561295800	SAMEA1904329	4011956200	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX272529	Illumina HiSeq 2000	6810990	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2013-06-19T00:00:00Z	SAMEA1904329	ERP002088	missing	ERS208887	2013-06-11	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2013-06-04T17:00:33Z	2018-03-09T10:07:39Z	public	ERS208887	Copadichromis virginalis	NA	Copadichromis_virginalis-sc-2013-01-28T12:01:27Z-1530732	NA	0
PRJEB1254	ERR299213	WGS	200	5551961400	SAMEA1904329	4004344679	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX272538	Illumina HiSeq 2000	6810990	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2013-06-19T00:00:00Z	SAMEA1904329	ERP002088	missing	ERS208887	2013-06-11	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2013-06-04T17:00:33Z	2018-03-09T10:07:39Z	public	ERS208887	Copadichromis virginalis	NA	Copadichromis_virginalis-sc-2013-01-28T12:01:27Z-1530732	NA	0
PRJEB1254	ERR295130	WGS	200	5404304000	SAMEA1904329	3795702566	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX268463	Illumina HiSeq 2000	6810990	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2013-06-10T00:00:00Z	SAMEA1904329	ERP002088	missing	ERS208887	2013-06-04	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2013-06-04T17:00:33Z	2018-03-09T10:07:39Z	public	ERS208887	Copadichromis virginalis	NA	Copadichromis_virginalis-sc-2013-01-28T12:01:27Z-1530732	NA	0
PRJEB15289	ERR1757754	WGS	302	33996432034	SAMEA4033323	14377428572	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1824774	HiSeq X Ten	DN461234K:H9	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2016-12-15T00:00:00Z	d8d760f0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-13	2018-11-16	2016-12-13	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Copadichromis virginalis	NA	NA	0
