BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	Sample_Type	Specimen_voucher	sub_species	use_species
PRJNA338167	SRR4011595	WGS	200	14699442200	SAMN05525316	9509623813	CALIFORNIA ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2007685	Illumina HiSeq 2000	Nextera350bp_1	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2017-08-31T00:00:00Z	Sequoia	SRP081093	Model organism or animal	female	blood	Sequoia	adult	USA	North America	USA: 260 Piedmont Road\, Larkspur\, Marin County\, California	WildCare	37.9296 N 122.54 W	blood	CAS:ORN:98821	caurina	1
PRJNA338167	SRR4011596	WGS	200	39660896800	SAMN05525316	26835359386	CALIFORNIA ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2007686	Illumina HiSeq 2000	Nextera350bp_2	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2017-08-31T00:00:00Z	Sequoia	SRP081093	Model organism or animal	female	blood	Sequoia	adult	USA	North America	USA: 260 Piedmont Road\, Larkspur\, Marin County\, California	WildCare	37.9296 N 122.54 W	blood	CAS:ORN:98821	caurina	1
PRJNA338167	SRR4011597	WGS	300	51378767100	SAMN05525316	23536553647	CALIFORNIA ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2007687	Illumina HiSeq 2500	Nextera700bp	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2017-08-31T00:00:00Z	Sequoia	SRP081093	Model organism or animal	female	blood	Sequoia	adult	USA	North America	USA: 260 Piedmont Road\, Larkspur\, Marin County\, California	WildCare	37.9296 N 122.54 W	blood	CAS:ORN:98821	caurina	1
PRJNA338167	SRR4011614	WGS	600	18823637734	SAMN05525316	11190878344	CALIFORNIA ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2007690	Illumina MiSeq	Nextera550bp	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2017-08-31T00:00:00Z	Sequoia	SRP081093	Model organism or animal	female	blood	Sequoia	adult	USA	North America	USA: 260 Piedmont Road\, Larkspur\, Marin County\, California	WildCare	37.9296 N 122.54 W	blood	CAS:ORN:98821	caurina	1
PRJNA338167	SRR4011615	WGS	600	5247796200	SAMN05525316	2871685521	CALIFORNIA ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2007691	Illumina MiSeq	noPCR550bp	PAIRED	RANDOM	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2017-08-31T00:00:00Z	Sequoia	SRP081093	Model organism or animal	female	blood	Sequoia	adult	USA	North America	USA: 260 Piedmont Road\, Larkspur\, Marin County\, California	WildCare	37.9296 N 122.54 W	blood	CAS:ORN:98821	caurina	1
PRJNA338167	SRR4011616	WGS	600	3063535200	SAMN05525316	1692550564	CALIFORNIA ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2007692	Illumina MiSeq	900bpPCR	PAIRED	RANDOM	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2017-08-31T00:00:00Z	Sequoia	SRP081093	Model organism or animal	female	blood	Sequoia	adult	USA	North America	USA: 260 Piedmont Road\, Larkspur\, Marin County\, California	WildCare	37.9296 N 122.54 W	blood	CAS:ORN:98821	caurina	1
PRJNA338167	SRR4011617	WGS	600	3818794800	SAMN05525316	1995710998	CALIFORNIA ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2007693	Illumina MiSeq	Hydroshear	PAIRED	RANDOM	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2017-08-31T00:00:00Z	Sequoia	SRP081093	Model organism or animal	female	blood	Sequoia	adult	USA	North America	USA: 260 Piedmont Road\, Larkspur\, Marin County\, California	WildCare	37.9296 N 122.54 W	blood	CAS:ORN:98821	caurina	1
PRJNA338167	SRR4011618	WGS	202	11765173668	SAMN05525316	7286224428	CALIFORNIA ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2007694	Illumina HiSeq 2000	MP4kb	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2017-08-31T00:00:00Z	Sequoia	SRP081093	Model organism or animal	female	blood	Sequoia	adult	USA	North America	USA: 260 Piedmont Road\, Larkspur\, Marin County\, California	WildCare	37.9296 N 122.54 W	blood	CAS:ORN:98821	caurina	1
PRJNA338167	SRR4011619	WGS	202	12723455002	SAMN05525316	7789476439	CALIFORNIA ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2007695	Illumina HiSeq 2000	MP7kb	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2017-08-31T00:00:00Z	Sequoia	SRP081093	Model organism or animal	female	blood	Sequoia	adult	USA	North America	USA: 260 Piedmont Road\, Larkspur\, Marin County\, California	WildCare	37.9296 N 122.54 W	blood	CAS:ORN:98821	caurina	1
PRJNA338167	SRR4011620	WGS	202	12292290648	SAMN05525316	7462107974	CALIFORNIA ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2007696	Illumina HiSeq 2000	MP11kb	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2017-08-31T00:00:00Z	Sequoia	SRP081093	Model organism or animal	female	blood	Sequoia	adult	USA	North America	USA: 260 Piedmont Road\, Larkspur\, Marin County\, California	WildCare	37.9296 N 122.54 W	blood	CAS:ORN:98821	caurina	1
