BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Biomaterial_provider	Collection_date	Sample_Type	Strain	Breed	Cultivar	Sample_code	use_species
PRJNA356817	SRR5097357	WGS	250	61039586750	SAMN06127792	22232118580	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414167	Illumina HiSeq 2500	ABPO4	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO4	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	ABPO41	not applicable	not applicable	NA	1
PRJNA356817	SRR5097358	WGS	250	53940488750	SAMN06127786	19050235875	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414168	Illumina HiSeq 2500	AAPO6	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO6	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	AAPO61	not applicable	not applicable	NA	1
PRJNA356817	SRR5097359	WGS	250	56172938250	SAMN06127785	20000272561	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414169	Illumina HiSeq 2500	AAPO5	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO5	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	AAPO51	not applicable	not applicable	NA	1
PRJNA356817	SRR5097360	WGS	250	57649590000	SAMN06127781	20833252183	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414170	Illumina HiSeq 2500	AAPO1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO1	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	AAPO11	not applicable	not applicable	NA	1
PRJNA356817	SRR5097361	WGS	250	41284697250	SAMN06127783	14158693431	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414171	Illumina HiSeq 2500	AAPO3	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO3	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	AAPO31	not applicable	not applicable	NA	1
PRJNA356817	SRR5097362	WGS	250	55323811250	SAMN06127793	19541203835	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414172	Illumina HiSeq 2500	ABPO5	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO5	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	ABPO51	not applicable	not applicable	NA	1
PRJNA356817	SRR5097363	WGS	250	67063320250	SAMN06127789	25004941305	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414173	Illumina HiSeq 2500	ABPO1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO1	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	ABPO11	not applicable	not applicable	NA	1
PRJNA356817	SRR5097364	WGS	250	63386930500	SAMN06127787	23175733727	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414174	Illumina HiSeq 2500	ABPM	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPM	SRP094895	Model organism or animal	male	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	ABPM1	not applicable	not applicable	NA	1
PRJNA356817	SRR5097366	WGS	250	53902165000	SAMN06127790	19079884081	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414176	Illumina HiSeq 2500	ABPO2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO2	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	ABPO21	not applicable	not applicable	NA	1
PRJNA356817	SRR5097367	WGS	250	55642701250	SAMN06127794	19950594302	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414177	Illumina HiSeq 2500	ABPO6	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO6	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	ABPO61	not applicable	not applicable	NA	1
