BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	tissue_type	geographic_location_(region_and_locality)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	use_species
PRJEB27649	ERR2697454	WGS	200	11406835200	SAMEA4785070	4430210249	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711847	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785070	ERP109758	NA	missing	NA	NA	NA	ERS2605008	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605008	Crotone498	Crotone498	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	1
PRJEB27649	ERR2697455	WGS	200	9632282200	SAMEA4785071	3823804770	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711848	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785071	ERP109758	NA	missing	NA	NA	NA	ERS2605009	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605009	Crotone500	Crotone500	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	1
PRJEB27649	ERR2697456	WGS	200	10748749600	SAMEA4785072	4189714800	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711849	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785072	ERP109758	NA	missing	NA	NA	NA	ERS2605010	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605010	Crotone501	Crotone501	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	1
PRJEB27649	ERR2697457	WGS	200	10452227000	SAMEA4785073	4051020652	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711850	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785073	ERP109758	NA	missing	NA	NA	NA	ERS2605011	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605011	Crotone502	Crotone502	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	1
PRJEB27649	ERR2697458	WGS	200	9343840000	SAMEA4785074	3645295222	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711851	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785074	ERP109758	NA	missing	NA	NA	NA	ERS2605012	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605012	Crotone505	Crotone505	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	1
PRJEB27649	ERR2697459	WGS	200	9424573200	SAMEA4785075	3698312466	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711852	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785075	ERP109758	NA	missing	NA	NA	NA	ERS2605013	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605013	Crotone510	Crotone510	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	1
PRJEB27649	ERR2697460	WGS	200	10397976800	SAMEA4785076	4039530849	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711853	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785076	ERP109758	NA	missing	NA	NA	NA	ERS2605014	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605014	Crotone512	Crotone512	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	1
PRJEB27649	ERR2697462	WGS	200	10890618400	SAMEA4785078	4172617350	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711855	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785078	ERP109758	NA	missing	NA	NA	NA	ERS2605016	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605016	Crotone517	Crotone517	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	1
PRJEB27649	ERR2697463	WGS	200	11740498200	SAMEA4785079	4640911866	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711856	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785079	ERP109758	NA	missing	NA	NA	NA	ERS2605017	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605017	Crotone518	Crotone518	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	1
PRJEB27649	ERR2697505	WGS	200	10127807200	SAMEA4785121	3917474769	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711898	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785121	ERP109758	NA	missing	NA	NA	NA	ERS2605059	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605059	Rimini_100	Rimini_100	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Rimini_Italy	ERC000011	1
