Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Isolate	BioSampleModel	strain	Age	tissue	ENA_duplicate
SRR7002421	Targeted-Capture	251	400224907	PRJNA448444	SAMN08910205	154878372	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935163	Illumina HiSeq 2500	84477231_HiSeq2	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477231	SRP139974	male	Rota Corvus kubaryi 84477231	Model organism or animal	Rota	0.4 yr	Blood	NA
SRR7002422	Targeted-Capture	286	144336901	PRJNA448444	SAMN08910205	101298035	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935162	Illumina MiSeq	84477231_MiSeq	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477231	SRP139974	male	Rota Corvus kubaryi 84477231	Model organism or animal	Rota	0.4 yr	Blood	NA
SRR7002424	Targeted-Capture	302	653989154	PRJNA448444	SAMN08910205	359241771	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935160	Illumina HiSeq 2500	84477231_HiSeq1	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477231	SRP139974	male	Rota Corvus kubaryi 84477231	Model organism or animal	Rota	0.4 yr	Blood	NA
SRR7002425	Targeted-Capture	302	241640468	PRJNA448444	SAMN08910202	134811350	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935159	Illumina HiSeq 2500	84477223	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477223	SRP139974	female	Rota Corvus kubaryi 84477223	Model organism or animal	Rota	3.4 yr	Blood	NA
SRR7002427	Targeted-Capture	291	59019445	PRJNA448444	SAMN08910200	41758608	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935157	Illumina MiSeq	84477221_MiSeq	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477221	SRP139974	female	Rota Corvus kubaryi 84477221	Model organism or animal	Rota	1.0 yr	Blood	NA
SRR7002428	Targeted-Capture	251	626251944	PRJNA448444	SAMN08910201	245470582	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935156	Illumina HiSeq 2500	84477222	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477222	SRP139974	female	Rota Corvus kubaryi 84477222	Model organism or animal	Rota	1.2 yr	Blood	NA
SRR7002429	Targeted-Capture	302	764351430	PRJNA448444	SAMN08910206	416173805	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935155	Illumina HiSeq 2500	84477232_HiSeq1	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477232	SRP139974	female	Rota Corvus kubaryi 84477232	Model organism or animal	Rota	0.3 yr	Blood	NA
SRR7002431	Targeted-Capture	302	1193854924	PRJNA448444	SAMN08910225	673530614	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935153	Illumina HiSeq 2500	99403007_HiSeq	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99403007	SRP139974	male	Rota Corvus kubaryi 99403007	Model organism or animal	Rota	1.0 yr	Blood	NA
SRR7002435	Targeted-Capture	302	104156478	PRJNA448444	SAMN08910228	56243936	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935149	Illumina HiSeq 2500	99403010	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99403010	SRP139974	male	Rota Corvus kubaryi 99403010	Model organism or animal	Rota	3.6 yr	Blood	NA
SRR7002436	Targeted-Capture	251	1088359527	PRJNA448444	SAMN08910227	419160725	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935148	Illumina HiSeq 2500	99403009	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99403009	SRP139974	female	Rota Corvus kubaryi 99403009	Model organism or animal	Rota	missing	Blood	NA
