BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Ecotype	Biomaterial_provider	Collection_date	Replicate	use_species
PRJNA485198	SRR7662352	WGS	302	15959518576	SAMN09786120	7458551012	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523155	Illumina HiSeq 3000	MKB6	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKB6	SRP156808	Model organism or animal	female	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_Lake_11	1
PRJNA485198	SRR7662353	WGS	302	14889379764	SAMN09786121	7012846279	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523154	Illumina HiSeq 3000	MKB7	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKB7	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_Lake_12	1
PRJNA485198	SRR7662354	WGS	302	16599336682	SAMN09786118	8807068537	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523153	Illumina HiSeq 3000	MKB3	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-10T00:00:00Z	MKB3	SRP156808	Model organism or animal	female	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_Lake_9	1
PRJNA485198	SRR7662355	WGS	302	16850702456	SAMN09786119	7993976079	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523152	Illumina HiSeq 3000	MKB5	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKB5	SRP156808	Model organism or animal	female	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_Lake_10	1
PRJNA485198	SRR7662356	WGS	302	17896887232	SAMN09786116	8376328223	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523151	Illumina HiSeq 3000	MKA9	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKA9	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_Lake_7	1
PRJNA485198	SRR7662357	WGS	302	16849868332	SAMN09786117	7893376861	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523150	Illumina HiSeq 3000	MKB2	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKB2	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_Lake_8	1
PRJNA485198	SRR7662358	WGS	302	19162877272	SAMN09786114	8798570912	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523149	Illumina HiSeq 3000	MKA5	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKA5	SRP156808	Model organism or animal	female	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_Lake_5	1
PRJNA485198	SRR7662359	WGS	302	16357472130	SAMN09786115	7633372365	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523148	Illumina HiSeq 3000	MKA6	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKA6	SRP156808	Model organism or animal	female	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_Lake_6	1
PRJNA485198	SRR7662360	WGS	302	18895210444	SAMN09786122	8882154146	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523147	Illumina HiSeq 3000	MKC1	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKC1	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 2	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_River_2_1	1
PRJNA485198	SRR7662361	WGS	302	16675676242	SAMN09786123	8343694021	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523146	Illumina HiSeq 3000	MKC2	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKC2	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 2	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_River_2_2	1
PRJNA485198	SRR7662362	WGS	302	19130746586	SAMN09786233	9062210321	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523145	Illumina HiSeq 3000	KBE1	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBE1	SRP156808	Model organism or animal	male	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_4	0
PRJNA485198	SRR7662363	WGS	302	19519509978	SAMN09786232	9117991231	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523144	Illumina HiSeq 3000	KBD7	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBD7	SRP156808	Model organism or animal	male	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_3	0
PRJNA485198	SRR7662365	WGS	301	21894180092	SAMN09786226	9116802190	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523142	Illumina HiSeq 3000	MIA8	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MIA8	SRP156808	Model organism or animal	female	fin	adult	missing	Ndole Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Ndole_Lake_9	0
PRJNA485198	SRR7662366	WGS	301	19499622861	SAMN09786225	8124925151	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523141	Illumina HiSeq 3000	MIA7	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MIA7	SRP156808	Model organism or animal	male	fin	adult	missing	Ndole Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Ndole_Lake_8	0
PRJNA485198	SRR7662367	WGS	301	19028519941	SAMN09786224	7889426387	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523140	Illumina HiSeq 3000	MIA5	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MIA5	SRP156808	Model organism or animal	male	fin	adult	missing	Ndole Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Ndole_Lake_7	0
PRJNA485198	SRR7662368	WGS	302	19588787872	SAMN09786231	9370957537	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523139	Illumina HiSeq 3000	KBD3	PAIRED	RANDOM	GENOMIC	Astatotilapia_stappersii	ILLUMINA	2018-08-09T00:00:00Z	KBD3	SRP156808	Model organism or animal	male	fin	adult	missing	Rusizi River	Salzburger Lab\, University of Basel\, Switzerland	2015-01	Rusizi_River_2	0
PRJNA485198	SRR7662370	WGS	301	22194730192	SAMN09786229	9216773234	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523137	Illumina HiSeq 3000	MIB2	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MIB2	SRP156808	Model organism or animal	female	fin	adult	missing	Ndole Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Ndole_Lake_12	0
PRJNA485198	SRR7662371	WGS	301	18782104208	SAMN09786228	7750540256	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523136	Illumina HiSeq 3000	MIB1	PAIRED	RANDOM	GENOMIC	Ctenochromis_horei	ILLUMINA	2018-08-09T00:00:00Z	MIB1	SRP156808	Model organism or animal	female	fin	adult	missing	Ndole Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-11	Ndole_Lake_11	0
PRJNA485198	SRR7662372	WGS	301	16716673262	SAMN09786107	6944320713	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523135	Illumina HiSeq 3000	LKH9	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH9	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	Kalambo_River_1_10	1
PRJNA485198	SRR7662373	WGS	301	16917034146	SAMN09786106	7098818217	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523134	Illumina HiSeq 3000	LKH8	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH8	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	Kalambo_River_1_9	1
PRJNA485198	SRR7662374	WGS	300	20816293338	SAMN09786105	9072507269	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523133	Illumina HiSeq 3000	LKH6	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH6	SRP156808	Model organism or animal	female	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	Kalambo_River_1_8	1
PRJNA485198	SRR7662375	WGS	301	20606798448	SAMN09786104	8621924178	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523132	Illumina HiSeq 3000	LKH5	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH5	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	Kalambo_River_1_7	1
PRJNA485198	SRR7662376	WGS	302	20825521360	SAMN09786111	9791217213	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523131	Illumina HiSeq 3000	MJI8	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MJI8	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_Lake_2	1
PRJNA485198	SRR7662377	WGS	302	13704139692	SAMN09786110	6499395696	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523130	Illumina HiSeq 3000	MJI7	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MJI7	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	Kalambo_Lake_1	1
PRJNA485198	SRR7662378	WGS	301	16312588324	SAMN09786109	6790050387	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523129	Illumina HiSeq 3000	LKI2	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKI2	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	Kalambo_River_1_12	1
