BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	Strain
PRJNA522329	SRR8585980	WGS	300	4821997500	SAMN10928548	1510027637	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386614	HiSeq X Ten	F04	PAIRED	RANDOM	GENOMIC	Takifugu_flavidus	ILLUMINA	2019-02-17T00:00:00Z	F04	SRP186117	Model organism or animal	unknown	fin	adult	F04
PRJNA522329	SRR8585981	WGS	300	6460809000	SAMN10928551	1962426079	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386613	HiSeq X Ten	F11	PAIRED	RANDOM	GENOMIC	Takifugu_flavidus	ILLUMINA	2019-02-17T00:00:00Z	F11	SRP186117	Model organism or animal	unknown	fin	adult	F11
PRJNA522329	SRR8585982	WGS	300	4517325300	SAMN10928550	1467893716	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386612	HiSeq X Ten	F10	PAIRED	RANDOM	GENOMIC	Takifugu_flavidus	ILLUMINA	2019-02-17T00:00:00Z	F10	SRP186117	Model organism or animal	unknown	fin	adult	F10
PRJNA522329	SRR8585983	WGS	300	5163055200	SAMN10928553	1615603252	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386611	HiSeq X Ten	F14	PAIRED	RANDOM	GENOMIC	Takifugu_flavidus	ILLUMINA	2019-02-17T00:00:00Z	F14	SRP186117	Model organism or animal	unknown	fin	adult	F14
PRJNA522329	SRR8585984	WGS	300	4789647000	SAMN10928552	1540755285	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386610	HiSeq X Ten	F13	PAIRED	RANDOM	GENOMIC	Takifugu_flavidus	ILLUMINA	2019-02-17T00:00:00Z	F13	SRP186117	Model organism or animal	unknown	fin	adult	F13
PRJNA522329	SRR8585985	WGS	300	4695105900	SAMN10928555	1524385519	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386609	HiSeq X Ten	F17	PAIRED	RANDOM	GENOMIC	Takifugu_flavidus	ILLUMINA	2019-02-17T00:00:00Z	F17	SRP186117	Model organism or animal	unknown	fin	adult	F17
PRJNA522329	SRR8585986	WGS	300	5507718300	SAMN10928554	1689287422	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386608	HiSeq X Ten	F16	PAIRED	RANDOM	GENOMIC	Takifugu_flavidus	ILLUMINA	2019-02-17T00:00:00Z	F16	SRP186117	Model organism or animal	unknown	fin	adult	F16
PRJNA522329	SRR8585987	WGS	300	8425170300	SAMN10928557	2684126532	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386607	HiSeq X Ten	N03	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N03	SRP186117	Model organism or animal	unknown	fin	adult	N03
PRJNA522329	SRR8585988	WGS	300	6094281600	SAMN10928556	1855396153	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386606	HiSeq X Ten	N02	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N02	SRP186117	Model organism or animal	unknown	fin	adult	N02
PRJNA522329	SRR8585989	WGS	300	5771776800	SAMN10928559	1743958960	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386605	HiSeq X Ten	N07	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N07	SRP186117	Model organism or animal	unknown	fin	adult	N07
