BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	use_species
PRJNA629649	SRR11658680	WGS	253	4480276303	SAMN14785124	1953234988	XIAMEN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8219687	Illumina HiSeq 2500	FD_06	PAIRED	RANDOM	GENOMIC	Larimichthys_crocea	ILLUMINA	2020-05-01T00:00:00Z	FD_06	SRP259419	Model organism or animal	unknown	Muscle	FD_06	Mature	Fuding	1
PRJNA629649	SRR11658681	WGS	248	7280977592	SAMN14785196	3034299965	XIAMEN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8219686	Illumina HiSeq 2500	ZZ_29	PAIRED	RANDOM	GENOMIC	Larimichthys_crocea	ILLUMINA	2020-05-01T00:00:00Z	ZZ_29	SRP259419	Model organism or animal	unknown	Muscle	ZZ_29	Mature	Zhanjiang	1
PRJNA629649	SRR11658682	WGS	249	4491469693	SAMN14785195	2245879808	XIAMEN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8219685	Illumina HiSeq 2500	ZZ_27	PAIRED	RANDOM	GENOMIC	Larimichthys_crocea	ILLUMINA	2020-05-01T00:00:00Z	ZZ_27	SRP259419	Model organism or animal	unknown	Muscle	ZZ_27	Mature	Zhanjiang	1
PRJNA629649	SRR11658684	WGS	246	9305699287	SAMN14785194	4506137404	XIAMEN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8219683	Illumina HiSeq 2500	ZZ_25	PAIRED	RANDOM	GENOMIC	Larimichthys_crocea	ILLUMINA	2020-05-01T00:00:00Z	ZZ_25	SRP259419	Model organism or animal	unknown	Muscle	ZZ_25	Mature	Zhanjiang	1
PRJNA629649	SRR11658685	WGS	249	10952919388	SAMN14785193	4848455045	XIAMEN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8219682	Illumina HiSeq 2500	ZW_23	PAIRED	RANDOM	GENOMIC	Larimichthys_crocea	ILLUMINA	2020-05-01T00:00:00Z	ZW_23	SRP259419	Model organism or animal	unknown	Muscle	ZW_23	Mature	Zhanjiang	1
PRJNA629649	SRR11658686	WGS	240	8597229397	SAMN14785192	3659604064	XIAMEN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8219681	Illumina HiSeq 2500	ZW_22	PAIRED	RANDOM	GENOMIC	Larimichthys_crocea	ILLUMINA	2020-05-01T00:00:00Z	ZW_22	SRP259419	Model organism or animal	unknown	Muscle	ZW_22	Mature	Zhanjiang	1
PRJNA629649	SRR11658688	WGS	249	6576424622	SAMN14785190	3334808043	XIAMEN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8219679	Illumina HiSeq 2500	ZW_17	PAIRED	RANDOM	GENOMIC	Larimichthys_crocea	ILLUMINA	2020-05-01T00:00:00Z	ZW_17	SRP259419	Model organism or animal	unknown	Muscle	ZW_17	Mature	Zhanjiang	1
PRJNA629649	SRR11658689	WGS	251	6911339637	SAMN14785189	3034001477	XIAMEN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8219678	Illumina HiSeq 2500	ZW_16	PAIRED	RANDOM	GENOMIC	Larimichthys_crocea	ILLUMINA	2020-05-01T00:00:00Z	ZW_16	SRP259419	Model organism or animal	unknown	Muscle	ZW_16	Mature	Zhanjiang	1
PRJNA629649	SRR11658690	WGS	250	7743807683	SAMN14785188	3883988461	XIAMEN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8219677	Illumina HiSeq 2500	ZW_14	PAIRED	RANDOM	GENOMIC	Larimichthys_crocea	ILLUMINA	2020-05-01T00:00:00Z	ZW_14	SRP259419	Model organism or animal	unknown	Muscle	ZW_14	Mature	Zhanjiang	1
PRJNA629649	SRR11658691	WGS	248	6721262964	SAMN14785187	3381730559	XIAMEN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8219676	Illumina HiSeq 2500	ZW_09	PAIRED	RANDOM	GENOMIC	Larimichthys_crocea	ILLUMINA	2020-05-01T00:00:00Z	ZW_09	SRP259419	Model organism or animal	unknown	Muscle	ZW_09	Mature	Zhanjiang	1
