BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Strain	Breed	Cultivar	common	Treatment	use_species
PRJNA325126	SRR4017496	WGS	302	6010212230	SAMN05223487	2443185816	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011298	NextSeq 500	703	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23564_HGMNWBGXX_703_ATCACG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	703_R1	1
PRJNA325126	SRR4017497	WGS	302	5290725618	SAMN05223503	2168014658	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011299	NextSeq 500	704	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23565_HGMNWBGXX_704_CGATGT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	704_R1	1
PRJNA325126	SRR4017509	WGS	302	5021497148	SAMN05223495	2084430166	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011311	NextSeq 500	705	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23566_HGMNWBGXX_705_TTAGGC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	705_R1	1
PRJNA325126	SRR4017515	WGS	302	4842280382	SAMN05223492	1974802903	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011316	NextSeq 500	708	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23567_HGMNWBGXX_708_TGACCA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	708_R1	1
PRJNA325126	SRR4017516	WGS	302	5275619880	SAMN05223501	2141967202	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011317	NextSeq 500	709	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23568_HGMNWBGXX_709_ACAGTG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	709_R1	1
PRJNA325126	SRR4017517	WGS	302	6220412686	SAMN05223528	2531146412	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011318	NextSeq 500	720	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23569_HGMNWBGXX_720_GCCAAT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	720_R1	1
PRJNA325126	SRR4017518	WGS	302	5592992888	SAMN05223509	2252697959	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011319	NextSeq 500	724	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23570_HGMNWBGXX_724_CAGATC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	724_R1	1
PRJNA325126	SRR4017519	WGS	302	6326140470	SAMN05223523	2564701741	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011320	NextSeq 500	741	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23571_HGMNWBGXX_741_ACTTGA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	741_R1	1
PRJNA325126	SRR4017520	WGS	302	5286955450	SAMN05223506	2148211135	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011321	NextSeq 500	742	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23572_HGMNWBGXX_742_GATCAG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	742_R1	1
PRJNA325126	SRR4017521	WGS	302	6095202882	SAMN05223519	2479413804	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011322	NextSeq 500	743	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23573_HGMNWBGXX_743_TAGCTT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	743_R1	1
