BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Isolate	Ecotype	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Strain	Cultivar	isol_growth_condt	estimated_size	ploidy	propagation	env_biome	env_feature	env_material	Depth	use_species
PRJNA354496	SRR5043514	WGS	252	5874015672	SAMN06046576	2094108324	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366567	Illumina HiSeq 2500	NH64_GATCAG_L002	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	NH64	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-04	Norway	Europe	Norway	60.37 N 6.14 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043517	WGS	252	5090323896	SAMN06046549	1790410575	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366570	Illumina HiSeq 2500	ARD18_CGATGT_L001	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ARD18	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Scotland	2014-01-02	United Kingdom	Europe	United Kingdom: Scotland	56.76 N 5.88 W	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043519	WGS	252	5128559604	SAMN06046550	1815081625	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366572	Illumina HiSeq 2500	ARD20_TGACCA_L001	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ARD20	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Scotland	2014-01-03	United Kingdom	Europe	United Kingdom: Scotland	56.76 N 5.88 W	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043521	WGS	252	4694476500	SAMN06046604	1633439320	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366574	Illumina HiSeq 2500	TV74_AGTTCC_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	TV74	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-08	Norway	Europe	Norway	58.62 N 8.93 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043523	WGS	252	5345352936	SAMN06046574	1926713732	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366576	Illumina HiSeq 2500	NH61_TTAGGC_L002	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	NH61	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-02	Norway	Europe	Norway	60.37 N 6.14 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043525	WGS	252	5009642568	SAMN06046559	1748798740	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366578	Illumina HiSeq 2500	EG25_ATGTCA_L001	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	EG25	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-05	Norway	Europe	Norway	58.45 N 5.99 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043527	WGS	252	4966310664	SAMN06046590	1796983829	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366580	Illumina HiSeq 2500	ST42_GGCTAC_L003	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ST42	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-02	Norway	Europe	Norway	58.96 N 5.73 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043529	WGS	252	5725264608	SAMN06046585	1985654907	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366582	Illumina HiSeq 2500	SM115_ATCACG_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	SM115	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-05	Norway	Europe	Norway	63.46 N 7.69 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043531	WGS	252	5575357368	SAMN06046557	1963177350	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366584	Illumina HiSeq 2500	EG23_AGTCAA_L001	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	EG23	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-03	Norway	Europe	Norway	58.45 N 5.99 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043533	WGS	302	10497189008	SAMN06046566	4168291926	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366586	Illumina HiSeq 4000	GF04_S157_L008	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	GF04	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-04	Sweden	Europe	Sweden	58.34 N 11.56 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
