BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	ArrayExpress-SPECIES	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR702288	WGS	250	6534897500	SAMEA2661216	2392518714	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646551	Illumina HiSeq 2000	11649543	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661216	ERP002088	missing	ERS510430	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:30:58Z	public	ERS510430	Mylochromis anaphyrmus	NA	Mylochromis_anaphyrmus_2-sc-2016526	ERC000011	0
PRJEB1254	ERR702289	WGS	250	6784666500	SAMEA2661217	2435347285	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646552	Illumina HiSeq 2000	11649555	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661217	ERP002088	missing	ERS510431	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:22:37Z	public	ERS510431	Mylochromis anaphyrmus	NA	Mylochromis_anaphyrmus_3-sc-2016527	ERC000011	0
PRJEB1254	ERR702290	WGS	250	6944966250	SAMEA2661218	2502208349	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646553	Illumina HiSeq 2000	11649567	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661218	ERP002088	missing	ERS510432	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:36:12Z	public	ERS510432	Mylochromis anaphyrmus	NA	Mylochromis_anaphyrmus_4-sc-2016528	ERC000011	0
PRJEB1254	ERR702291	WGS	250	6370011000	SAMEA2661219	2342341347	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646554	Illumina HiSeq 2000	11649579	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661219	ERP002088	missing	ERS510433	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-09T11:30:58Z	public	ERS510433	Mylochromis anaphyrmus	NA	Mylochromis_anaphyrmus_5-sc-2016529	ERC000011	0
PRJEB1254	ERR266461	WGS	200	4950482800	SAMEA1877433	3358062088	SC	public	bam,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX240957	Illumina HiSeq 2000	6526421	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2013-05-05T00:00:00Z	SAMEA1877433	ERP002088	missing	ERS198950	2013-04-29	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2013-04-29T17:02:43Z	2018-03-09T09:59:52Z	public	ERS198950	Mylochromis anaphyrmus	NA	Mylochromis_anaphyrmus-sc-2012-12-14T14:26:24Z-1512691	NA	0
PRJEB1254	ERR266485	WGS	200	5329249000	SAMEA1877433	3653983493	SC	public	bam,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX240981	Illumina HiSeq 2000	6526421	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2013-05-05T00:00:00Z	SAMEA1877433	ERP002088	missing	ERS198950	2013-04-29	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2013-04-29T17:02:43Z	2018-03-09T09:59:52Z	public	ERS198950	Mylochromis anaphyrmus	NA	Mylochromis_anaphyrmus-sc-2012-12-14T14:26:24Z-1512691	NA	0
PRJEB1254	ERR266493	WGS	200	5323354800	SAMEA1877433	3663610279	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX240989	Illumina HiSeq 2000	6526421	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2013-05-05T00:00:00Z	SAMEA1877433	ERP002088	missing	ERS198950	2013-04-29	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2013-04-29T17:02:43Z	2018-03-09T09:59:52Z	public	ERS198950	Mylochromis anaphyrmus	NA	Mylochromis_anaphyrmus-sc-2012-12-14T14:26:24Z-1512691	NA	0
PRJEB15289	ERR1749429	WGS	302	32266262558	SAMEA4033310	14340782898	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818609	HiSeq X Ten	DN461234K:F5	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2016-12-07T00:00:00Z	d776e690-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Mylochromis anaphyrmus	NA	NA	0
PRJEB15289	ERR1749430	WGS	302	30727927710	SAMEA4032113	13824141556	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818610	HiSeq X Ten	DN461234K:G5	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2016-12-07T00:00:00Z	d78bce20-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Mylochromis anaphyrmus	NA	NA	0
PRJEB15289	ERR1749431	WGS	302	33751178438	SAMEA4033311	15090824854	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818611	HiSeq X Ten	DN461234K:H5	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2016-12-07T00:00:00Z	d796a390-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Mylochromis anaphyrmus	NA	NA	0
