BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Biomaterial_provider	Collection_date	collected_by	health_state	AssemblyName	use_species
PRJNA298374	SRR2891305	WGS	202	8199267264	SAMN04158632	4438495514	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410651	Illumina HiSeq 2000	FW01	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891306	WGS	202	8722754304	SAMN04158632	4633729022	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410652	Illumina HiSeq 2000	FW02	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891307	WGS	202	8445088336	SAMN04158632	4649323881	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410653	Illumina HiSeq 2000	FW03	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891308	WGS	202	7154735364	SAMN04158632	3753232440	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410654	Illumina HiSeq 2000	FW04	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891309	WGS	202	7434565964	SAMN04158632	3899082346	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410655	Illumina HiSeq 2000	FW05	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891310	WGS	202	7456286822	SAMN04158632	3906326111	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410656	Illumina HiSeq 2000	FW06	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891311	WGS	202	8940115798	SAMN04158632	4858066458	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410657	Illumina HiSeq 2000	FW07	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891312	WGS	202	6065577422	SAMN04158632	3109983905	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410658	Illumina HiSeq 2000	FW08	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891313	WGS	202	8516974278	SAMN04158632	4532367023	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410659	Illumina HiSeq 2000	FW09	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891314	WGS	202	7719887732	SAMN04158632	4019140545	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410660	Illumina HiSeq 2000	FW10	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
