BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar
PRJNA356817	SRR5097357	WGS	250	61039586750	SAMN06127792	22232118580	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414167	Illumina HiSeq 2500	ABPO4	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO4	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	ABPO41	not applicable	not applicable
PRJNA356817	SRR5097358	WGS	250	53940488750	SAMN06127786	19050235875	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414168	Illumina HiSeq 2500	AAPO6	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO6	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	AAPO61	not applicable	not applicable
PRJNA356817	SRR5097359	WGS	250	56172938250	SAMN06127785	20000272561	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414169	Illumina HiSeq 2500	AAPO5	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO5	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	AAPO51	not applicable	not applicable
PRJNA356817	SRR5097360	WGS	250	57649590000	SAMN06127781	20833252183	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414170	Illumina HiSeq 2500	AAPO1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO1	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	AAPO11	not applicable	not applicable
PRJNA356817	SRR5097361	WGS	250	41284697250	SAMN06127783	14158693431	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414171	Illumina HiSeq 2500	AAPO3	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO3	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	AAPO31	not applicable	not applicable
PRJNA356817	SRR5097362	WGS	250	55323811250	SAMN06127793	19541203835	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414172	Illumina HiSeq 2500	ABPO5	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO5	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	ABPO51	not applicable	not applicable
PRJNA356817	SRR5097363	WGS	250	67063320250	SAMN06127789	25004941305	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414173	Illumina HiSeq 2500	ABPO1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO1	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	ABPO11	not applicable	not applicable
PRJNA356817	SRR5097364	WGS	250	63386930500	SAMN06127787	23175733727	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414174	Illumina HiSeq 2500	ABPM	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPM	SRP094895	Model organism or animal	male	Muscle	not applicable	not applicable	not applicable	not applicable	ABPM1	not applicable	not applicable
PRJNA356817	SRR5097366	WGS	250	53902165000	SAMN06127790	19079884081	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414176	Illumina HiSeq 2500	ABPO2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO2	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	ABPO21	not applicable	not applicable
PRJNA356817	SRR5097367	WGS	250	55642701250	SAMN06127794	19950594302	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414177	Illumina HiSeq 2500	ABPO6	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO6	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	ABPO61	not applicable	not applicable
PRJNA356817	SRR5097368	WGS	250	65972081250	SAMN06127791	24243367841	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414178	Illumina HiSeq 2500	ABPO3	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO3	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	ABPO31	not applicable	not applicable
PRJNA356817	SRR5097369	WGS	250	58897768750	SAMN06127784	21166310174	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414179	Illumina HiSeq 2500	AAPO4	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO4	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	AAPO41	not applicable	not applicable
PRJNA356817	SRR5097370	WGS	250	58086727250	SAMN06127779	20662233107	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414180	Illumina HiSeq 2500	AAPM	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPM	SRP094895	Model organism or animal	male	Muscle	not applicable	not applicable	not applicable	not applicable	AAPM1	not applicable	not applicable
PRJNA356817	SRR5097371	WGS	250	62620638750	SAMN06127782	22884809238	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414181	Illumina HiSeq 2500	AAPO2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO2	SRP094895	Model organism or animal	unknown	Muscle	not applicable	not applicable	not applicable	not applicable	AAPO21	not applicable	not applicable
PRJNA356817	SRR5097372	WGS	250	62565113000	SAMN06127780	23432613621	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414182	Illumina HiSeq 2500	AAPF	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPF	SRP094895	Model organism or animal	female	Muscle	not applicable	not applicable	not applicable	not applicable	AAPF1	not applicable	not applicable
PRJNA356817	SRR5770114	WGS	250	57649590000	SAMN07292367	20833252187	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969151	Illumina HiSeq 2500	APO001	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO001	SRP094895	Model organism or animal	unknown	Muscle	NA	NA	not collected	Atlantic3	NA	NA	NA
PRJNA356817	SRR5770115	WGS	250	62620638750	SAMN07292368	22884809242	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969150	Illumina HiSeq 2500	APO002	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO002	SRP094895	Model organism or animal	unknown	Muscle	NA	NA	not collected	Atlantic4	NA	NA	NA
PRJNA356817	SRR5770116	WGS	250	58086727250	SAMN07292365	20662233111	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969149	Illumina HiSeq 2500	APM001	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APM001	SRP094895	Model organism or animal	male	Muscle	NA	NA	not collected	Atlantic1	NA	NA	NA
PRJNA356817	SRR5770117	WGS	250	62565113000	SAMN07292366	23432613625	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969148	Illumina HiSeq 2500	APF001	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APF001	SRP094895	Model organism or animal	female	Muscle	NA	NA	not collected	Atlantic2	NA	NA	NA
PRJNA356817	SRR5770118	WGS	250	56172938250	SAMN07292371	20000272565	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969147	Illumina HiSeq 2500	APO005	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO005	SRP094895	Model organism or animal	unknown	Muscle	NA	NA	not collected	Atlantic7	NA	NA	NA
PRJNA356817	SRR5770119	WGS	250	53940488750	SAMN07292372	19050235879	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969146	Illumina HiSeq 2500	APO006	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO006	SRP094895	Model organism or animal	unknown	Muscle	NA	NA	not collected	Atlantic8	NA	NA	NA
PRJNA356817	SRR5770120	WGS	250	41284697250	SAMN07292369	14158693435	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969145	Illumina HiSeq 2500	APO003	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO003	SRP094895	Model organism or animal	unknown	Muscle	NA	NA	not collected	Atlantic5	NA	NA	NA
PRJNA356817	SRR5770121	WGS	250	58897768750	SAMN07292370	21166310178	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969144	Illumina HiSeq 2500	APO004	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO004	SRP094895	Model organism or animal	unknown	Muscle	NA	NA	not collected	Atlantic6	NA	NA	NA
PRJNA356817	SRR5770122	WGS	250	67063320250	SAMN07292375	25004941309	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969143	Illumina HiSeq 2500	BPO001	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	BPO001	SRP094895	Model organism or animal	unknown	Muscle	NA	NA	not collected	Baltic3	NA	NA	NA
PRJNA356817	SRR5770123	WGS	250	53902165000	SAMN07292376	19079884085	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969142	Illumina HiSeq 2500	BPO002	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	BPO002	SRP094895	Model organism or animal	unknown	Muscle	NA	NA	not collected	Baltic4	NA	NA	NA
PRJNA356817	SRR5097365	WGS	250	57220333750	SAMN06127788	20394989477	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414175	Illumina HiSeq 2500	ABPF	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPF	SRP094895	Model organism or animal	female	Muscle	not applicable	not applicable	not applicable	not applicable	ABPF1	not applicable	not applicable
