BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	Host	Breed	bcid	Depth	identified_by	use_species
PRJNA430094	SRR6473764	WGS	250	7111427584	SAMN08365921	2622715734	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563708	Illumina HiSeq 2500	Crup_L02	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L02	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_L02	1500\, 1504	missing	1
PRJNA430094	SRR6473765	WGS	250	7178080027	SAMN08365920	2667582159	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563707	Illumina HiSeq 2500	Crup_J99	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J99	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_J99	1500\, 1504	missing	1
PRJNA430094	SRR6473766	WGS	250	6054703264	SAMN08365923	2211645148	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563706	Illumina HiSeq 2500	Crup_L30	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L30	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L30	1000\, 1062	missing	1
PRJNA430094	SRR6473767	WGS	250	6728169801	SAMN08365922	2476799991	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563705	Illumina HiSeq 2500	Crup_L29	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L29	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L29	1000\, 1062	missing	1
PRJNA430094	SRR6473769	WGS	250	7671287869	SAMN08365916	2806312936	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563703	Illumina HiSeq 2500	Crup_J75	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J75	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J75	1800\, 1800	missing	1
PRJNA430094	SRR6473770	WGS	250	8365728568	SAMN08365919	3067843586	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563702	Illumina HiSeq 2500	Crup_J81	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J81	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J81	1800\, 1800	missing	1
PRJNA430094	SRR6473771	WGS	250	9088904209	SAMN08365918	3416731516	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563701	Illumina HiSeq 2500	Crup_J78	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J78	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J78	1800\, 1800	missing	1
PRJNA430094	SRR6473772	WGS	250	9100121811	SAMN08365933	3331192846	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563700	Illumina HiSeq 2500	Crup_L021	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L021	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_L021	1500\, 1504	missing	1
PRJNA430094	SRR6473773	WGS	250	8688770870	SAMN08365944	3261254927	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563699	Illumina HiSeq 2500	Crup_J76	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J76	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J76	1800\, 1800	missing	1
PRJNA430094	SRR6473774	WGS	250	8665953877	SAMN08365925	3301622549	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563698	Illumina HiSeq 2500	Crup_Cru17	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_Cru17	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.23466667 N 9.256833333 W	missing	missing	ark:/21547/Aut2Crup_Cru17	750\, 788	missing	1
