BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Label	sub_species	body_site	pathovar	use_species
PRJNA192205	SRR1290010	WGS	200	3451999600	SAMN02743818	2574412343	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX545277	Illumina HiSeq 2000	D_Ko_C02	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C02	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C02	corone	blood	blood	0
PRJNA192205	SRR1290011	WGS	200	4070942000	SAMN02743818	3012612998	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX545277	Illumina HiSeq 2000	D_Ko_C02	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C02	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C02	corone	blood	blood	0
PRJNA192205	SRR1290019	WGS	200	4043309800	SAMN02743818	2997548328	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX545277	Illumina HiSeq 2000	D_Ko_C02	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C02	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C02	corone	blood	blood	0
PRJNA192205	SRR1290024	WGS	200	4084671000	SAMN02743818	2986729025	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX545277	Illumina HiSeq 2000	D_Ko_C02	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C02	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C02	corone	blood	blood	0
PRJNA192205	SRR1284299	WGS	200	1972829800	SAMN02743819	1222106209	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535392	Illumina HiSeq 2000	D_Ko_C04	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C04	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C04	corone	blood	blood	0
PRJNA192205	SRR1284300	WGS	200	3316606200	SAMN02743819	2361571316	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535392	Illumina HiSeq 2000	D_Ko_C04	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C04	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C04	corone	blood	blood	0
PRJNA192205	SRR1284302	WGS	200	3286466600	SAMN02743819	2343812197	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535392	Illumina HiSeq 2000	D_Ko_C04	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C04	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C04	corone	blood	blood	0
PRJNA192205	SRR1284304	WGS	200	3344792400	SAMN02743819	2334859659	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535392	Illumina HiSeq 2000	D_Ko_C04	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C04	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C04	corone	blood	blood	0
PRJNA192205	SRR1284307	WGS	200	10258570000	SAMN02743819	7280822580	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535392	Illumina HiSeq 2000	D_Ko_C04	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C04	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C04	corone	blood	blood	0
PRJNA192205	SRR1284320	WGS	200	2367198000	SAMN02743820	1733624899	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535393	Illumina HiSeq 2000	D_Ko_C05	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C05	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C05	corone	blood	blood	0
PRJNA192205	SRR1284321	WGS	200	1894166400	SAMN02743820	1406638300	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535393	Illumina HiSeq 2000	D_Ko_C05	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C05	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C05	corone	blood	blood	0
PRJNA192205	SRR1284322	WGS	200	1897678200	SAMN02743820	1402390817	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535393	Illumina HiSeq 2000	D_Ko_C05	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C05	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C05	corone	blood	blood	0
PRJNA192205	SRR1284323	WGS	200	1895064200	SAMN02743820	1395164775	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535393	Illumina HiSeq 2000	D_Ko_C05	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C05	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C05	corone	blood	blood	0
PRJNA192205	SRR1284324	WGS	200	4022631600	SAMN02743820	2803975318	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535393	Illumina HiSeq 2000	D_Ko_C05	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C05	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C05	corone	blood	blood	0
PRJNA192205	SRR1284325	WGS	200	3569390200	SAMN02743821	2620803671	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535394	Illumina HiSeq 2000	D_Ko_C08	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C08	SRP022901	Model organism or animal	male	2010	Germany	Europe	Germany: Konstanz	D_Ko_C08	corone	blood	blood	0
